,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes,Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALEX BENTLEY,ATL,34,22.1,93.8,93.2,21.8,2.44,21.9,1.4,4.9,3.1,9.0,44.7,46.7,19.1,751.4000000000001,2013
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALEX MONTGOMERY,NYL,34,23.0,89.0,94.6,13.4,1.0,16.2,4.5,16.7,10.7,16.2,41.3,44.0,16.4,782.0,2013
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ALLIE QUIGLEY,CHI,34,9.4,91.5,97.7,14.0,1.1,10.9,2.1,5.1,3.6,9.9,37.2,40.3,24.1,319.6,2013
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ANEIKA MORELLO,ATL,34,12.8,92.1,91.8,6.2,0.62,9.0,10.1,20.3,15.2,14.6,45.0,49.6,15.9,435.2000000000001,2013
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,BRIANA BUTLER,PHO,34,22.4,100.3,100.3,9.9,2.0,21.0,3.7,9.9,7.0,10.5,43.8,45.5,10.9,761.5999999999999,2013
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,CAMILLE SMITH,SEA,34,30.3,95.3,97.2,8.9,0.58,10.0,7.0,10.0,8.5,17.2,46.0,54.3,19.3,1030.2,2013
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,CHARDE HOUSTON,PHO,34,17.2,93.7,98.3,13.3,0.79,14.0,3.6,8.9,6.5,17.8,42.3,46.6,20.2,584.8,2013
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,CRYSTAL LANGHORNE,WAS,34,28.6,95.4,97.8,9.3,0.57,9.0,8.4,16.6,12.6,15.8,51.7,54.5,20.9,972.4,2013
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,DANIELLE ADAMS,SAN,34,26.4,96.4,100.7,9.0,0.69,7.4,5.6,13.1,9.1,10.8,47.9,52.5,25.8,897.5999999999999,2013
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,DEWANNA BONNER,PHO,34,32.9,100.6,98.7,12.5,1.46,14.0,3.3,13.1,8.6,9.5,47.9,55.0,20.0,1118.6,2013
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,DEVEREAUX PETERS,MIN,34,18.6,99.4,92.2,9.1,1.23,16.4,8.6,15.9,12.4,13.3,39.6,43.8,13.4,632.4000000000001,2013
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,EMMA MEESSEMAN,WAS,34,14.7,96.2,87.9,14.9,1.45,18.4,7.6,12.6,10.1,12.7,44.6,47.4,15.8,499.7999999999999,2013
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,ERIKA DE SOUZA,ATL,34,29.9,95.1,92.6,7.6,0.78,9.0,8.3,24.5,16.1,11.5,55.3,57.7,18.2,1016.6,2013
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,ERLANA LARKINS,IND,34,30.1,94.8,95.6,12.0,1.36,18.9,10.0,18.1,13.7,13.9,54.5,58.9,12.4,1023.4,2013
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,IVORY LATTA,WAS,34,31.5,96.2,96.8,26.4,2.34,23.0,1.1,7.0,4.1,9.8,48.1,53.1,20.9,1071.0,2013
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,JANTEL LAVENDER,LAS,34,16.8,95.2,91.7,5.7,0.49,6.3,8.8,17.6,13.4,13.0,50.7,54.1,20.5,571.2,2013
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,JASMINE THOMAS,ATL,34,27.5,94.2,92.7,19.1,1.49,20.0,2.4,8.5,5.4,13.4,38.3,40.7,19.4,935.0,2013
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,JIA PERKINS,SAN,34,30.5,94.7,99.1,12.8,1.41,11.4,2.4,8.2,5.1,8.1,45.0,48.6,23.0,1037.0,2013
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,KALANA GREENE,CON,34,26.1,90.7,100.0,9.2,1.39,18.1,4.0,10.1,6.9,13.0,41.9,45.8,11.3,887.4000000000001,2013
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,KAMIKO WILLIAMS,NYL,34,13.3,84.7,99.1,11.9,1.07,17.2,3.5,11.5,7.7,16.1,34.7,35.5,15.0,452.2000000000001,2013
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,KARA BRAXTON,NYL,34,21.8,90.4,96.1,10.4,0.52,9.7,12.1,18.0,15.2,18.7,48.1,50.4,22.3,741.2,2013
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,KARIMA CHRISTMAS-KELLY,IND,34,26.9,95.4,93.5,7.9,0.88,9.7,6.8,9.8,8.2,11.0,42.8,48.1,17.3,914.6,2013
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,KATIE SMITH,NYL,34,26.6,89.1,96.1,11.7,1.42,18.9,1.0,5.7,3.4,13.3,44.3,47.8,12.7,904.4,2013
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,KAYLA PEDERSEN,CON,34,12.7,91.6,94.1,12.6,1.11,17.5,7.6,16.2,11.9,15.8,38.6,43.5,15.0,431.7999999999999,2013
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,KELSEY BONE,NYL,34,19.5,84.2,96.9,7.8,0.48,7.9,10.3,15.7,13.0,16.4,46.0,48.7,19.1,663.0,2013
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,KELSEY GRIFFIN,CON,34,25.4,89.4,96.1,6.7,0.94,9.1,6.5,12.5,9.4,9.7,46.7,51.8,16.4,863.5999999999999,2013
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,KIA VAUGHN,WAS,34,20.0,92.2,91.9,6.2,0.42,6.7,7.2,17.6,12.5,15.9,42.5,46.0,19.7,680.0,2013
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,KRISTI TOLIVER,LAS,34,30.0,103.8,94.7,17.8,1.75,18.8,1.9,6.6,4.4,10.7,51.9,55.5,21.4,1020.0,2013
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,KRYSTAL THOMAS,PHO,34,14.0,90.6,96.8,2.4,0.22,5.9,8.4,19.3,14.1,27.1,51.6,50.9,9.9,476.0,2013
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,LE'COE WILLINGHAM,ATL,34,22.2,89.2,97.0,5.8,0.64,12.8,5.5,13.0,9.1,19.9,47.7,49.9,10.3,754.8,2013
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,LEILANI MITCHELL,NYL,34,18.6,88.1,93.9,17.8,1.94,26.6,2.7,7.9,5.3,13.7,52.6,57.3,12.3,632.4000000000001,2013
