Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
A'JA WILSON,LVA,22,31.7,108.8,96.3,10.9,1.29,9.1,5.2,20.8,13.5,7.1,48.0,54.6,27.5,697.4
ALLIE QUIGLEY,CHI,22,28.7,106.1,103.9,12.6,1.82,13.4,1.0,9.2,5.3,7.3,52.8,55.5,22.6,631.4
ALYSHA CLARK,SEA,22,28.8,111.6,90.9,13.3,3.11,25.1,3.2,11.2,7.5,8.1,67.7,69.3,12.1,633.6
ANGEL MCCOUGHTRY,LVA,22,20.0,111.5,95.3,19.8,1.42,15.4,8.7,16.4,12.7,10.8,55.3,61.1,27.9,440.0
ARIEL ATKINS,WAS,22,31.0,103.4,100.2,12.7,1.26,14.1,2.7,7.3,5.0,11.2,52.6,57.8,21.2,682.0
ARIKE OGUNBOWALE,DAL,22,34.0,104.8,106.6,19.3,1.67,12.7,1.3,7.3,4.1,7.6,46.9,52.7,29.9,748.0
BELLA ALARIE,DAL,22,14.0,102.1,107.1,5.6,1.10,11.8,6.8,13.2,9.9,10.8,37.1,41.4,11.3,308.0
BETNIJAH LANEY-HAMILTON,ATL,22,33.3,99.3,105.1,19.8,1.32,18.2,3.2,11.3,7.2,13.8,53.2,57.3,23.0,732.5999999999999
BLAKE DIETRICK,ATL,22,21.1,96.0,102.9,24.0,1.88,33.6,1.7,5.9,3.8,17.9,59.6,60.0,13.6,464.20000000000005
BRIANNA TURNER,PHO,22,27.9,104.4,101.6,10.0,1.26,19.3,9.5,21.3,15.7,15.3,57.9,60.0,11.6,613.8
BRIDGET CARLETON,MIN,22,25.8,109.6,103.4,13.3,2.00,27.7,4.0,10.8,7.3,13.8,62.3,63.4,10.8,567.6
CANDACE PARKER,LAS,22,30.0,103.7,96.3,24.9,1.58,22.8,6.1,28.1,17.3,14.4,54.9,58.4,23.0,660.0
CANDICE DUPREE,IND,22,30.2,102.6,114.7,14.4,1.96,15.5,4.3,15.9,10.1,7.9,46.8,50.7,19.8,664.4
CAROLYN SWORDS,LVA,22,17.4,103.3,94.0,6.7,1.11,20.2,8.4,17.8,13.1,18.2,46.0,52.8,8.4,382.79999999999995
CHELSEA GRAY,LAS,22,30.6,105.2,98.8,27.3,1.93,24.7,2.4,10.5,6.5,12.8,47.5,51.8,23.3,673.2
COURTNEY VANDERSLOOT,CHI,22,31.5,110.6,101.3,43.7,4.07,42.3,1.8,9.6,5.9,10.4,56.0,61.0,18.7,693.0
DAMIRIS DANTAS,MIN,22,26.6,106.4,101.0,16.6,1.45,17.0,6.5,18.5,12.2,11.7,55.2,57.9,21.2,585.2
DANIELLE ROBINSON,LVA,22,22.4,105.7,94.0,21.2,2.57,29.9,1.1,9.3,5.5,11.6,53.3,58.4,14.7,492.79999999999995
DEWANNA BONNER,CON,22,33.3,101.5,96.7,16.0,1.25,12.5,4.6,19.9,12.0,10.0,46.0,53.5,26.8,732.5999999999999
DEARICA HAMBY,LVA,22,28.3,106.3,96.3,15.3,1.33,17.8,5.0,19.5,12.8,13.3,58.3,61.2,19.5,622.6
ELIZABETH WILLIAMS,ATL,22,29.2,99.5,106.6,7.3,1.24,11.7,7.3,12.0,9.5,9.5,48.9,53.9,15.3,642.4
EZI MAGBEGOR,SEA,22,13.3,105.4,93.2,4.0,0.78,5.1,9.1,9.8,9.5,6.6,57.3,59.6,18.9,292.6
GABBY WILLIAMS,CHI,22,24.8,100.9,101.6,12.1,1.19,17.6,4.0,12.8,8.5,14.8,48.7,50.3,16.3,545.6
JACKIE YOUNG,LVA,22,25.8,104.1,93.7,18.6,1.91,21.3,3.4,12.5,8.3,11.1,50.0,55.8,19.0,567.6
JEWELL LOYD,SEA,22,27.8,107.0,92.3,18.6,1.67,17.4,2.4,6.0,4.3,10.4,52.0,58.3,23.5,611.6
JOCELYN WILLOUGHBY,NYL,22,17.4,86.2,106.0,10.5,0.65,11.2,3.6,9.7,6.5,17.3,42.7,50.2,17.4,382.79999999999995
JULIE ALLEMAND,IND,22,32.6,101.5,114.5,27.4,2.21,38.7,1.2,13.8,7.4,17.5,62.4,64.3,12.5,717.2
KAHLEAH COPPER,CHI,22,31.3,107.2,102.7,10.4,0.87,12.0,3.4,14.4,9.2,13.8,53.6,56.1,21.8,688.6
KATIE LOU SAMUELSON,DAL,22,19.9,101.0,104.9,10.6,2.50,20.7,1.7,10.6,6.0,8.3,51.6,53.6,11.1,437.79999999999995
KAYLA MCBRIDE,LVA,22,26.6,107.2,99.7,13.4,1.68,15.9,1.6,6.9,4.4,9.5,48.3,55.8,20.0,585.2
KAYLA THORNTON,DAL,22,25.3,102.5,105.5,5.0,0.68,9.2,5.5,15.5,10.3,13.5,52.4,57.1,13.1,556.6
KELSEY MITCHELL,IND,22,32.1,103.1,113.1,15.7,1.15,13.7,0.9,6.3,3.5,11.9,53.9,57.9,24.0,706.2
KENNEDY BURKE,IND,22,18.3,98.9,110.5,10.4,0.93,12.6,5.0,5.1,5.1,13.6,50.8,54.6,18.4,402.6
KIA VAUGHN,PHO,22,18.9,103.4,104.3,13.8,1.00,16.7,6.0,13.0,9.7,16.7,48.8,49.9,17.5,415.79999999999995
KIAH STOKES,NYL,22,27.3,86.2,101.7,8.3,0.93,13.4,4.4,18.7,11.6,14.4,44.5,45.0,12.0,600.6
LEAONNA ODOM,NYL,22,20.6,88.9,100.3,6.9,1.07,11.5,7.1,3.4,5.2,10.8,51.5,56.0,11.7,453.20000000000005
LEILANI MITCHELL,WAS,22,30.6,102.0,102.5,27.2,3.13,33.9,1.6,8.2,4.8,10.8,48.9,53.3,15.5,673.2
MERCEDES RUSSELL,SEA,22,13.8,102.5,88.3,6.7,0.81,11.1,5.3,17.1,11.3,13.7,41.0,43.8,15.1,303.6
MONIQUE BILLINGS,ATL,22,27.1,98.5,105.3,6.9,0.64,10.0,9.6,22.0,15.7,15.6,40.0,46.9,17.3,596.2
MYISHA HINES-ALLEN,WAS,22,29.9,105.4,100.7,15.5,1.19,13.5,5.6,26.8,16.0,11.3,55.4,58.5,25.3,657.8
NAPHEESA COLLIER,MIN,22,34.2,109.2,102.1,15.9,1.24,17.1,8.8,19.9,14.3,13.8,56.2,60.5,20.7,752.4000000000001
NATASHA HOWARD,SEA,22,21.0,107.7,89.2,7.7,0.48,8.8,12.2,20.8,16.8,18.5,55.2,58.1,21.4,462.0
NATISHA HIEDEMAN,CON,22,18.6,92.8,101.0,18.5,1.71,20.0,1.8,8.8,5.0,11.7,44.5,47.8,17.1,409.20000000000005
RUTHY HEBARD,CHI,22,14.6,102.7,98.9,3.3,0.47,6.3,6.7,21.0,14.5,13.5,68.2,69.2,14.2,321.2
SAMI WHITCOMB,SEA,22,16.5,105.2,92.9,19.4,2.00,20.5,1.2,11.6,6.8,10.2,55.7,59.5,20.2,363.0
SHEKINNA STRICKLEN,ATL,22,21.7,98.4,107.2,4.3,0.93,8.2,0.8,8.5,4.5,8.8,46.0,47.7,13.9,477.4
SKYLAR DIGGINS,PHO,22,30.7,103.0,105.4,24.5,1.33,19.7,1.7,8.9,5.4,14.8,56.0,62.5,24.3,675.4
SUGAR RODGERS,LVA,22,12.0,101.1,91.1,17.6,1.94,23.8,1.2,8.9,5.3,12.3,44.4,45.3,16.1,264.0
TEAIRA MCCOWAN,IND,22,20.9,102.4,109.5,5.6,0.33,5.3,14.9,20.2,17.5,16.3,53.6,59.1,22.8,459.79999999999995
ALYSSA THOMAS,CON,21,32.8,101.4,97.1,24.9,1.94,22.3,5.5,23.3,14.1,11.5,50.0,54.9,21.8,688.8
AMANDA ZAHUI B,NYL,21,25.3,86.8,99.5,15.3,0.74,13.6,2.8,28.6,16.0,18.4,44.6,47.3,20.6,531.3000000000001
BEATRICE MOMPREMIER,CON,21,8.9,97.6,101.3,2.8,0.21,4.2,15.2,22.1,18.3,19.4,42.6,43.7,15.3,186.9
