Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
KATIE SMITH,DET,36,32.2,92.7,90.8,16.4,1.23,14.9,2.2,5.8,4.1,12.2,45.2,50.9,21.0,1159.2
PLENETTE PIERSON,DET,35,21.8,88.1,95.8,10.0,0.46,8.6,6.4,11.0,8.7,18.6,39.6,47.2,22.5,763.0
ASHLEY ROBINSON,PHO,34,19.4,95.1,97.2,9.2,0.82,14.4,8.1,11.7,9.9,17.6,32.6,35.3,13.5,659.5999999999999
BARBARA FARRIS,DET,34,13.1,84.3,90.7,8.6,0.44,11.8,7.2,13.3,10.1,26.7,34.2,42.9,14.3,445.4
BECKY HAMMON,NYL,34,34.7,103.0,97.4,25.2,1.36,22.4,2.2,8.8,5.8,16.4,52.8,60.1,22.8,1179.8000000000002
BROOKE WYCKOFF,CON,34,17.7,94.7,92.7,10.4,1.25,21.7,4.7,12.7,8.8,17.4,52.3,54.2,10.3,601.8
CHANTELLE ANDERSON,SAN,34,19.6,89.2,96.2,3.8,0.20,4.2,5.3,10.2,7.9,20.8,46.6,51.2,19.7,666.4000000000001
CHARLOTTE SMITH,WAS,34,30.5,95.4,96.7,12.9,1.54,21.6,3.8,10.9,7.3,14.0,56.8,58.5,12.6,1037.0
CHASITY MELVIN,WAS,34,30.9,96.5,99.7,5.1,0.41,5.5,9.2,13.6,11.3,13.5,49.8,54.3,21.0,1050.6
CHELSEA NEWTON,SAC,34,21.0,92.8,85.7,14.2,1.49,21.3,4.7,5.7,5.2,14.3,42.3,44.9,13.3,714.0
COCO MILLER,WAS,34,14.8,89.2,94.7,19.4,1.57,18.6,5.3,8.8,7.0,11.9,45.3,46.5,19.1,503.20000000000005
DEANNA JACKSON,IND,34,13.8,89.6,90.9,12.2,0.72,10.1,8.5,9.9,9.1,14.1,40.3,48.0,21.0,469.20000000000005
FRANCESCA ZARA,SEA,34,12.2,92.4,94.6,22.6,1.24,27.4,3.2,6.2,4.9,22.0,42.9,47.8,15.4,414.79999999999995
HAMCHETOU MAIGA-BA,SAC,34,11.9,81.4,80.5,17.5,0.71,13.8,7.9,10.7,9.2,19.3,45.0,44.1,21.1,404.6
JANELL BURSE,SEA,34,25.4,98.8,94.4,5.1,0.29,5.8,10.1,14.4,12.3,19.5,52.3,57.2,19.9,863.5999999999999
JANETH ARCAIN,HOU,34,31.9,98.2,95.7,9.6,0.95,11.6,2.2,7.9,5.1,12.3,42.6,49.5,18.8,1084.6
JENNIFER DEREVJANIK,CON,34,10.6,83.8,81.6,20.4,1.54,41.7,3.1,5.5,4.4,27.1,38.6,41.3,7.6,360.4
JURGITA STREIMIKYTE,IND,34,20.3,95.4,89.5,9.9,0.89,12.4,6.1,11.8,8.8,13.9,46.9,49.0,16.6,690.2
KATIE MATTERA,SAN,34,20.0,87.9,100.8,2.3,0.10,1.7,9.7,18.3,14.2,18.0,46.8,53.5,24.6,680.0
KELLY MILLER,IND,34,31.0,94.8,91.9,16.3,1.53,18.2,2.7,7.2,4.8,11.9,50.5,55.6,17.2,1054.0
KELLY SCHUMACHER,IND,34,15.1,84.7,91.9,6.5,0.42,7.2,5.6,10.6,7.9,16.9,42.8,45.8,17.6,513.4
KRISTI HARROWER,MIN,34,24.4,91.0,94.4,22.2,1.78,30.1,1.4,9.2,5.4,16.9,42.4,46.8,13.0,829.5999999999999
LAUREN JACKSON,SEA,34,34.6,99.5,96.2,9.8,0.97,8.9,9.1,19.3,14.3,9.2,49.6,56.4,23.2,1176.4
LINDSAY WHALEN,CON,34,30.8,105.5,93.1,28.3,1.93,27.7,3.2,9.6,6.6,14.4,49.3,57.3,20.3,1047.2
LISA LESLIE,LAS,34,32.2,96.6,95.9,16.7,0.87,11.9,7.0,18.0,12.4,13.7,44.7,47.8,27.8,1094.8000000000002
MURRIEL PAGE,WAS,34,17.3,91.0,93.4,8.2,1.09,14.6,4.2,12.9,8.4,13.5,42.0,44.1,12.8,588.2
NATALIE WILLIAMS,IND,34,23.6,93.0,91.7,8.6,0.55,8.5,10.4,18.1,14.0,15.3,41.5,45.2,21.3,802.4000000000001
NICOLE OHLDE,MIN,34,30.4,92.3,96.8,16.5,0.93,15.1,6.9,14.1,10.6,16.2,45.5,53.9,20.9,1033.6
NICOLE POWELL,SAC,34,29.0,102.5,87.2,11.8,1.41,13.6,3.6,10.7,7.1,9.6,48.3,52.2,19.2,986.0
NYKESHA SALES,CON,34,31.6,103.3,92.5,13.5,1.16,11.2,3.8,8.4,6.2,9.7,46.8,50.2,26.1,1074.4
REBEKKAH BRUNSON,SAC,34,21.4,91.1,87.6,4.9,0.38,4.6,10.5,18.5,14.1,12.1,42.7,46.3,21.6,727.5999999999999
SHAMEKA CHRISTON,NYL,34,23.8,97.8,99.5,12.0,0.82,10.4,3.9,9.5,6.9,12.7,45.6,51.2,23.3,809.2
SHANNON JOHNSON,SAN,34,32.5,92.0,100.9,29.4,1.40,27.4,1.9,7.3,4.7,19.6,42.5,52.9,18.9,1105.0
SHERI SAM,CHA,34,31.6,88.3,99.0,19.8,0.91,14.8,5.5,10.2,7.8,16.2,41.1,45.6,24.2,1074.4
STACEY LOVELACE,MIN,34,17.4,88.3,93.6,11.8,0.84,11.7,6.4,13.4,9.8,14.0,48.0,53.1,18.9,591.5999999999999
TAJ MCWILLIAMS-FRANKLIN,CON,34,31.8,103.1,91.6,11.6,1.10,11.8,8.2,16.5,12.5,10.7,50.0,55.6,21.5,1081.2
TAMIKA CATCHINGS,IND,34,34.5,94.7,89.4,28.0,1.57,19.5,6.5,21.1,13.3,12.4,42.6,50.6,25.4,1173.0
TAMIKA RAYMOND,MIN,34,22.4,92.6,96.7,10.6,0.95,15.2,11.6,14.6,13.1,16.0,55.1,55.9,14.1,761.5999999999999
TAMIKA WHITMORE,LAS,34,27.1,94.2,98.0,8.9,0.74,10.3,6.3,11.1,8.6,13.9,44.3,52.5,18.8,921.4000000000001
TAMMY SUTTON-BROWN,CHA,34,26.1,89.9,99.2,3.6,0.20,3.9,8.1,15.1,11.5,19.1,50.9,56.8,19.4,887.4000000000001
TAN WHITE,IND,34,20.3,87.6,91.7,18.0,0.76,13.2,3.3,5.5,4.4,17.4,38.4,43.3,25.1,690.2
TANISHA WRIGHT,SEA,34,15.5,98.6,96.1,18.1,1.33,24.5,4.4,7.3,5.9,18.5,46.2,50.1,14.6,527.0
TEMEKA JOHNSON,WAS,34,28.7,97.6,98.5,35.8,2.01,31.2,1.6,11.5,6.5,15.5,48.2,52.1,20.5,975.8
TICHA PENICHEIRO,SAC,34,27.3,97.8,88.2,28.0,2.22,34.5,0.9,11.5,6.0,15.5,33.7,45.1,14.5,928.2
VICKIE JOHNSON,NYL,34,30.1,101.3,95.7,18.4,2.09,20.7,4.7,8.7,6.8,9.9,52.9,57.1,18.0,1023.4000000000001
WENDY PALMER,SAN,34,26.0,93.5,102.9,8.4,0.79,9.5,7.2,17.7,12.6,12.0,56.6,59.8,17.7,884.0
YOLANDA GRIFFITH,SAC,34,28.4,97.6,85.4,11.9,0.76,9.4,9.9,16.8,13.2,12.2,48.5,54.1,24.9,965.5999999999999
ADRIENNE GOODSON,CHA,33,14.1,92.6,94.9,9.9,0.62,9.8,8.8,9.0,8.9,15.8,41.7,44.4,21.3,465.3
AMBER JACOBS,MIN,33,14.6,92.8,98.5,27.8,1.48,29.3,1.0,3.6,2.3,19.8,48.1,51.8,16.6,481.8
ANNA DEFORGE,PHO,33,34.4,96.1,96.3,14.6,0.99,13.8,3.0,8.0,5.5,14.0,45.5,51.9,21.0,1135.2
ASJHA JONES,CON,33,21.5,101.1,96.3,11.8,0.78,10.2,8.7,9.9,9.3,13.0,48.7,50.2,23.8,709.5
CHAMIQUE HOLDSCLAW,LAS,33,35.8,96.9,97.4,18.7,1.05,14.4,7.9,12.8,10.3,13.7,48.3,53.9,25.1,1181.3999999999999
CHERYL FORD,DET,33,28.2,92.8,88.0,5.7,0.38,5.9,12.1,24.4,18.0,15.7,43.0,45.4,20.3,930.6
DAWN STALEY,HOU,33,27.5,91.4,100.1,32.7,2.76,39.2,1.2,8.3,4.7,14.2,46.2,50.7,13.0,907.5
DELISHA MILTON-JONES,WAS,33,32.3,98.6,97.8,11.1,0.77,11.4,4.8,14.8,9.6,14.8,47.6,52.6,21.6,1065.8999999999999
DEANNA NOLAN,DET,33,36.7,91.5,89.8,21.6,1.21,16.1,2.6,11.3,6.7,13.3,42.9,49.2,23.8,1211.1000000000001
DIANA TAURASI,PHO,33,32.8,97.2,96.5,30.0,1.34,19.8,2.2,11.8,7.0,14.8,47.5,53.4,26.7,1082.3999999999999
DOMINIQUE CANTY,HOU,33,30.3,99.2,95.5,18.9,1.51,22.1,3.0,9.7,6.4,14.7,39.9,47.1,18.2,999.9
EBONY HOFFMAN,IND,33,15.1,92.4,85.7,7.0,0.70,9.5,7.7,15.2,11.3,13.6,40.9,46.4,15.4,498.3
ELENA BARANOVA,NYL,33,28.8,102.0,97.0,12.2,1.00,15.6,5.2,21.9,14.1,15.6,51.1,55.3,17.7,950.4
IZIANE CASTRO MARQUES,SEA,33,26.7,99.3,97.9,9.7,0.83,12.8,2.8,8.8,5.9,15.4,43.4,49.1,17.5,881.1
KARA BRAXTON,DET,33,13.9,87.5,99.2,7.3,0.27,4.6,9.4,14.4,11.8,17.0,46.2,48.0,28.5,458.7
LA'KESHIA FRETT,NYL,33,11.0,93.6,91.8,11.5,1.00,13.5,5.3,7.2,6.3,13.5,47.7,50.9,17.5,363.0
MICHELLE SNOW,HOU,33,29.2,99.2,98.0,8.5,0.62,9.2,8.7,19.3,14.1,14.9,55.1,59.4,20.9,963.6
RAFFAELLA MASCIADRI,LAS,33,13.9,96.4,91.8,9.6,1.10,14.6,4.8,6.9,5.8,13.4,51.4,54.1,13.9,458.7
RUTH RILEY,DET,33,26.1,88.1,86.8,9.4,0.57,9.7,5.1,14.3,9.5,16.9,38.0,42.8,19.4,861.3000000000001
SANCHO LYTTLE,HOU,33,13.9,95.6,90.5,7.8,0.74,10.8,9.2,23.0,16.2,14.6,58.4,59.0,15.4,458.7
