Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ADRIAN WILLIAMS-STRONG,SAC,34,17.2,87.4,98.8,9.7,0.50,9.7,10.0,16.2,12.9,19.5,46.9,51.6,18.1,584.8
ANNA DEFORGE,IND,34,23.4,92.3,93.5,12.2,1.13,13.7,3.5,10.7,7.1,12.1,49.8,52.5,18.1,795.5999999999999
ARMINTIE HERRINGTON,CHI,34,25.2,93.7,96.4,19.9,1.70,22.1,8.8,13.9,11.3,13.0,41.4,45.3,17.4,856.8
ASHLEY BATTLE,NYL,34,22.3,88.8,91.5,15.0,1.17,15.0,4.4,12.3,8.5,12.8,42.4,46.7,19.0,758.2
BETTY LENNOX,SEA,34,27.5,103.3,96.7,17.6,1.01,15.4,5.2,12.3,8.8,15.2,47.5,54.7,23.6,935.0
CAMILLE SMITH,SAN,34,20.9,91.7,93.0,5.9,0.57,10.8,8.5,13.7,11.1,18.9,42.4,44.4,12.2,710.5999999999999
CATHRINE KRAAYEVELD,NYL,34,28.4,93.0,96.3,10.2,0.61,11.0,4.4,11.9,8.3,18.1,52.2,55.7,19.6,965.5999999999999
CHELSEA NEWTON,SAC,34,19.6,95.4,94.9,11.7,1.05,14.1,4.1,5.7,4.8,13.5,40.3,46.6,16.8,666.4000000000001
CHRISTI THOMAS,LAS,34,18.8,90.6,98.5,5.5,0.39,5.4,10.0,18.4,14.0,13.8,49.4,53.6,20.9,639.2
DELISHA MILTON-JONES,WAS,34,33.6,95.0,96.9,9.7,0.45,7.8,3.9,15.0,9.4,17.2,37.8,43.5,24.6,1142.4
DEANNA NOLAN,DET,34,34.5,98.4,91.1,21.3,1.61,18.2,3.0,9.1,6.1,11.3,50.8,53.7,21.7,1173.0
EBONY HOFFMAN,IND,34,17.1,85.7,84.3,8.8,0.63,12.3,7.0,17.3,12.1,19.4,45.3,50.4,14.0,581.4000000000001
HAMCHETOU MAIGA-BA,HOU,34,28.8,91.5,95.6,13.8,1.07,16.6,4.1,10.1,7.2,15.5,45.1,50.6,15.9,979.2
IZIANE CASTRO MARQUES,SEA,34,28.3,106.8,97.3,16.4,1.48,17.7,2.0,7.9,5.0,11.9,51.1,55.8,19.9,962.2
K.B. SHARP,IND,34,13.4,90.7,81.2,19.9,1.88,26.3,2.2,4.6,3.5,14.0,45.4,49.7,13.2,455.6
KARA LAWSON,SAC,34,21.8,94.2,93.6,17.7,1.34,13.3,2.8,7.6,5.1,10.0,44.8,50.2,23.0,741.2
KATIE DOUGLAS,CON,34,32.6,98.2,93.5,19.9,1.33,16.4,4.2,9.6,6.9,12.3,49.9,53.8,24.1,1108.4
KATIE MATTERA,DET,34,13.9,90.6,86.8,2.6,0.18,3.5,11.2,22.0,16.7,19.8,52.7,57.3,17.3,472.6
KATIE SMITH,DET,34,34.3,98.4,90.4,17.8,2.10,20.4,1.5,8.8,5.3,9.7,44.6,53.1,17.9,1166.1999999999998
KELLY MAZZANTE,PHO,34,14.4,105.2,96.0,11.7,1.90,16.6,2.1,8.1,5.2,8.7,50.6,53.0,15.9,489.6
KELLY MILLER,PHO,34,30.6,104.2,101.5,22.3,1.81,30.1,4.3,10.2,7.4,16.6,53.5,58.1,14.5,1040.4
KELLY SCHUMACHER,PHO,34,16.0,99.7,95.8,3.4,0.35,6.3,5.1,19.1,12.4,17.8,46.8,52.0,13.6,544.0
KRISTEN MANN,MIN,34,25.9,96.8,100.0,8.2,1.59,12.5,4.1,9.9,6.9,7.9,44.7,47.4,14.5,880.5999999999999
KRISTIN HAYNIE,SAC,34,15.3,92.4,98.7,24.0,1.03,25.0,1.5,5.7,3.5,24.3,43.9,45.4,16.3,520.2
LINDSAY WHALEN,CON,34,29.9,96.6,91.8,28.7,2.37,26.8,3.1,11.6,7.3,11.3,49.7,56.5,19.4,1016.5999999999999
LOREE MOORE,NYL,34,34.2,93.0,95.6,25.8,1.65,28.2,3.7,8.6,6.2,17.1,50.7,52.0,16.4,1162.8000000000002
MARIE FERDINAND-HARRIS,SAN,34,14.1,90.3,97.5,11.6,0.76,11.1,6.9,10.8,8.8,14.6,37.6,43.7,20.7,479.4
MARTA FERNANDEZ,LAS,34,26.2,92.4,98.2,19.9,1.12,19.7,1.3,7.0,4.1,17.5,40.1,46.2,19.8,890.8
MICHELLE SNOW,HOU,34,25.7,89.1,98.8,11.0,0.52,9.9,9.4,17.3,13.4,19.2,49.1,54.8,21.3,873.8
MURRIEL PAGE,LAS,34,18.7,90.8,95.3,12.7,1.80,17.9,4.8,13.0,8.6,10.0,42.4,45.1,13.8,635.8
NAKIA SANFORD,WAS,34,29.2,92.6,95.2,4.6,0.26,5.3,10.1,14.4,12.3,20.4,53.0,59.1,18.0,992.8
NICOLE OHLDE,MIN,34,27.1,98.6,103.1,10.6,0.68,10.1,7.4,16.4,11.7,14.7,37.4,47.5,23.6,921.4000000000001
NICOLE POWELL,SAC,34,28.0,98.1,92.6,11.4,0.89,10.8,6.5,14.2,10.1,12.1,45.8,51.4,21.3,952.0
NOELLE QUINN,MIN,34,19.7,96.2,96.9,32.1,2.21,42.2,2.5,10.9,6.5,19.1,32.7,35.7,12.5,669.8
PENNY TAYLOR,PHO,34,29.7,106.6,97.0,16.4,1.27,15.0,7.2,12.0,9.8,11.8,54.2,62.5,23.1,1009.8
PLENETTE PIERSON,DET,34,25.2,103.9,89.5,12.2,0.75,11.7,8.3,14.3,11.4,15.6,47.8,53.6,22.1,856.8
SCHOLANDA DORRELL,SAC,34,14.9,89.1,91.0,11.4,0.63,10.6,4.3,5.0,4.6,16.8,42.3,47.7,20.3,506.6
SEIMONE AUGUSTUS,MIN,34,32.2,98.5,101.3,15.8,0.95,9.7,3.2,9.6,6.2,10.2,53.0,58.3,28.5,1094.8000000000002
SHANNA ZOLMAN,SAN,34,16.1,91.8,92.3,11.1,0.68,7.7,0.7,8.2,4.2,11.4,52.9,55.1,25.3,547.4000000000001
SIDNEY SPENCER,LAS,34,24.4,94.9,98.1,9.0,1.20,10.6,5.5,11.1,8.2,8.8,48.3,51.3,18.0,829.5999999999999
SVETLANA ABROSIMOVA,MIN,34,24.8,97.1,100.4,18.0,1.25,18.0,6.0,12.3,9.0,14.4,51.8,54.4,19.3,843.2
TAMIKA WHITMORE,IND,34,25.9,94.2,91.5,11.6,0.61,10.0,5.4,13.9,9.8,16.5,44.6,49.2,23.3,880.5999999999999
TAMMY SUTTON-BROWN,IND,34,25.3,95.1,90.0,6.7,0.35,6.1,8.2,13.6,11.0,17.2,48.5,54.5,23.9,860.2
