game_clock,description,location_x,location_y,event_type,opp_player_id,player_id,sec_player_id,team_id,home_score,away_score,points,period
10:00,Start Period,0,-80,12,,0,,0,0,0,0,1
09:56,Jump Ball McCowan vs Stevens (Ogunbowale gains possession),0,-80,10,1628922,1629479,1629481,1611661321,0,0,0,1
09:42,[DAL] Sabally Pullup Jump shot: Missed,41,113,2,,1630149,,1611661321,0,0,0,1
09:41,[LAS] Team Rebound,41,113,4,,0,,1611661320,0,0,0,1
09:41,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,0,0,0,1
09:23,[LAS] N Ogwumike Jump Shot: Missed,120,11,2,,203014,,1611661320,0,0,0,1
09:18,[DAL] McCowan Rebound (Off:0 Def:1),120,11,4,,1629479,,1611661321,0,0,0,1
09:14,[DAL 3-0] Howard 3pt Shot: Made (3 PTS) Assist: Sabally (1 AST),167,187,1,,203827,1630149,1611661321,0,3,3,1
08:56,[LAS] Samuelson Turnover : Bad Pass (1 TO) Steal:Sabally (1 ST),-119,103,5,1630149,1628317,,1611661320,0,3,0,1
08:54,[DAL 5-0] Sabally Running Layup Shot: Made (2 PTS),1,12,1,,1630149,,1611661321,0,5,2,1
08:33,[LAS] N Ogwumike 3pt Shot: Missed,-28,240,2,,203014,,1611661320,0,5,0,1
08:28,[LAS] Hamby Rebound (Off:1 Def:0),-28,240,4,,204324,,1611661320,0,5,0,1
08:27,[LAS 2-5] Samuelson Jump Shot: Made (2 PTS) Assist: Hamby (1 AST),-21,160,1,,1628317,204324,1611661320,2,5,2,1
08:12,[DAL 7-2] Dangerfield Pullup Jump shot: Made (2 PTS),119,134,1,,1630101,,1611661321,2,7,2,1
07:56,[LAS] N Ogwumike Driving Layup Shot: Missed,28,27,2,,203014,,1611661320,2,7,0,1
07:55,[LAS] Stevens Rebound (Off:1 Def:0),28,27,4,,1628922,,1611661320,2,7,0,1
07:55,[LAS] Stevens Tip Layup Shot: Missed,26,57,2,,1628922,,1611661320,2,7,0,1
07:51,[DAL] McCowan Rebound (Off:0 Def:2),26,57,4,,1629479,,1611661321,2,7,0,1
07:44,[DAL 10-2] Ogunbowale 3pt Shot: Made (3 PTS) Assist: Dangerfield (1 AST),-126,237,1,,1629481,1630101,1611661321,2,10,3,1
