game_clock,description,location_x,location_y,event_type,opp_player_id,player_id,sec_player_id,team_id,home_score,away_score,points,period
10:00,Start Period,0,-80,12,,0,,0,0,0,0,1
09:56,Jump Ball Jones vs Bonner (Vandersloot gains possession),0,-80,10,201886,1627673,202664,1611661313,0,0,0,1
09:40,[NYL] Laney 3pt Shot: Missed Block: Allen (1 BLK),116,209,2,204296,204335,,1611661313,0,0,0,1
09:39,[CON] Team Rebound,116,209,4,,0,,1611661323,0,0,0,1
09:39,[NYL] Laney Foul: Loose Ball (1 PF),1,813,6,204296,204335,1628479,1611661313,0,0,0,1
09:28,[CON] Hayes Jump Shot: Missed,-128,162,2,,203026,,1611661323,0,0,0,1
09:24,[CON] Thomas Rebound (Off:1 Def:0),-128,162,4,,203826,,1611661323,0,0,0,1
09:23,[CON 2-0] Thomas Putback Layup Shot: Made (2 PTS),-20,15,1,,203826,,1611661323,2,0,2,1
09:03,[NYL 2-2] Jones Layup Shot: Made (2 PTS) Assist: Stewart (1 AST),-22,8,1,,1627673,1627668,1611661313,2,2,2,1
08:49,[CON] Thomas Turnaround Fadeaway shot: Missed,-17,38,2,,203826,,1611661323,2,2,0,1
08:45,[NYL] Vandersloot Rebound (Off:0 Def:1),-17,38,4,,202664,,1611661313,2,2,0,1
08:25,[NYL] Jones Turnover : Lost Ball (1 TO) Steal:Thomas (1 ST),-16,11,5,203826,1627673,,1611661313,2,2,0,1
08:09,[NYL] Jones Foul: Shooting (1 PF) (2 FTA),27,15,6,201886,1627673,1629771,1611661313,2,2,0,1
08:09,[CON 3-2] Bonner Free Throw 1 of 2 (1 PTS),0,-80,3,,201886,,1611661323,3,2,1,1
08:09,[CON 4-2] Bonner Free Throw 2 of 2 (2 PTS),0,-80,3,,201886,,1611661323,4,2,1,1
08:00,[NYL 4-4] Stewart Driving Layup Shot: Made (2 PTS) Assist: Vandersloot (1 AST),16,-7,1,,1627668,202664,1611661313,4,4,2,1
07:51,[CON 6-4] Hiedeman Running Layup Shot: Made (2 PTS),34,5,1,,1629567,,1611661323,6,4,2,1
07:36,[NYL 6-6] Stewart Jump Shot: Made (4 PTS),113,161,1,,1627668,,1611661313,6,6,2,1
07:20,[CON] Allen 3pt Shot: Missed,-149,235,2,,204296,,1611661323,6,6,0,1
07:17,[NYL] Jones Rebound (Off:0 Def:1),-149,235,4,,1627673,,1611661313,6,6,0,1
07:06,[NYL] Ionescu Driving Layup Shot: Missed Block: Allen (2 BLK),-26,0,2,204296,1629477,,1611661313,6,6,0,1
07:02,[CON] Hiedeman Rebound (Off:0 Def:1),-26,0,4,,1629567,,1611661323,6,6,0,1
06:59,[NYL] Stewart Foul: Shooting (1 PF) (2 FTA),45,28,6,204296,1627668,1628479,1611661313,6,6,0,1
06:59,[CON 7-6] Allen Free Throw 1 of 2 (1 PTS),0,-80,3,,204296,,1611661323,7,6,1,1
06:59,[CON 8-6] Allen Free Throw 2 of 2 (2 PTS),0,-80,3,,204296,,1611661323,8,6,1,1
06:43,[NYL] Stewart Jump Shot: Missed,-13,159,2,,1627668,,1611661313,8,6,0,1
06:40,[CON] Hiedeman Rebound (Off:0 Def:2),-13,159,4,,1629567,,1611661323,8,6,0,1
06:28,[CON] Allen Hook Shot: Missed,-7,15,2,,204296,,1611661323,8,6,0,1
06:27,[NYL] Team Rebound,-7,15,4,,0,,1611661313,8,6,0,1
06:27,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,8,6,0,1
06:13,Jump Ball Thomas vs Ionescu (Hiedeman gains possession),0,-80,10,1629477,203826,1629567,1611661323,8,6,0,1
06:13,[NYL] Ionescu Turnover : Lost Ball (1 TO) Steal:Thomas (2 ST),0,-80,5,203826,1629477,,1611661313,8,6,0,1
06:12,[CON] Hiedeman Layup Shot: Missed Block: Vandersloot (1 BLK),-21,43,2,202664,1629567,,1611661323,8,6,0,1
06:11,[NYL] Vandersloot Rebound (Off:0 Def:2),-21,43,4,,202664,,1611661313,8,6,0,1
05:52,[CON] Hiedeman Foul: Shooting (1 PF) (2 FTA),-7,102,6,204335,1629567,1629771,1611661323,8,6,0,1
05:52,[NYL 7-8] Laney Free Throw 1 of 2 (1 PTS),0,-80,3,,204335,,1611661313,8,7,1,1
05:52,[NYL 8-8] Laney Free Throw 2 of 2 (2 PTS),0,-80,3,,204335,,1611661313,8,8,1,1
05:30,[CON] Thomas Jump Shot: Missed,-93,145,2,,203826,,1611661323,8,8,0,1
05:27,[NYL] Stewart Rebound (Off:0 Def:1),-93,145,4,,1627668,,1611661313,8,8,0,1
05:17,[NYL 10-8] Stewart Hook Shot: Made (6 PTS),-10,110,1,,1627668,,1611661313,8,10,2,1
05:06,[CON 10-10] Hayes Driving Layup Shot: Made (2 PTS),8,15,1,,203026,,1611661323,10,10,2,1
04:50,[NYL 12-10] Jones Cutting Layup Shot: Made (4 PTS) Assist: Vandersloot (2 AST),-5,5,1,,1627673,202664,1611661313,10,12,2,1
04:39,[CON 12-12] Hiedeman Driving Finger Roll Layup Shot: Made (4 PTS),2,10,1,,1629567,,1611661323,12,12,2,1
04:25,[NYL] Ionescu Turnover : Out of Bounds - Bad Pass Turnover (2 TO),-33,70,5,,1629477,,1611661313,12,12,0,1
04:25,Timeout Officials,0,-80,9,,0,,0,12,12,0,1
04:25,[NYL] Laney Substitution replaced by Sabally,0,-80,8,,204335,1631055,1611661313,12,12,0,1
04:25,[NYL] Jones Substitution replaced by Johannès,0,-80,8,,1627673,1629546,1611661313,12,12,0,1
04:25,[NYL] Ionescu Substitution replaced by Thornton,0,-80,8,,1629477,203866,1611661313,12,12,0,1
04:15,[CON] Hayes 3pt Shot: Missed,-32,255,2,,203026,,1611661323,12,12,0,1
04:12,[NYL] Vandersloot Rebound (Off:0 Def:3),-32,255,4,,202664,,1611661313,12,12,0,1
04:06,[NYL] Vandersloot Driving Floating Jump Shot: Missed,-55,19,2,,202664,,1611661313,12,12,0,1
04:04,[CON] Allen Rebound (Off:0 Def:1),-55,19,4,,204296,,1611661323,12,12,0,1
03:58,[CON 15-12] Bonner 3pt Shot: Made (5 PTS) Assist: Hiedeman (1 AST),-187,168,1,,201886,1629567,1611661323,15,12,3,1
03:46,[NYL 14-15] Sabally Layup Shot: Made (2 PTS) Assist: Vandersloot (3 AST),-23,5,1,,1631055,202664,1611661313,15,14,2,1
03:37,[CON 17-14] Hiedeman Driving Layup Shot: Made (6 PTS),1,27,1,,1629567,,1611661323,17,14,2,1
03:24,[NYL 17-17] Vandersloot 3pt Shot: Made (3 PTS) Assist: Thornton (1 AST),224,43,1,,202664,203866,1611661313,17,17,3,1
03:12,[CON 19-17] Hayes Layup Shot: Made (4 PTS) Assist: Hiedeman (2 AST),-17,22,1,,203026,1629567,1611661323,19,17,2,1
02:59,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,19,17,0,1
02:52,[NYL] Stewart Turnaround Fadeaway shot: Missed,-100,15,2,,1627668,,1611661313,19,17,0,1
02:48,[CON] Hiedeman Rebound (Off:0 Def:3),-100,15,4,,1629567,,1611661323,19,17,0,1
02:42,[CON] Hiedeman 3pt Shot: Missed,-156,212,2,,1629567,,1611661323,19,17,0,1
02:38,[CON] Team Rebound,-156,212,4,,0,,1611661323,19,17,0,1
02:38,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,19,17,0,1
02:38,Stoppage: Court Cleanup,0,-80,20,,0,,0,19,17,0,1
02:38,Stoppage: Equipment Malfunction,0,-80,20,,0,,0,19,17,0,1
02:24,[CON] Hayes Driving Layup Shot: Missed,27,82,2,,203026,,1611661323,19,17,0,1
02:22,[NYL] Johannès Rebound (Off:0 Def:1),27,82,4,,1629546,,1611661313,19,17,0,1
02:18,[NYL 19-19] Vandersloot Driving Layup Shot: Made (5 PTS),-27,24,1,,202664,,1611661313,19,19,2,1
02:18,[CON] Hiedeman Foul: Shooting (2 PF) (1 FTA),-29,26,6,202664,1629567,100308,1611661323,19,19,0,1
02:18,[CON] Hiedeman Substitution replaced by Harris,0,-80,8,,1629567,1630112,1611661323,19,19,0,1
02:18,[NYL 20-19] Vandersloot Free Throw 1 of 1 (6 PTS),0,-80,3,,202664,,1611661313,19,20,1,1
02:07,[CON 21-20] Thomas Driving Layup Shot: Made (4 PTS) Assist: Harris (1 AST),2,16,1,,203826,1630112,1611661323,21,20,2,1
02:07,[NYL] Sabally Foul: Shooting (1 PF) (1 FTA),0,21,6,203826,1631055,100308,1611661313,21,20,0,1
02:07,[CON 22-20] Thomas Free Throw 1 of 1 (5 PTS),0,-80,3,,203826,,1611661323,22,20,1,1
01:51,[NYL 23-22] Johannès 3pt Shot: Made (3 PTS),-160,201,1,,1629546,,1611661313,22,23,3,1
01:37,[CON 25-23] Bonner 3pt Shot: Made (8 PTS) Assist: Thomas (1 AST),188,160,1,,201886,203826,1611661323,25,23,3,1
01:27,[NYL 25-25] Stewart Driving Layup Shot: Made (8 PTS),-1,16,1,,1627668,,1611661313,25,25,2,1
01:14,[NYL] Sabally Foul: Shooting (2 PF) (2 FTA),-66,47,6,201886,1631055,1629771,1611661313,25,25,0,1
01:14,[CON 26-25] Bonner Free Throw 1 of 2 (9 PTS),0,-80,3,,201886,,1611661323,26,25,1,1
01:14,[NYL] Sabally Substitution replaced by Jones,0,-80,8,,1631055,1627673,1611661313,26,25,0,1
01:14,[NYL] Vandersloot Substitution replaced by Ionescu,0,-80,8,,202664,1629477,1611661313,26,25,0,1
01:14,[NYL] Stewart Substitution replaced by Laney,0,-80,8,,1627668,204335,1611661313,26,25,0,1
01:14,[CON 27-25] Bonner Free Throw 2 of 2 (10 PTS),0,-80,3,,201886,,1611661323,27,25,1,1
00:54.5,[NYL 27-27] Laney Driving Layup Shot: Made (4 PTS) Assist: Ionescu (1 AST),-24,19,1,,204335,1629477,1611661313,27,27,2,1
00:47.5,[CON] Bonner 3pt Shot: Missed,-183,212,2,,201886,,1611661323,27,27,0,1
00:44.9,[NYL] Jones Rebound (Off:0 Def:2),-154,194,4,,1627673,,1611661313,27,27,0,1
00:35.9,[CON] Allen Foul: Shooting (1 PF) (2 FTA),24,9,6,203866,204296,1629771,1611661323,27,27,0,1
00:35.9,[NYL 28-27] Thornton Free Throw 1 of 2 (1 PTS),0,-80,3,,203866,,1611661313,27,28,1,1
00:35.9,[CON] Allen Substitution replaced by Carrington,0,-80,8,,204296,1630096,1611661323,27,28,0,1
00:35.9,[NYL] Thornton Free Throw 2 of 2 Missed,0,-80,3,,203866,,1611661313,27,28,0,1
00:33.9,[CON] Bonner Rebound (Off:0 Def:1),0,-80,4,,201886,,1611661323,27,28,0,1
00:25.9,[CON 29-28] Thomas Driving Layup Shot: Made (7 PTS),-3,22,1,,203826,,1611661323,29,28,2,1
00:03.8,[NYL] Ionescu 3pt Shot: Missed,-101,236,2,,1629477,,1611661313,29,28,0,1
00:02.8,[NYL] Team Rebound,-101,236,4,,0,,1611661313,29,28,0,1
00:00.0,End Period,0,-80,13,,0,,0,29,28,0,1
10:00,Start Period,0,-80,12,,0,,0,29,28,0,2
09:47,[CON] Harris Pullup Jump shot: Missed,34,187,2,,1630112,,1611661323,29,28,0,2
09:44,[NYL] Ionescu Rebound (Off:0 Def:1),34,187,4,,1629477,,1611661313,29,28,0,2
09:26,[NYL] Johannès 3pt Shot: Missed,-234,10,2,,1629546,,1611661313,29,28,0,2
09:24,[NYL] Johannès Rebound (Off:1 Def:1),-234,10,4,,1629546,,1611661313,29,28,0,2
09:21,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,29,28,0,2
09:13,[NYL 30-29] Ionescu Turnaround Jump Shot: Made (2 PTS),-4,122,1,,1629477,,1611661313,29,30,2,2
08:56,[CON] Thomas Layup Shot: Missed Block: Jones (1 BLK),-3,19,2,1627673,203826,,1611661323,29,30,0,2
08:53,[NYL] Jones Rebound (Off:0 Def:3),-3,19,4,,1627673,,1611661313,29,30,0,2
08:48,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,29,30,0,2
08:42,[NYL] Ionescu 3pt Shot: Missed,182,176,2,,1629477,,1611661313,29,30,0,2
08:40,[CON] Nelson-Ododa Rebound (Off:0 Def:1),182,176,4,,1631135,,1611661323,29,30,0,2
08:31,[CON 31-30] Nelson-Ododa Cutting Layup Shot: Made (2 PTS) Assist: Carrington (1 AST),10,3,1,,1631135,1630096,1611661323,31,30,2,2
08:22,[NYL] Jones 3pt Shot: Missed,68,231,2,,1627673,,1611661313,31,30,0,2
08:20,[CON] Carrington Rebound (Off:0 Def:1),68,231,4,,1630096,,1611661323,31,30,0,2
08:16,[CON] Thomas Layup Shot: Missed,24,18,2,,203826,,1611661323,31,30,0,2
08:14,[CON] Thomas Rebound (Off:2 Def:0),24,18,4,,203826,,1611661323,31,30,0,2
08:13,[CON] Thomas Layup Shot: Missed Block: Thornton (1 BLK),24,12,2,203866,203826,,1611661323,31,30,0,2
08:12,[NYL] Ionescu Rebound (Off:0 Def:2),24,12,4,,1629477,,1611661313,31,30,0,2
08:03,[NYL 32-31] Thornton Cutting Layup Shot: Made (3 PTS) Assist: Johannès (1 AST),-2,22,1,,203866,1629546,1611661313,31,32,2,2
07:43,[CON] Hayes 3pt Shot: Missed,-145,227,2,,203026,,1611661323,31,32,0,2
07:41,[NYL] Jones Rebound (Off:0 Def:4),-145,227,4,,1627673,,1611661313,31,32,0,2
07:31,[NYL] Johannès Pullup Jump shot: Missed,126,149,2,,1629546,,1611661313,31,32,0,2
07:29,[CON] Nelson-Ododa Rebound (Off:0 Def:2),126,149,4,,1631135,,1611661323,31,32,0,2
07:21,[NYL] Laney Foul: Personal (2 PF),29,64,6,203826,204335,1628479,1611661313,31,32,0,2
07:21,[CON] Hayes Substitution replaced by Allen,0,-80,8,,203026,204296,1611661323,31,32,0,2
07:21,[NYL] Thornton Substitution replaced by Stewart,0,-80,8,,203866,1627668,1611661313,31,32,0,2
07:14,[CON] Thomas Turnover : Bad Pass (1 TO) Steal:Johannès (1 ST),-3,168,5,1629546,203826,,1611661323,31,32,0,2
07:06,[NYL 35-31] Laney 3pt Shot: Made (7 PTS) Assist: Ionescu (2 AST),-156,212,1,,204335,1629477,1611661313,31,35,3,2
06:52,[CON] Carrington Turnover : Out of Bounds - Bad Pass Turnover (1 TO),21,215,5,,1630096,,1611661323,31,35,0,2
06:40,[CON] Nelson-Ododa Foul: Personal (1 PF),94,28,6,1627673,1631135,1629771,1611661323,31,35,0,2
06:40,[NYL] Johannès Substitution replaced by Vandersloot,0,-80,8,,1629546,202664,1611661313,31,35,0,2
06:36,[NYL 37-31] Stewart Jump Shot: Made (10 PTS) Assist: Vandersloot (4 AST),57,135,1,,1627668,202664,1611661313,31,37,2,2
06:08,[CON 33-37] Nelson-Ododa Cutting Layup Shot: Made (4 PTS) Assist: Thomas (2 AST),30,6,1,,1631135,203826,1611661323,33,37,2,2
05:52,[NYL] Ionescu Jump Shot: Missed,81,128,2,,1629477,,1611661313,33,37,0,2
05:50,[CON] Thomas Rebound (Off:2 Def:1),81,128,4,,203826,,1611661323,33,37,0,2
05:46,[CON 35-37] Carrington Layup Shot: Made (2 PTS) Assist: Thomas (3 AST),26,28,1,,1630096,203826,1611661323,35,37,2,2
05:23,[NYL] Laney Step Back Jump shot: Missed,77,166,2,,204335,,1611661313,35,37,0,2
05:20,[CON] Thomas Rebound (Off:2 Def:2),77,166,4,,203826,,1611661323,35,37,0,2
05:10,[CON] Team Timeout : Regular,0,-80,9,,1611661323,,1611661323,35,37,0,2
05:10,[NYL] Jones Substitution replaced by Sabally,0,-80,8,,1627673,1631055,1611661313,35,37,0,2
05:07,Jump Ball Stewart vs Harris (Laney gains possession),0,-80,10,1630112,1627668,204335,1611661313,35,37,0,2
05:07,[CON] Harris Turnover : Lost Ball (1 TO) Steal:Stewart (1 ST),0,-80,5,1627668,1630112,,1611661323,35,37,0,2
04:55,[NYL 39-35] Stewart Jump Shot: Made (12 PTS) Assist: Vandersloot (5 AST),-18,56,1,,1627668,202664,1611661313,35,39,2,2
04:34,[CON 37-39] Carrington Driving Floating Jump Shot: Made (4 PTS),-3,72,1,,1630096,,1611661323,37,39,2,2
04:21,[NYL] Vandersloot Turnover : Lost Ball (1 TO) Steal:Thomas (3 ST),-96,68,5,203826,202664,,1611661313,37,39,0,2
04:16,[CON 39-39] Harris Cutting Layup Shot: Made (2 PTS) Assist: Thomas (4 AST),19,22,1,,1630112,203826,1611661323,39,39,2,2
04:02,[NYL] Ionescu Driving Layup Shot: Missed Block: Allen (3 BLK),3,32,2,204296,1629477,,1611661313,39,39,0,2
03:59,[CON] Carrington Rebound (Off:0 Def:2),3,32,4,,1630096,,1611661323,39,39,0,2
03:57,[CON] Harris Layup Shot: Missed Block: Sabally (1 BLK),34,-3,2,1631055,1630112,,1611661323,39,39,0,2
03:55,[CON] Harris Rebound (Off:1 Def:0),34,-3,4,,1630112,,1611661323,39,39,0,2
03:47,[CON] Harris 3pt Shot: Missed,-220,85,2,,1630112,,1611661323,39,39,0,2
03:45,[CON] Nelson-Ododa Rebound (Off:1 Def:2),-220,85,4,,1631135,,1611661323,39,39,0,2
03:45,[CON 41-39] Nelson-Ododa Putback Layup Shot: Made (6 PTS),0,-5,1,,1631135,,1611661323,41,39,2,2
03:40,[NYL] Team Timeout : Regular,0,-80,9,,1611661313,,1611661313,41,39,0,2
03:40,[CON] Nelson-Ododa Substitution replaced by Hiedeman,0,-80,8,,1631135,1629567,1611661323,41,39,0,2
03:40,[CON] Harris Substitution replaced by Bonner,0,-80,8,,1630112,201886,1611661323,41,39,0,2
03:40,[NYL] Ionescu Substitution replaced by Johannès,0,-80,8,,1629477,1629546,1611661313,41,39,0,2
03:33,[NYL] Vandersloot Pullup Jump shot: Missed,-78,79,2,,202664,,1611661313,41,39,0,2
03:30,[CON] Thomas Rebound (Off:2 Def:3),-78,79,4,,203826,,1611661323,41,39,0,2
03:27,[CON 43-39] Carrington Running Reverse Layup Shot: Made (6 PTS) Assist: Thomas (5 AST),1,27,1,,1630096,203826,1611661323,43,39,2,2
03:12,[NYL 42-43] Laney 3pt Shot: Made (10 PTS) Assist: Sabally (1 AST),-230,21,1,,204335,1631055,1611661313,43,42,3,2
02:54,[CON] Allen 3pt Shot: Missed,-223,19,2,,204296,,1611661323,43,42,0,2
02:52,[NYL] Stewart Rebound (Off:0 Def:2),-223,19,4,,1627668,,1611661313,43,42,0,2
02:26,[NYL] Stewart Driving Floating Jump Shot: Missed,-69,10,2,,1627668,,1611661313,43,42,0,2
02:24,[CON] Bonner Rebound (Off:0 Def:2),-69,10,4,,201886,,1611661323,43,42,0,2
02:07,[CON] Bonner Finger Roll Layup Shot: Missed,29,26,2,,201886,,1611661323,43,42,0,2
02:05,[CON] Carrington Rebound (Off:1 Def:2),29,26,4,,1630096,,1611661323,43,42,0,2
02:03,[CON] Hiedeman Driving Layup Shot: Missed,-22,28,2,,1629567,,1611661323,43,42,0,2
02:00,[NYL] Stewart Rebound (Off:0 Def:3),-22,28,4,,1627668,,1611661313,43,42,0,2
01:58,[CON] Thomas Violation:Kicked Ball,0,-80,7,,203826,,1611661323,43,42,0,2
01:58,[NYL] Sabally Substitution replaced by Jones,0,-80,8,,1631055,1627673,1611661313,43,42,0,2
01:51,[NYL] Stewart Turnaround Fadeaway shot: Missed,12,54,2,,1627668,,1611661313,43,42,0,2
01:48,[CON] Hiedeman Rebound (Off:0 Def:4),12,54,4,,1629567,,1611661323,43,42,0,2
01:32,[CON] Bonner 3pt Shot: Missed,-134,266,2,,201886,,1611661323,43,42,0,2
01:28,[NYL] Laney Rebound (Off:0 Def:1),-134,266,4,,204335,,1611661313,43,42,0,2
01:21,[NYL 44-43] Stewart Cutting Layup Shot: Made (14 PTS) Assist: Vandersloot (6 AST),-11,10,1,,1627668,202664,1611661313,43,44,2,2
01:00,[CON] Carrington Step Back Jump shot: Missed,61,96,2,,1630096,,1611661323,43,44,0,2
00:58.8,[CON] Thomas Rebound (Off:3 Def:3),61,96,4,,203826,,1611661323,43,44,0,2
00:57.6,[CON] Thomas Layup Shot: Missed,-9,27,2,,203826,,1611661323,43,44,0,2
00:56.0,[NYL] Stewart Rebound (Off:0 Def:4),-9,27,4,,1627668,,1611661313,43,44,0,2
00:49.7,[CON] Carrington Foul: Personal (1 PF),162,-24,6,1627668,1630096,100308,1611661323,43,44,0,2
00:49.7,[CON] Carrington Substitution replaced by Hayes,0,-80,8,,1630096,203026,1611661323,43,44,0,2
