game_clock,description,location_x,location_y,event_type,opp_player_id,player_id,sec_player_id,team_id,home_score,away_score,points,period
10:00,Start Period,0,-80,12,,0,,0,0,0,0,1
09:52,Jump Ball Parker vs Turner (Coffey gains possession),0,-80,10,1629488,204323,1628269,1611661330,0,0,0,1
09:41,[ATL 2-0] Howard Step Back Jump shot: Made (2 PTS),-10,185,1,,1631009,,1611661330,0,2,2,1
09:20,[PHO] Gustafson Driving Layup Shot: Missed Block: Parker (1 BLK),-27,6,2,204323,1629484,,1611661317,0,2,0,1
09:13,[ATL] Parker Rebound (Off:0 Def:1),-27,6,4,,204323,,1611661330,0,2,0,1
09:11,[ATL 4-0] Parker Layup Shot: Made (2 PTS) Assist: Gray (1 AST),-18,4,1,,204323,1628277,1611661330,0,4,2,1
08:58,[PHO] Taurasi 3pt Shot: Missed,-199,177,2,,100940,,1611661317,0,4,0,1
08:58,[ATL] Parker Rebound (Off:0 Def:2),-199,177,4,,204323,,1611661330,0,4,0,1
08:42,[PHO] Turner Foul: Personal (1 PF),84,223,6,1631009,1629488,100697,1611661317,0,4,0,1
08:31,[ATL 7-0] Howard 3pt Shot: Made (5 PTS) Assist: Robinson (1 AST),-224,57,1,,1631009,202658,1611661330,0,7,3,1
08:02,[PHO 3-7] Taurasi 3pt Shot: Made (3 PTS),-227,19,1,,100940,,1611661317,3,7,3,1
07:56,[ATL] Howard 3pt Shot: Missed,165,169,2,,1631009,,1611661330,3,7,0,1
07:56,[PHO] Team Rebound,165,169,4,,0,,1611661317,3,7,0,1
07:56,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,3,7,0,1
07:46,[PHO 5-7] Jefferson Driving Layup Shot: Made (2 PTS) Assist: Taurasi (1 AST),27,-12,1,,1627669,100940,1611661317,5,7,2,1
07:34,[ATL] Robinson Driving Layup Shot: Missed,21,19,2,,202658,,1611661330,5,7,0,1
07:30,[PHO] Turner Rebound (Off:0 Def:1),21,19,4,,1629488,,1611661317,5,7,0,1
07:27,[PHO] Jefferson Running Layup Shot: Missed,26,2,2,,1627669,,1611661317,5,7,0,1
07:24,[PHO] Cunningham Rebound (Off:1 Def:0),26,2,4,,1629482,,1611661317,5,7,0,1
07:22,[PHO] Taurasi 3pt Shot: Missed,-28,252,2,,100940,,1611661317,5,7,0,1
07:22,[PHO] Gustafson Rebound (Off:1 Def:0),-28,252,4,,1629484,,1611661317,5,7,0,1
07:16,[PHO] Cunningham 3pt Shot: Missed,15,249,2,,1629482,,1611661317,5,7,0,1
07:13,[ATL] Parker Rebound (Off:0 Def:3),15,249,4,,204323,,1611661330,5,7,0,1
07:07,[ATL 9-5] Parker Jump Shot: Made (4 PTS) Assist: Howard (1 AST),-39,167,1,,204323,1631009,1611661330,5,9,2,1
06:59,[PHO] Jefferson Turnover : Bad Pass (1 TO) Steal:Robinson (1 ST),-156,200,5,202658,1627669,,1611661317,5,9,0,1
06:55,[ATL] Robinson Running Layup Shot: Missed,16,14,2,,202658,,1611661330,5,9,0,1
06:54,[ATL] Gray Rebound (Off:1 Def:0),16,14,4,,1628277,,1611661330,5,9,0,1
06:30,[ATL 11-5] Gray Putback Layup Shot: Made (2 PTS),-5,3,1,,1628277,,1611661330,5,11,2,1
06:24,[PHO] Jefferson 3pt Shot: Missed,128,205,2,,1627669,,1611661317,5,11,0,1
06:24,[ATL] Coffey Rebound (Off:0 Def:1),128,205,4,,1628269,,1611661330,5,11,0,1
06:18,[ATL] Parker Running Layup Shot: Missed,18,17,2,,204323,,1611661330,5,11,0,1
06:13,[PHO] Taurasi Rebound (Off:0 Def:1),18,17,4,,100940,,1611661317,5,11,0,1
06:08,[PHO] Turner Cutting Layup Shot: Missed,5,23,2,,1629488,,1611661317,5,11,0,1
06:08,[PHO] Gustafson Rebound (Off:2 Def:0),5,23,4,,1629484,,1611661317,5,11,0,1
06:08,[PHO 7-11] Gustafson Layup Shot: Made (2 PTS),4,1,1,,1629484,,1611661317,7,11,2,1
06:08,[ATL] Howard Foul: Personal (1 PF) (1 FTA),-13,45,6,1629484,1631009,101044,1611661330,7,11,0,1
06:08,[PHO] Cunningham Substitution replaced by Sutton,0,-80,8,,1629482,1630134,1611661317,7,11,0,1
06:08,[PHO] Jefferson Substitution replaced by Peddy,0,-80,8,,1627669,203035,1611661317,7,11,0,1
06:08,[ATL] Parker Substitution replaced by Billings,0,-80,8,,204323,1628881,1611661330,7,11,0,1
06:08,[PHO 8-11] Gustafson Free Throw 1 of 1 (3 PTS),0,-80,3,,1629484,,1611661317,8,11,1,1
05:50,[ATL] Gray Pullup Jump shot: Missed,-1,170,2,,1628277,,1611661330,8,11,0,1
