,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,LOS ANGELES SPARKS,101.9,93.1,2002,5.425000000000011,3.3687500000000057
1,HOUSTON COMETS,96.0,87.3,2002,-0.4749999999999943,9.168750000000003
2,UTAH STARZZ,100.3,98.5,2002,3.825000000000003,-2.03125
3,CHARLOTTE STING,104.4,99.4,2002,7.925000000000011,-2.9312500000000057
4,NEW YORK LIBERTY,98.2,94.8,2002,1.7250000000000085,1.6687500000000028
5,SEATTLE STORM,97.4,93.9,2002,0.9250000000000114,2.5687499999999943
6,WASHINGTON MYSTICS,96.6,95.6,2002,0.125,0.8687500000000057
7,INDIANA FEVER,96.9,98.3,2002,0.42500000000001137,-1.8312499999999972
8,ORLANDO MIRACLE,99.0,98.6,2002,2.5250000000000057,-2.1312499999999943
9,PORTLAND FIRE,94.8,97.0,2002,-1.6749999999999972,-0.53125
10,MIAMI SOL,94.2,96.3,2002,-2.2749999999999915,0.16875000000000284
11,SACRAMENTO MONARCHS,93.4,98.3,2002,-3.0749999999999886,-1.8312499999999972
12,PHOENIX MERCURY,92.4,100.6,2002,-4.074999999999989,-4.131249999999994
13,CLEVELAND ROCKERS,95.1,97.9,2002,-1.375,-1.4312500000000057
14,MINNESOTA LYNX,91.8,96.2,2002,-4.674999999999997,0.26874999999999716
15,DETROIT SHOCK,91.2,97.7,2002,-5.2749999999999915,-1.2312500000000028
