,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,LOS ANGELES SPARKS,105.3,93.6,2001,11.018749999999997,0.6312499999999943
1,CLEVELAND ROCKERS,96.5,85.9,2001,2.21875,8.331249999999983
2,NEW YORK LIBERTY,99.0,95.4,2001,4.71875,-1.168750000000017
3,MIAMI SOL,91.7,88.7,2001,-2.581249999999997,5.531249999999986
4,SACRAMENTO MONARCHS,99.0,92.4,2001,4.71875,1.831249999999983
5,HOUSTON COMETS,94.5,91.5,2001,0.21875,2.7312499999999886
6,UTAH STARZZ,96.1,96.5,2001,1.8187499999999943,-2.2687500000000114
7,CHARLOTTE STING,97.1,94.6,2001,2.8187499999999943,-0.3687500000000057
8,ORLANDO MIRACLE,93.5,96.6,2001,-0.78125,-2.3687500000000057
9,PHOENIX MERCURY,90.1,95.0,2001,-4.181250000000006,-0.7687500000000114
10,MINNESOTA LYNX,91.7,94.8,2001,-2.581249999999997,-0.5687500000000085
11,PORTLAND FIRE,90.2,95.3,2001,-4.081249999999997,-1.0687500000000085
12,DETROIT SHOCK,92.3,99.9,2001,-1.9812500000000028,-5.668750000000017
13,INDIANA FEVER,96.1,99.6,2001,1.8187499999999943,-5.368750000000006
14,SEATTLE STORM,89.0,95.2,2001,-5.28125,-0.9687500000000142
15,WASHINGTON MYSTICS,86.4,92.7,2001,-7.881249999999994,1.5312499999999858
