,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,LOS ANGELES SPARKS,101.1,91.2,2000,4.162499999999994,5.768749999999997
1,HOUSTON COMETS,109.1,90.8,2000,12.162499999999994,6.168750000000003
2,SACRAMENTO MONARCHS,102.4,95.4,2000,5.462500000000006,1.5687499999999943
3,NEW YORK LIBERTY,98.0,92.5,2000,1.0625,4.46875
4,PHOENIX MERCURY,101.2,94.7,2000,4.262500000000003,2.268749999999997
5,UTAH STARZZ,100.6,101.3,2000,3.6624999999999943,-4.331249999999997
6,CLEVELAND ROCKERS,98.3,94.2,2000,1.3624999999999972,2.768749999999997
7,ORLANDO MIRACLE,97.7,99.4,2000,0.7625000000000028,-2.4312500000000057
8,MINNESOTA LYNX,96.4,95.9,2000,-0.5374999999999943,1.0687499999999943
9,DETROIT SHOCK,96.6,101.1,2000,-0.3375000000000057,-4.131249999999994
10,WASHINGTON MYSTICS,97.8,99.8,2000,0.8624999999999972,-2.831249999999997
11,MIAMI SOL,84.8,92.5,2000,-12.137500000000003,4.46875
12,PORTLAND FIRE,91.2,98.0,2000,-5.737499999999997,-1.03125
13,INDIANA FEVER,97.2,100.6,2000,0.26250000000000284,-3.6312499999999943
14,CHARLOTTE STING,95.5,106.0,2000,-1.4375,-9.03125
15,SEATTLE STORM,83.1,98.1,2000,-13.837500000000006,-1.1312499999999943
