,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,HOUSTON COMETS,104.1,86.7,1998,10.340000000000003,7.030000000000001
1,CLEVELAND ROCKERS,97.3,93.1,1998,3.5400000000000063,0.6300000000000097
2,PHOENIX MERCURY,98.5,90.2,1998,4.740000000000009,3.530000000000001
3,CHARLOTTE STING,96.1,91.6,1998,2.3400000000000034,2.1300000000000097
4,NEW YORK LIBERTY,93.2,89.5,1998,-0.5599999999999881,4.230000000000004
5,DETROIT SHOCK,93.3,92.5,1998,-0.45999999999999375,1.230000000000004
6,LOS ANGELES SPARKS,93.6,95.5,1998,-0.1599999999999966,-1.769999999999996
7,UTAH STARZZ,90.7,99.6,1998,-3.059999999999988,-5.86999999999999
8,SACRAMENTO MONARCHS,87.0,95.4,1998,-6.759999999999991,-1.6700000000000017
9,WASHINGTON MYSTICS,83.8,103.2,1998,-9.959999999999994,-9.469999999999999
