,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,CHICAGO SKY,105.8,99.7,2022,4.050000000000011,2.033333333333303
1,LAS VEGAS ACES,109.6,102.0,2022,7.8500000000000085,-0.26666666666669414
2,CONNECTICUT SUN,105.8,96.3,2022,4.050000000000011,5.433333333333309
3,SEATTLE STORM,102.6,97.4,2022,0.8500000000000085,4.3333333333333
4,WASHINGTON MYSTICS,101.1,96.0,2022,-0.6499999999999915,5.733333333333306
5,DALLAS WINGS,104.6,104.3,2022,2.8500000000000085,-2.5666666666666913
6,NEW YORK LIBERTY,99.0,102.0,2022,-2.749999999999986,-0.26666666666669414
7,PHOENIX MERCURY,100.7,104.1,2022,-1.049999999999983,-2.3666666666666885
8,ATLANTA DREAM,96.4,99.8,2022,-5.34999999999998,1.9333333333333087
9,MINNESOTA LYNX,102.6,104.4,2022,0.8500000000000085,-2.6666666666667
10,LOS ANGELES SPARKS,97.6,106.7,2022,-4.1499999999999915,-4.966666666666697
11,INDIANA FEVER,95.2,108.1,2022,-6.549999999999983,-6.3666666666666885
