,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,NEW YORK LIBERTY,96.6,92.4,2015,-1.2833333333333456,5.4916666666666885
1,MINNESOTA LYNX,99.6,94.2,2015,1.7166666666666544,3.6916666666666913
2,CHICAGO SKY,104.4,99.4,2015,6.516666666666666,-1.5083333333333115
3,INDIANA FEVER,99.8,97.4,2015,1.9166666666666572,0.49166666666668846
4,PHOENIX MERCURY,98.5,94.8,2015,0.61666666666666,3.091666666666697
5,TULSA SHOCK,101.5,100.5,2015,3.61666666666666,-2.608333333333306
6,WASHINGTON MYSTICS,98.1,95.1,2015,0.21666666666665435,2.7916666666667
7,ATLANTA DREAM,97.7,100.6,2015,-0.18333333333333712,-2.7083333333333
8,CONNECTICUT SUN,98.2,100.2,2015,0.3166666666666629,-2.3083333333333087
9,LOS ANGELES SPARKS,98.9,100.0,2015,1.0166666666666657,-2.108333333333306
10,SEATTLE STORM,92.3,99.9,2015,-5.583333333333343,-2.0083333333333115
11,SAN ANTONIO STARS,89.0,100.2,2015,-8.88333333333334,-2.3083333333333087
