,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,PHOENIX MERCURY,108.8,104.2,2009,10.407692307692301,-5.7538461538461405
1,INDIANA FEVER,96.5,93.3,2009,-1.8923076923076962,5.146153846153865
2,SEATTLE STORM,97.4,95.0,2009,-0.9923076923076906,3.4461538461538623
3,ATLANTA DREAM,99.5,96.6,2009,1.1076923076923038,1.846153846153868
4,DETROIT SHOCK,97.3,97.2,2009,-1.092307692307699,1.2461538461538595
5,LOS ANGELES SPARKS,96.8,95.6,2009,-1.592307692307699,2.846153846153868
6,CHICAGO SKY,98.3,102.9,2009,-0.09230769230769909,-4.453846153846143
7,CONNECTICUT SUN,96.7,96.5,2009,-1.6923076923076934,1.9461538461538623
8,WASHINGTON MYSTICS,94.7,96.4,2009,-3.6923076923076934,2.0461538461538566
9,SAN ANTONIO SILVER STARS,99.4,101.2,2009,1.0076923076923094,-2.7538461538461405
10,MINNESOTA LYNX,100.3,103.5,2009,1.907692307692301,-5.053846153846138
11,NEW YORK LIBERTY,95.4,96.2,2009,-2.9923076923076906,2.2461538461538595
12,SACRAMENTO MONARCHS,98.0,101.2,2009,-0.39230769230769624,-2.7538461538461405
