,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,WASHINGTON MYSTICS,112.9,98.1,2019,14.208333333333343,0.6083333333333343
1,CONNECTICUT SUN,100.3,96.8,2019,1.6083333333333343,1.9083333333333314
2,LOS ANGELES SPARKS,99.3,96.0,2019,0.6083333333333343,2.7083333333333286
3,LAS VEGAS ACES,99.1,95.0,2019,0.40833333333333144,3.7083333333333286
4,CHICAGO SKY,101.6,100.1,2019,2.9083333333333314,-1.3916666666666657
5,MINNESOTA LYNX,98.8,95.8,2019,0.10833333333333428,2.9083333333333314
6,SEATTLE STORM,96.2,96.4,2019,-2.49166666666666,2.308333333333323
7,PHOENIX MERCURY,98.3,99.5,2019,-0.3916666666666657,-0.7916666666666714
8,INDIANA FEVER,98.6,101.9,2019,-0.09166666666666856,-3.191666666666677
9,DALLAS WINGS,94.0,101.6,2019,-4.691666666666663,-2.8916666666666657
10,NEW YORK LIBERTY,95.4,103.8,2019,-3.291666666666657,-5.091666666666669
11,ATLANTA DREAM,89.8,99.5,2019,-8.891666666666666,-0.7916666666666714
