,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,MINNESOTA LYNX,106.6,94.7,2013,9.341666666666669,2.5999999999999943
1,CHICAGO SKY,102.3,95.1,2013,5.041666666666671,2.200000000000003
2,LOS ANGELES SPARKS,102.8,94.0,2013,5.541666666666671,3.299999999999997
3,PHOENIX MERCURY,99.7,100.5,2013,2.441666666666677,-3.200000000000003
4,ATLANTA DREAM,95.5,93.6,2013,-1.7583333333333258,3.700000000000003
5,SEATTLE STORM,95.9,98.9,2013,-1.35833333333332,-1.6000000000000085
6,WASHINGTON MYSTICS,96.2,95.7,2013,-1.058333333333323,1.5999999999999943
7,INDIANA FEVER,95.5,95.8,2013,-1.7583333333333258,1.5
8,SAN ANTONIO SILVER STARS,93.9,101.3,2013,-3.35833333333332,-4.0
9,NEW YORK LIBERTY,89.4,98.5,2013,-7.85833333333332,-1.2000000000000028
10,TULSA SHOCK,98.3,100.7,2013,1.0416666666666714,-3.4000000000000057
11,CONNECTICUT SUN,91.0,98.8,2013,-6.258333333333326,-1.5
