,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,MINNESOTA LYNX,108.5,94.4,2017,6.208333333333329,7.86666666666666
1,LOS ANGELES SPARKS,106.7,96.1,2017,4.408333333333331,6.166666666666671
2,NEW YORK LIBERTY,101.8,97.9,2017,-0.49166666666667425,4.36666666666666
3,CONNECTICUT SUN,105.6,100.3,2017,3.308333333333323,1.9666666666666686
4,PHOENIX MERCURY,102.3,102.6,2017,0.008333333333325754,-0.3333333333333286
5,WASHINGTON MYSTICS,104.2,103.5,2017,1.9083333333333314,-1.2333333333333343
6,DALLAS WINGS,104.2,107.6,2017,1.9083333333333314,-5.333333333333329
7,SEATTLE STORM,105.0,105.0,2017,2.7083333333333286,-2.7333333333333343
8,ATLANTA DREAM,97.0,101.5,2017,-5.291666666666671,0.7666666666666657
9,CHICAGO SKY,99.5,105.7,2017,-2.7916666666666714,-3.433333333333337
10,INDIANA FEVER,97.0,108.1,2017,-5.291666666666671,-5.833333333333329
11,SAN ANTONIO STARS,95.7,104.5,2017,-6.591666666666669,-2.2333333333333343
