,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,MINNESOTA LYNX,105.5,95.4,2011,6.658333333333346,3.4749999999999943
1,CONNECTICUT SUN,99.9,95.6,2011,1.0583333333333513,3.2750000000000057
2,INDIANA FEVER,102.0,96.9,2011,3.1583333333333456,1.9749999999999943
3,SEATTLE STORM,97.2,94.8,2011,-1.6416666666666515,4.075000000000003
4,ATLANTA DREAM,99.4,97.3,2011,0.5583333333333513,1.5750000000000028
5,NEW YORK LIBERTY,98.5,96.9,2011,-0.34166666666665435,1.9749999999999943
6,PHOENIX MERCURY,107.3,103.7,2011,8.458333333333343,-4.825000000000003
7,SAN ANTONIO SILVER STARS,98.7,96.1,2011,-0.1416666666666515,2.7750000000000057
8,LOS ANGELES SPARKS,99.5,103.8,2011,0.6583333333333456,-4.924999999999997
9,CHICAGO SKY,95.4,96.2,2011,-3.4416666666666487,2.674999999999997
10,WASHINGTON MYSTICS,93.2,103.6,2011,-5.6416666666666515,-4.724999999999994
11,TULSA SHOCK,89.5,106.2,2011,-9.341666666666654,-7.325000000000003
