,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,HOUSTON COMETS,97.8,89.2,1997,6.2250000000000085,2.3500000000000085
1,NEW YORK LIBERTY,89.4,86.3,1997,-2.174999999999983,5.250000000000014
2,PHOENIX MERCURY,90.8,85.9,1997,-0.7749999999999915,5.650000000000006
3,CHARLOTTE STING,91.8,90.2,1997,0.22500000000000853,1.3500000000000085
4,CLEVELAND ROCKERS,92.9,90.6,1997,1.325000000000017,0.950000000000017
5,LOS ANGELES SPARKS,94.5,91.9,1997,2.9250000000000114,-0.3499999999999943
6,SACRAMENTO MONARCHS,91.0,100.0,1997,-0.5749999999999886,-8.449999999999989
7,UTAH STARZZ,84.4,98.3,1997,-7.174999999999983,-6.749999999999986
