,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,CONNECTICUT SUN,104.1,91.7,2021,3.624999999999986,8.783333333333331
1,LAS VEGAS ACES,107.1,96.0,2021,6.624999999999986,4.483333333333334
2,MINNESOTA LYNX,102.8,98.0,2021,2.3249999999999886,2.4833333333333343
3,SEATTLE STORM,103.6,98.4,2021,3.124999999999986,2.0833333333333286
4,PHOENIX MERCURY,104.3,101.3,2021,3.8249999999999886,-0.8166666666666629
5,CHICAGO SKY,100.9,99.4,2021,0.42499999999999716,1.0833333333333286
6,DALLAS WINGS,102.2,103.0,2021,1.7249999999999943,-2.5166666666666657
7,LOS ANGELES SPARKS,92.3,97.5,2021,-8.175000000000011,2.9833333333333343
8,NEW YORK LIBERTY,96.1,104.3,2021,-4.375000000000014,-3.816666666666663
9,WASHINGTON MYSTICS,99.5,104.4,2021,-0.9750000000000085,-3.9166666666666714
10,ATLANTA DREAM,97.5,104.0,2021,-2.9750000000000085,-3.5166666666666657
11,INDIANA FEVER,95.3,107.8,2021,-5.175000000000011,-7.316666666666663
