,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,PHOENIX MERCURY,106.4,94.1,2014,7.450000000000017,4.916666666666657
1,MINNESOTA LYNX,104.4,98.9,2014,5.450000000000017,0.11666666666664582
2,ATLANTA DREAM,97.6,95.5,2014,-1.3499999999999943,3.5166666666666515
3,INDIANA FEVER,98.0,99.1,2014,-0.9499999999999886,-0.08333333333334281
4,LOS ANGELES SPARKS,97.2,97.7,2014,-1.7499999999999858,1.3166666666666487
5,SAN ANTONIO STARS,101.1,103.1,2014,2.1500000000000057,-4.083333333333343
6,WASHINGTON MYSTICS,96.6,95.9,2014,-2.3499999999999943,3.116666666666646
7,CHICAGO SKY,97.3,99.8,2014,-1.6499999999999915,-0.7833333333333456
8,NEW YORK LIBERTY,93.2,97.1,2014,-5.749999999999986,1.9166666666666572
9,CONNECTICUT SUN,97.1,99.4,2014,-1.8499999999999943,-0.3833333333333542
10,SEATTLE STORM,95.4,101.5,2014,-3.549999999999983,-2.4833333333333485
11,TULSA SHOCK,103.1,106.1,2014,4.150000000000006,-7.083333333333343
