Team,Offensive Rating,Defensive Rating
LOS ANGELES SPARKS,97.7,92.8
SEATTLE STORM,101.2,94.2
CONNECTICUT SUN,97.6,96.2
MINNESOTA LYNX,90.2,91.9
NEW YORK LIBERTY,95.5,97.7
SACRAMENTO MONARCHS,97.9,94.8
DETROIT SHOCK,94.9,96.0
PHOENIX MERCURY,98.4,95.2
WASHINGTON MYSTICS,96.7,98.1
CHARLOTTE STING,95.7,99.1
INDIANA FEVER,95.9,97.4
HOUSTON COMETS,93.4,94.9
SAN ANTONIO SILVER STARS,92.4,99.8
