,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,LAS VEGAS ACES,107.3,97.2,2020,4.925000000000011,5.183333333333337
1,SEATTLE STORM,108.3,93.3,2020,5.925000000000011,9.083333333333343
2,LOS ANGELES SPARKS,104.3,98.8,2020,1.9250000000000114,3.583333333333343
3,MINNESOTA LYNX,106.7,101.7,2020,4.325000000000017,0.6833333333333371
4,PHOENIX MERCURY,104.5,101.8,2020,2.125000000000014,0.5833333333333428
5,CHICAGO SKY,105.7,102.7,2020,3.325000000000017,-0.3166666666666629
6,CONNECTICUT SUN,100.1,99.5,2020,-2.2749999999999915,2.88333333333334
7,WASHINGTON MYSTICS,100.1,102.2,2020,-2.2749999999999915,0.18333333333333712
8,DALLAS WINGS,103.6,108.0,2020,1.2250000000000085,-5.61666666666666
9,ATLANTA DREAM,99.0,107.1,2020,-3.374999999999986,-4.716666666666654
10,INDIANA FEVER,101.6,111.8,2020,-0.7749999999999915,-9.416666666666657
11,NEW YORK LIBERTY,87.3,104.5,2020,-15.074999999999989,-2.11666666666666
