,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,MINNESOTA LYNX,107.4,96.6,2016,4.4916666666666885,6.291666666666671
1,LOS ANGELES SPARKS,106.7,97.6,2016,3.7916666666666856,5.291666666666671
2,NEW YORK LIBERTY,100.6,99.7,2016,-2.308333333333323,3.191666666666663
3,CHICAGO SKY,107.1,106.2,2016,4.191666666666677,-3.308333333333337
4,ATLANTA DREAM,100.8,103.3,2016,-2.10833333333332,-0.40833333333333144
5,INDIANA FEVER,102.8,103.4,2016,-0.10833333333332007,-0.50833333333334
6,PHOENIX MERCURY,105.0,103.8,2016,2.0916666666666828,-0.9083333333333314
7,SEATTLE STORM,103.9,103.1,2016,0.9916666666666885,-0.2083333333333286
8,CONNECTICUT SUN,102.1,103.7,2016,-0.8083333333333229,-0.8083333333333371
9,WASHINGTON MYSTICS,103.1,104.8,2016,0.1916666666666771,-1.9083333333333314
10,DALLAS WINGS,101.8,108.5,2016,-1.10833333333332,-5.608333333333334
11,SAN ANTONIO STARS,93.6,104.0,2016,-9.308333333333323,-1.1083333333333343
