,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,MINNESOTA LYNX,108.6,96.5,2012,9.775000000000006,2.325000000000003
1,CONNECTICUT SUN,102.6,97.1,2012,3.7750000000000057,1.7250000000000085
2,LOS ANGELES SPARKS,104.2,97.0,2012,5.375000000000014,1.8250000000000028
3,INDIANA FEVER,103.1,95.5,2012,4.275000000000006,3.325000000000003
4,SAN ANTONIO SILVER STARS,105.6,98.9,2012,6.775000000000006,-0.07500000000000284
5,ATLANTA DREAM,97.0,93.3,2012,-1.8249999999999886,5.525000000000006
6,SEATTLE STORM,94.6,94.8,2012,-4.224999999999994,4.025000000000006
7,NEW YORK LIBERTY,95.2,100.5,2012,-3.624999999999986,-1.6749999999999972
8,CHICAGO SKY,96.7,97.1,2012,-2.124999999999986,1.7250000000000085
9,TULSA SHOCK,96.4,104.9,2012,-2.424999999999983,-6.075000000000003
10,PHOENIX MERCURY,91.6,106.8,2012,-7.224999999999994,-7.974999999999994
11,WASHINGTON MYSTICS,90.3,103.5,2012,-8.524999999999991,-4.674999999999997
