,Team,Offensive Rating,Defensive Rating,Year,RelTAvgOff,RelTAvgDef
0,SEATTLE STORM,108.5,99.3,2018,5.375,3.8166666666666913
1,ATLANTA DREAM,100.4,97.5,2018,-2.7249999999999943,5.6166666666666885
2,CONNECTICUT SUN,108.6,101.4,2018,5.474999999999994,1.7166666666666828
3,WASHINGTON MYSTICS,107.6,103.5,2018,4.474999999999994,-0.38333333333331154
4,PHOENIX MERCURY,107.3,103.8,2018,4.174999999999997,-0.6833333333333087
5,LOS ANGELES SPARKS,101.1,98.9,2018,-2.0250000000000057,4.216666666666683
6,MINNESOTA LYNX,100.8,99.8,2018,-2.325000000000003,3.3166666666666913
7,DALLAS WINGS,106.2,105.0,2018,3.075000000000003,-1.8833333333333115
8,LAS VEGAS ACES,102.0,105.2,2018,-1.125,-2.0833333333333144
9,CHICAGO SKY,101.8,109.9,2018,-1.3250000000000028,-6.783333333333317
10,NEW YORK LIBERTY,97.5,105.9,2018,-5.625,-2.7833333333333172
11,INDIANA FEVER,95.7,107.2,2018,-7.424999999999997,-4.083333333333314
