"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Arike Ogunbowale","DAL",40,1489,141,109.79278074866309,105.01002004008015,760,0.3333333333333333,0.5283018867924528,0.34375,0.24358974358974358,3,3,0,0,0,3,0,0,2,0.6666666666666666,69,24,45,0
"Alyssa Thomas","CON",40,1446,224,107.08466170740347,99.18497519489723,548,0,0.40625,0.2558139534883721,0.2564102564102564,19,19,0,4,12,3,0,0,11,0.5789473684210527,73,47,26,0
"Breanna Stewart","NYL",40,1365,357,114.32770022042617,101.17517443995592,799,0.2827586206896552,0.22727272727272727,0.34513274336283184,0.3333333333333333,63,57,6,37,16,4,1,5,38,0.6031746031746031,58,22,36,0
"Kelsey Mitchell","IND",40,1349,-95,104.15879017013233,108.11836115326253,651,0.32653061224489793,0.3870967741935484,0.34375,0.3225806451612903,2,2,0,1,0,1,0,0,0,0,37,12,25,0
"Jewell Loyd","SEA",38,1344,-146,99.70227018980275,105.76563084986896,856,0.20725388601036268,0.4716981132075472,0.2283464566929134,0.19791666666666666,16,15,1,7,8,0,0,1,12,0.75,38,8,30,0
"Ezi Magbegor","SEA",40,1304,-120,99.42285494420932,104.04001539053483,493,0.22916666666666666,0.47058823529411764,0.3026315789473684,0.18181818181818182,74,71,3,31,36,4,1,2,47,0.6351351351351351,45,9,36,0
"Natasha Howard","DAL",39,1289,115,109.25349922239502,104.45736434108527,534,0.28735632183908044,0.36065573770491804,0.33,0.2631578947368421,45,44,1,15,28,1,0,1,22,0.4888888888888889,50,15,35,0
"Chelsea Gray","LVA",40,1288,436,114.85186610234706,98.45500193124758,585,0.2619047619047619,0.4166666666666667,0.16666666666666666,0.2328767123287671,25,23,2,12,11,0,0,2,20,0.8,57,19,38,0
"Rhyne Howard","ATL",39,1283,-13,102.42214532871972,103.00115429011159,604,0.3081395348837209,0.3103448275862069,0.23684210526315788,0.30985915492957744,25,23,2,14,7,2,0,2,15,0.6,51,10,41,0
"Kelsey Plum","LVA",39,1265,554,119.49709864603481,98.75340864822749,652,0.20689655172413793,0.19444444444444445,0.21621621621621623,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,43,15,28,0
"Jackie Young","LVA",40,1259,511,118.19244253992987,98.32424006235385,642,0.18518518518518517,0.36363636363636365,0.19718309859154928,0.08695652173913043,5,4,1,3,1,0,0,1,3,0.6,52,10,42,0
"Satou Sabally","DAL",38,1258,159,111.15913555992142,105.11811023622047,600,0.3185840707964602,0.3620689655172414,0.3707865168539326,0.4418604651162791,16,15,1,6,9,0,1,0,11,0.6875,68,19,49,0
"Brittney Sykes","WAS",40,1252,58,103.45950345950345,101.38775510204081,594,0.09090909090909091,0.26,0.36666666666666664,0.24675324675324675,13,13,0,4,7,2,0,0,7,0.5384615384615384,84,26,58,0
"Aliyah Boston","IND",40,1249,-53,107.01320132013203,109.19966996699671,438,0.3333333333333333,0.41025641025641024,0.30985915492957744,0.3076923076923077,50,50,0,37,13,0,0,0,23,0.46,53,11,42,0
"Allisha Gray","ATL",38,1244,-40,100.94974277799763,102.61386138613861,564,0.22535211267605634,0.21739130434782608,0.2808988764044944,0.20512820512820512,14,11,3,5,4,2,0,3,7,0.5,40,13,27,0
"Napheesa Collier","MIN",37,1238,-103,101.68032786885246,105.59869227625664,702,0.17105263157894737,0.42105263157894735,0.23484848484848486,0.2,43,43,0,19,24,0,0,0,29,0.6744186046511628,61,11,50,0
"Jordin Canada","LAS",38,1237,29,100.81799591002046,99.67266775777414,485,0.15942028985507245,0.2857142857142857,0.22580645161290322,0.25,9,8,1,5,3,0,0,1,3,0.3333333333333333,86,26,60,0
"A'ja Wilson","LVA",40,1228,486,117.75663892191835,98.80715705765408,782,0.10526315789473684,0.37254901960784315,0.2689655172413793,0.14583333333333334,89,87,2,37,42,8,1,1,59,0.6629213483146067,56,7,49,0
