"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Sylvia Fowles","CHI",34,1175,-35,97.93072424651372,99.50517318938371,542,0,0.34523809523809523,0.3132530120481928,0.07142857142857142,68,67,1,34,31,2,1,0,32,0.47058823529411764,41,7,34,0
"Tiffany Jackson","TUL",34,1152,-389,90.7621247113164,108.72979214780601,354,0,0.34328358208955223,0.28846153846153844,0.25,21,21,0,7,14,0,0,0,11,0.5238095238095238,40,9,31,0
"Cappie Pondexter","NYL",34,1151,73,102.06327372764787,98.80679210647087,529,0.2621359223300971,0.375,0.4057971014492754,0.33707865168539325,10,8,2,5,3,0,0,2,6,0.6,43,17,26,0
"Tina Charles","CON",34,1136,95,103.08950477055883,98.37104072398189,432,0,0.375,0.2727272727272727,0.18571428571428572,60,59,1,35,22,2,1,0,33,0.55,26,10,16,0
"Swin Cash","SEA",34,1128,27,99.0239141044412,97.75390625,393,0.20481927710843373,0.39285714285714285,0.2909090909090909,0.27586206896551724,21,21,0,6,13,2,0,0,13,0.6190476190476191,32,6,26,0
"Sue Bird","SEA",34,1123,100,101.71065493646138,97.39429695181907,468,0.2808988764044944,0.5,0.27906976744186046,0.32432432432432434,6,6,0,2,3,1,0,0,3,0.5,48,15,33,0
"Candice Dupree","PHO",34,1075,130,111.41279337321674,105.13997246443323,418,0.25,0.425531914893617,0.2602739726027397,0.2972972972972973,25,23,2,10,13,0,0,2,14,0.56,19,2,17,0
"Matee Ajavon","WAS",34,1064,-176,95.63894523326573,104.40506329113924,458,0.4111111111111111,0.37777777777777777,0.28888888888888886,0.4634146341463415,9,8,1,6,1,1,0,1,4,0.4444444444444444,57,36,21,0
"Crystal Langhorne","WAS",31,1063,-179,96.36547198384655,105.88235294117648,419,0.4,0.42857142857142855,0.3125,0.2222222222222222,15,15,0,9,6,0,0,0,8,0.5333333333333333,39,13,26,0
"Becky Hammon","SAN",33,1050,129,102.50860796851944,96.30541871921181,484,0.2882882882882883,0.38,0.3076923076923077,0.18181818181818182,7,6,1,2,3,1,0,1,4,0.5714285714285714,49,20,29,0
"Sophia Young-Malcolm","SAN",33,1043,130,100.55082623935904,94.37185929648241,397,0,0.27450980392156865,0.19008264462809918,0.14583333333333334,16,16,0,8,8,0,0,0,8,0.5,67,26,41,0
"Tamika Catchings","IND",33,1040,180,105.88536335721597,96.9214982042073,435,0.2631578947368421,0.28,0.30952380952380953,0.2786885245901639,30,28,2,18,8,2,1,1,14,0.4666666666666667,67,21,46,0
"Lindsey Harding","ATL",34,1037,86,100.81145584725537,96.79885332059246,339,0.4444444444444444,0.4,0.3888888888888889,0.28888888888888886,6,5,1,0,4,1,0,1,5,0.8333333333333334,34,14,20,0
"Epiphanny Prince","CHI",34,1001,-36,97.81021897810218,99.53149401353461,423,0.2857142857142857,0.3829787234042553,0.3,0.5,13,12,1,5,4,3,0,1,8,0.6153846153846154,79,38,41,0
"Seimone Augustus","MIN",34,997,196,108.6842105263158,98.99364406779661,493,0.30303030303030304,0.46153846153846156,0.4411764705882353,0.2702702702702703,15,12,3,2,8,2,1,2,8,0.5333333333333333,30,9,21,0
"Renee Montgomery","CON",34,991,154,105.25231719876415,98.13084112149532,456,0.3723404255319149,0.3541666666666667,0.3125,0.2777777777777778,3,3,0,1,1,1,0,0,2,0.6666666666666666,49,15,34,0
"Asjha Jones","CON",34,971,133,104.1044776119403,97.37827715355805,376,0.16666666666666666,0.3673469387755102,0.27956989247311825,0.22448979591836735,16,16,0,11,5,0,0,0,12,0.75,21,8,13,0
"Taj McWilliams-Franklin","MIN",34,965,253,110.1592531576057,96.95796460176992,210,0.14285714285714285,0.42857142857142855,0.35555555555555557,0.3333333333333333,24,24,0,13,11,0,0,0,13,0.5416666666666666,35,7,28,0
"Diana Taurasi","PHO",32,965,138,112.36586612161472,105.31425651507409,634,0.30833333333333335,0.6666666666666666,0.34,0.2222222222222222,20,20,0,7,11,2,0,0,11,0.55,24,7,17,0
"Lindsay Whalen","MIN",34,957,213,109.66501922020868,97.6998904709748,411,0.3181818181818182,0.5,0.5272727272727272,0.2727272727272727,5,5,0,1,4,0,0,0,3,0.6,37,7,30,0
"Kia Vaughn","NYL",34,955,-19,98.54586129753916,99.49720670391062,232,0,0.36585365853658536,0.2777777777777778,0.19444444444444445,25,25,0,15,9,1,0,0,9,0.36,40,11,29,0
"Tanisha Wright","SEA",33,953,19,96.4244521337947,95.54913294797687,296,0.07407407407407407,0.5,0.28125,0.25806451612903225,1,0,1,0,0,0,0,1,1,1,40,10,30,0
"Maya Moore","MIN",34,951,274,110.38100496963004,95.93993325917685,388,0.3229166666666667,0.5,0.36585365853658536,0.41025641025641024,16,14,2,8,3,3,0,2,12,0.75,48,10,38,0
"Plenette Pierson","NYL",33,945,65,102.84280936454849,99.33035714285714,364,0.42857142857142855,0.34328358208955223,0.25396825396825395,0.3333333333333333,30,27,3,12,12,3,1,2,14,0.4666666666666667,38,8,30,0
"Kelly Miller","WAS",34,943,-193,95.40493968983343,106.06407322654462,209,0.43333333333333335,0.5,0.22727272727272727,0.3181818181818182,8,8,0,2,5,1,0,0,5,0.625,23,7,16,0
"Katie Douglas","IND",32,940,139,107.1835803876853,99.14578587699317,397,0.3116883116883117,0.20588235294117646,0.3,0.3023255813953488,8,7,1,3,3,1,0,1,3,0.375,41,5,36,0
"Rebekkah Brunson","MIN",34,938,234,109.47840717891195,96.35445877734156,266,0,0.42,0.3333333333333333,0.25,18,18,0,11,5,2,0,0,10,0.5555555555555556,28,3,25,0
"Nicole Powell","NYL",33,935,76,102.19347581552306,98.25056433408578,281,0.3469387755102041,0.5833333333333334,0.23333333333333334,0.3333333333333333,10,8,2,3,5,0,0,2,4,0.4,45,13,32,0
"Nicky Anosike","WAS",34,924,-161,93.8380281690141,103.04449648711945,173,0,0.5230769230769231,0.3137254901960784,0.36363636363636365,28,27,1,16,11,0,0,1,17,0.6071428571428571,49,34,15,0
"Angel McCoughtry","ATL",33,921,104,102.94117647058825,97.5302154492906,602,0.18,0.3176470588235294,0.3493975903614458,0.24210526315789474,32,29,3,13,10,6,2,1,20,0.625,72,31,41,0
"Marissa Coleman","WAS",34,918,-85,98.51895734597157,104.921968787515,249,0.27586206896551724,0.3333333333333333,0.48148148148148145,0.42424242424242425,14,12,2,1,7,4,0,2,4,0.2857142857142857,24,10,14,0
"DeLisha Milton-Jones","LAS",34,891,-42,103.1398104265403,105.69057498518079,326,0.24444444444444444,0.3157894736842105,0.30612244897959184,0.2608695652173913,12,10,2,2,6,2,0,2,8,0.6666666666666666,32,17,15,0
"Camille Little","SEA",33,887,118,99.38271604938272,92.84380833851898,281,0.4,0.3333333333333333,0.3870967741935484,0.6666666666666666,22,21,1,7,12,2,0,1,10,0.45454545454545453,45,16,29,0
"Sheryl Swoopes","TUL",33,879,-250,94.68919734459867,110.175651120533,249,0.3333333333333333,0.4444444444444444,0.20754716981132076,0.14285714285714285,9,8,1,2,5,1,0,1,6,0.6666666666666666,25,0,25,0
"Erika de Souza","ATL",32,878,26,100.94972067039107,99.66424174594292,283,0,0.3142857142857143,0.3717948717948718,0.22727272727272727,43,43,0,32,10,1,0,0,23,0.5348837209302325,38,12,26,0
"Leilani Mitchell","NYL",34,864,22,101.54990700557967,100.6853582554517,166,0.2535211267605634,0.2727272727272727,0.38461538461538464,0.23076923076923078,3,3,0,1,1,1,0,0,1,0.3333333333333333,44,20,24,0
"Penny Taylor","PHO",29,864,152,111.33903133903134,102.61958997722097,435,0.12121212121212122,0.41935483870967744,0.2765957446808511,0.1111111111111111,11,10,1,4,6,0,1,0,3,0.2727272727272727,49,9,40,0
"DeWanna Bonner","PHO",34,857,33,105.43859649122807,103.26721120186697,309,0.2698412698412698,0.5,0.325,0.23076923076923078,36,36,0,13,22,1,0,0,17,0.4722222222222222,34,3,31,0
"Katie Smith","SEA",34,853,66,99.67762733720181,95.66903684550743,224,0.2876712328767123,0.2222222222222222,0.13333333333333333,0.3142857142857143,5,5,0,0,5,0,0,0,1,0.2,24,10,14,0
"Jia Perkins","SAN",34,852,41,101.28205128205128,98.35866261398176,362,0.2375,0.42105263157894735,0.21568627450980393,0.2,9,7,2,4,1,2,1,1,5,0.5555555555555556,44,17,27,0
"Tina Thompson","LAS",34,851,-94,101.76544766708702,107.01754385964912,292,0.2125,0.5416666666666666,0.3103448275862069,0.2,23,20,3,7,13,0,1,2,14,0.6086956521739131,39,11,28,0
"Kara Lawson","CON",33,832,63,100.43103448275863,97.08978328173376,318,0.234375,0.2727272727272727,0.38461538461538464,0.24,1,1,0,1,0,0,0,0,1,1,23,7,16,0
"Michelle Snow","CHI",34,821,-19,95.11082138200783,94.98714652956298,172,0,0.4117647058823529,0.3191489361702128,0.12903225806451613,44,43,1,26,16,1,1,0,24,0.5454545454545454,16,2,14,0
"Ticha Penicheiro","LAS",34,807,-60,103.11258278145695,107.01522170747849,187,0.21052631578947367,0.3125,0.36,0.6428571428571429,3,2,1,1,1,0,0,1,2,0.6666666666666666,28,10,18,0
"Armintie Herrington","ATL",34,797,121,102.05096333126166,94.47204968944098,249,0,0.4117647058823529,0.5,0.34782608695652173,2,2,0,1,1,0,0,0,1,0.5,52,16,36,0
"Tamera Young","CHI",33,792,-56,95.66666666666667,98.35092348284961,226,0,0.5185185185185185,0.3953488372093023,0.21212121212121213,9,8,1,1,5,2,0,1,6,0.6666666666666666,37,12,25,0
"Danielle Robinson","SAN",34,786,45,102.01822916666667,99.60732984293195,261,0,0.3902439024390244,0.16666666666666666,0.23809523809523808,4,4,0,2,0,2,0,0,1,0.25,28,8,20,0
"Kayla Pedersen","TUL",33,784,-260,89.7863818424566,107.35785953177258,208,0.3170731707317073,0.3888888888888889,0.2,0.20689655172413793,12,12,0,8,3,1,0,0,8,0.6666666666666666,35,12,23,0
"Kalana Greene","CON",33,781,32,101.99203187250995,97.47245625405056,162,0.2857142857142857,0.5217391304347826,0.5,0.3,12,12,0,4,8,0,0,0,6,0.5,30,12,18,0
"Courtney Vandersloot","CHI",34,777,22,96.05614973262031,95.15803631472764,198,0.2777777777777778,0.28,0.42424242424242425,0.20689655172413793,13,12,1,6,4,2,0,1,7,0.5384615384615384,24,9,15,0
"Kristi Toliver","LAS",32,754,-48,100.55555555555556,104.46927374301676,324,0.2054794520547945,0.25,0.28125,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,21,10,11,0
"Ebony Hoffman","LAS",34,752,-108,96.3302752293578,104.3201133144476,202,0.20689655172413793,0.37142857142857144,0.25925925925925924,0.25,9,9,0,5,4,0,0,0,6,0.6666666666666666,36,12,24,0
"Tan White","CON",34,746,48,98.09134287661895,95.20876112251882,184,0.34545454545454546,0.5238095238095238,0.5263157894736842,0.24,6,6,0,4,1,1,0,0,3,0.5,40,14,26,0
