,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1773,Danielle Adams,SAS,F-C,34,700,14,10.3,25.3,0.407,3.0,9.7,0.307,7.3,15.6,0.468,4.8,6.0,0.797,3.2,10.7,2.4,1.7,1.8,3.3,7.8,28.4,2014,27.9,1.01792
1776,Jayne Appel-Marinelli,SAS,C,34,843,34,4.4,8.2,0.538,0.1,0.1,1.0,4.4,8.2,0.535,1.6,2.7,0.605,4.2,17.1,4.6,1.0,1.9,3.0,6.0,10.6,2014,9.4,1.12766
1777,Seimone Augustus*,MIN,G-F,24,749,24,11.9,23.2,0.511,0.8,2.5,0.333,11.0,20.7,0.532,3.1,3.6,0.846,0.9,6.1,4.0,0.7,0.1,2.7,1.6,27.6,2014,24.8,1.1129
1778,Mistie Bass,PHO,F,34,493,0,6.1,12.1,0.509,0.0,0.0,,6.1,12.1,0.509,3.4,5.1,0.667,4.3,11.6,1.9,1.7,1.4,2.5,5.5,15.7,2014,14.3,1.0979
1780,Alana Beard,LAS,G-F,33,913,33,6.8,14.7,0.463,0.5,1.6,0.286,6.3,13.1,0.485,2.0,2.7,0.745,1.1,4.9,4.8,2.1,0.9,3.4,4.9,16.1,2014,15.9,1.01258
1781,Alex Bentley,CON,G,34,872,30,10.4,24.1,0.433,1.9,5.8,0.323,8.6,18.4,0.467,2.2,2.9,0.755,0.4,3.5,7.6,2.6,0.2,4.1,5.5,24.9,2014,25.4,0.98031
1783,Sue Bird,SEA,G,33,963,33,7.4,19.1,0.386,2.2,6.5,0.345,5.2,12.6,0.407,3.1,3.7,0.831,0.3,4.1,7.6,1.5,0.1,4.3,1.8,20.1,2014,20.7,0.97101
1784,Kelsey Bone,CON,C,34,793,26,9.0,20.0,0.451,0.0,0.2,0.0,9.0,19.8,0.455,2.8,4.3,0.662,3.8,11.9,3.0,1.5,1.1,4.4,6.8,20.9,2014,21.9,0.95434
1785,DeWanna Bonner,PHO,F-G,34,994,34,6.8,14.8,0.459,1.3,4.5,0.279,5.5,10.2,0.538,3.7,4.8,0.78,1.8,7.3,4.1,2.6,0.8,2.5,2.3,18.5,2014,16.9,1.09467
1788,Jessica Breland,CHI,F,32,849,32,8.3,18.0,0.461,0.0,0.2,0.0,8.3,17.8,0.466,2.5,3.3,0.759,3.9,13.4,3.7,1.8,3.6,4.3,5.5,19.1,2014,19.5,0.97949
1794,Tamika Catchings*,IND,F,16,430,16,11.3,25.5,0.446,1.8,4.8,0.368,9.6,20.7,0.463,8.1,10.2,0.79,2.6,12.9,3.8,3.4,1.6,4.2,3.8,32.5,2014,30.0,1.08333
1795,Tina Charles,NYL,C,34,1119,34,11.2,24.2,0.462,0.0,0.0,,11.2,24.2,0.462,5.6,7.4,0.752,4.2,15.1,3.5,2.1,1.4,3.6,2.7,27.9,2014,27.5,1.01455
1796,Karima Christmas-Kelly,IND,F-G,34,736,3,5.1,14.8,0.343,2.0,5.2,0.386,3.1,9.6,0.321,5.2,6.9,0.755,3.5,8.9,2.1,2.2,0.7,1.8,5.2,17.4,2014,17.8,0.97753
1799,Alysha Clark,SEA,F,34,561,22,5.5,12.3,0.448,1.4,5.6,0.246,4.1,6.7,0.618,1.6,2.3,0.696,2.6,7.2,2.0,1.6,1.0,2.4,6.3,14.0,2014,13.3,1.05263
1801,Marissa Coleman,IND,G-F,34,815,32,7.0,18.0,0.391,2.9,7.5,0.381,4.2,10.5,0.399,3.3,4.0,0.817,1.9,7.4,2.5,1.8,0.7,2.7,4.5,20.2,2014,19.8,1.0202
1803,Anna Cruz,NYL,G,34,922,34,6.3,13.5,0.462,1.0,2.8,0.347,5.3,10.7,0.492,1.5,2.2,0.692,0.8,6.8,6.9,2.5,0.5,4.1,3.5,15.0,2014,14.5,1.03448
1804,Monique Currie,WAS,F,34,804,28,6.9,17.6,0.393,1.3,5.6,0.229,5.7,12.0,0.469,7.5,9.4,0.793,2.0,10.6,3.5,2.4,0.3,3.3,6.1,22.6,2014,21.7,1.04147
1805,Damiris Dantas,MIN,F,30,655,23,5.7,11.1,0.511,0.1,0.1,1.0,5.6,11.0,0.507,3.0,4.0,0.76,3.7,12.1,2.9,1.2,0.9,1.9,4.9,14.4,2014,12.9,1.11628
1806,Elena Delle Donne,CHI,F-G,16,408,9,11.6,27.1,0.429,2.6,7.0,0.364,9.1,20.0,0.452,10.7,11.5,0.933,2.8,8.2,2.3,1.1,3.1,1.5,2.8,36.5,2014,32.2,1.13354
