,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
183,Lindsay Allen,MIN,G,29,698,20,4.7,11.9,0.399,0.5,2.5,0.206,4.2,9.4,0.45,3.1,3.9,0.792,1.2,5.2,9.5,1.2,0.2,2.7,4.4,13.1,2023,13.6,0.96324
184,Rebecca Allen,CON,F-G,40,858,27,5.9,14.4,0.408,2.4,6.9,0.348,3.5,7.5,0.464,1.1,1.6,0.704,1.7,6.8,2.2,2.2,3.0,2.0,4.6,15.3,2023,15.1,1.01325
186,Ariel Atkins,WAS,G,27,679,27,7.7,18.7,0.414,3.1,9.2,0.339,4.6,9.5,0.488,4.5,5.1,0.897,1.3,6.2,4.5,2.4,0.7,2.6,5.3,23.2,2023,20.9,1.11005
187,Shakira Austin,WAS,C-F,19,440,17,8.9,17.7,0.5,0.0,0.0,,8.9,17.7,0.5,4.1,6.8,0.61,3.3,15.3,2.0,1.8,2.0,4.0,5.1,21.8,2023,20.7,1.05314
188,Rachel Banham,MIN,G,32,435,1,7.1,19.3,0.37,5.0,12.5,0.402,2.1,6.8,0.31,1.3,1.6,0.786,0.5,3.7,6.3,1.3,0.4,4.2,5.3,20.6,2023,20.0,1.03
189,Kierstan Bell,LVA,F,36,424,0,6.2,17.8,0.346,2.3,9.6,0.244,3.8,8.3,0.465,0.7,1.2,0.6,1.6,6.5,2.1,1.7,0.6,1.6,5.5,15.4,2023,18.3,0.84153
190,Grace Berger,IND,G,36,524,0,5.6,12.4,0.449,1.6,3.3,0.471,4.0,9.1,0.441,2.1,2.4,0.84,0.7,5.5,6.6,1.7,0.6,3.6,3.7,14.8,2023,13.5,1.0963
192,Monique Billings,ATL,F,39,653,9,5.1,12.6,0.407,0.0,0.3,0.0,5.1,12.3,0.417,3.9,4.6,0.836,4.0,14.6,2.3,1.2,0.9,2.9,5.7,14.1,2023,14.6,0.96575
193,DeWanna Bonner,CON,F-G,40,1203,40,10.0,23.4,0.425,3.2,9.8,0.329,6.8,13.7,0.494,6.7,7.7,0.862,1.5,9.6,3.7,1.8,1.1,2.5,2.7,29.8,2023,26.8,1.11194
194,Aliyah Boston,IND,F-C,40,1249,40,9.6,16.6,0.578,0.2,0.4,0.4,9.4,16.2,0.583,4.4,6.0,0.745,5.1,13.8,3.7,2.2,2.1,3.1,5.1,23.8,2023,19.2,1.23958
195,Kalani Brown,DAL,C,32,524,5,8.6,13.6,0.629,0.0,0.1,0.0,8.6,13.5,0.634,6.6,8.2,0.802,5.2,13.6,3.1,0.7,2.1,4.0,6.2,23.8,2023,17.2,1.38372
199,Veronica Burton,DAL,G,40,555,13,2.3,7.7,0.294,1.2,4.3,0.271,1.1,3.3,0.324,2.8,3.1,0.912,2.0,6.3,7.9,2.6,0.9,1.5,5.1,8.5,2023,9.1,0.93407
201,Jordin Canada,LAS,G,38,1237,38,6.7,16.6,0.404,1.7,5.1,0.333,5.0,11.5,0.436,5.7,6.5,0.873,0.4,4.8,9.4,3.5,0.4,4.2,3.7,20.8,2023,19.5,1.06667
203,Bridget Carleton,MIN,F,38,573,4,3.6,10.6,0.345,2.7,7.9,0.337,1.0,2.7,0.367,1.0,1.3,0.733,1.7,7.9,3.0,1.2,0.3,1.4,4.4,10.9,2023,11.2,0.97321
204,DiJonai Carrington,CON,G-F,32,550,0,8.7,20.9,0.417,2.2,5.8,0.371,6.5,15.1,0.435,5.2,6.9,0.757,2.5,8.6,3.8,1.9,0.3,3.4,6.4,24.8,2023,23.9,1.03766
206,Layshia Clarendon,LAS,G,24,687,24,7.1,14.3,0.497,1.6,3.4,0.457,5.6,10.9,0.51,4.0,4.4,0.915,1.7,5.4,6.1,2.0,0.0,4.0,4.7,19.8,2023,16.2,1.22222
207,Alysha Clark,LVA,F,39,876,1,5.1,11.6,0.444,2.9,7.5,0.386,2.3,4.1,0.548,1.5,1.9,0.818,1.2,7.5,2.4,1.4,0.3,1.6,4.8,14.7,2023,12.4,1.18548
208,Natasha Cloud,WAS,G,37,1199,37,6.3,16.7,0.377,1.9,6.4,0.298,4.4,10.3,0.426,5.3,5.9,0.9,0.3,5.8,9.7,1.6,0.4,4.0,4.0,19.8,2023,19.3,1.02591
210,Nia Coffey,ATL,F,31,680,31,6.0,13.9,0.432,2.4,5.9,0.402,3.6,8.0,0.455,1.1,1.7,0.625,1.1,10.9,3.5,1.2,2.7,3.2,4.9,15.5,2023,14.6,1.06164
211,Napheesa Collier,MIN,F,37,1238,37,12.2,25.2,0.485,1.4,4.7,0.298,10.8,20.5,0.527,6.9,8.2,0.84,2.9,12.9,3.9,2.5,1.8,3.7,3.7,32.7,2023,28.8,1.13542
