,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
901,Natalie Achonwa,IND,F,30,636,18,8.1,16.7,0.488,0.2,1.0,0.25,7.9,15.7,0.503,4.9,5.4,0.909,3.9,12.8,3.9,1.5,1.6,2.4,6.3,21.4,2019,19.1,1.12042
903,Rebecca Allen,NYL,F-G,24,412,2,7.9,19.1,0.417,3.5,8.3,0.426,4.4,10.8,0.409,1.6,2.0,0.813,1.5,7.5,2.1,1.5,2.2,2.1,6.2,21.0,2019,20.0,1.05
905,Ariel Atkins,WAS,G,33,804,33,8.0,19.2,0.416,3.3,9.3,0.357,4.7,9.9,0.471,2.8,3.4,0.811,1.6,6.0,4.2,3.1,1.2,2.2,4.7,22.0,2019,20.7,1.0628
910,Alex Bentley,ATL,G,29,634,4,8.1,26.3,0.307,2.6,11.1,0.235,5.5,15.2,0.358,2.4,2.9,0.857,0.8,4.4,7.0,1.7,0.7,3.6,4.6,21.2,2019,27.6,0.76812
912,Monique Billings,ATL,F,29,553,2,5.2,13.4,0.389,0.1,0.1,1.0,5.1,13.4,0.385,4.4,5.6,0.783,5.7,18.8,1.5,1.6,1.1,4.3,6.2,14.9,2019,15.9,0.93711
913,DeWanna Bonner,PHO,F-G,34,1120,34,8.9,23.7,0.377,2.4,9.0,0.272,6.5,14.7,0.441,7.2,7.9,0.916,1.6,12.2,4.3,2.1,1.0,2.5,2.6,27.5,2019,27.2,1.01103
914,Brittany Boyd,NYL,G,33,649,17,5.5,14.0,0.394,0.5,1.8,0.304,5.0,12.2,0.408,2.0,2.6,0.765,2.1,9.4,11.7,3.6,0.3,6.3,5.3,13.6,2019,15.1,0.90066
916,Jessica Breland,ATL,F,33,767,33,7.0,18.5,0.378,0.6,2.6,0.237,6.4,16.0,0.401,2.0,2.2,0.879,2.8,16.2,3.7,2.8,2.4,2.6,4.4,16.6,2019,19.5,0.85128
918,Lexie Brown,MIN,G,33,605,0,7.1,17.8,0.402,4.4,11.5,0.385,2.7,6.3,0.432,2.6,3.2,0.789,0.6,3.8,4.0,2.6,0.1,3.5,3.6,21.3,2019,19.2,1.10938
919,Kennedy Burke,IND,G-F,31,423,7,5.6,14.4,0.385,1.7,4.9,0.35,3.8,9.5,0.403,3.8,5.4,0.705,2.2,5.6,2.7,2.2,1.2,2.6,3.7,16.7,2019,16.8,0.99405
920,Liz Cambage,LVA,C,32,807,30,12.0,23.9,0.504,0.1,0.7,0.167,11.9,23.1,0.515,7.1,9.5,0.748,3.9,16.0,4.2,1.2,3.1,4.4,5.4,31.3,2019,28.1,1.11388
921,Jordin Canada,SEA,G,30,865,29,6.8,17.6,0.388,0.5,2.6,0.186,6.3,15.0,0.423,3.8,5.0,0.768,0.8,4.3,9.5,4.1,0.4,4.8,2.9,18.0,2019,19.8,0.90909
922,Essence Carson,PHO,G,23,425,13,5.6,15.9,0.352,1.7,5.1,0.341,3.8,10.8,0.356,3.6,4.6,0.784,1.4,6.3,4.3,1.5,1.0,2.1,2.9,16.5,2019,17.9,0.92179
924,Maite Cazorla,ATL,G,31,477,1,3.1,10.1,0.312,1.4,6.0,0.236,1.7,4.1,0.421,2.3,2.6,0.875,0.2,2.3,5.3,1.9,0.1,3.1,2.4,10.0,2019,11.2,0.89286
925,Tina Charles,NYL,C,33,1028,33,10.8,27.7,0.389,0.5,2.9,0.186,10.2,24.8,0.412,5.3,6.5,0.812,3.2,12.2,3.8,1.1,1.4,4.2,4.5,27.4,2019,30.6,0.89542
928,Alysha Clark,SEA,F,31,881,30,6.8,14.2,0.481,3.1,6.4,0.481,3.8,7.8,0.481,1.1,1.3,0.818,2.2,8.7,4.7,2.0,1.0,2.9,3.6,17.8,2019,14.8,1.2027
