"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"DeWanna Bonner","PHO",34,1119,38,102.02976995940459,100.81595648232094,420,0.2803738317757009,0.2857142857142857,0.3157894736842105,0.20930232558139536,11,11,0,6,4,1,0,0,6,0.5454545454545454,39,12,27,0
"Ivory Latta","WAS",34,1072,-24,97.37226277372262,99.31338891613535,404,0.2803738317757009,0.375,0.2923076923076923,0.2894736842105263,1,1,0,0,0,1,0,0,1,1,29,10,19,0
"Maya Moore","MIN",34,1068,341,111.47621383030898,94.75232957332025,547,0.30952380952380953,0.34146341463414637,0.14814814814814814,0.16176470588235295,33,32,1,16,12,4,0,1,19,0.5757575757575758,59,10,49,0
"Candice Dupree","PHO",32,1057,-35,102.1133525456292,104.144578313253,440,0,0.20930232558139536,0.2987012987012987,0.29850746268656714,13,12,1,4,8,0,1,0,5,0.38461538461538464,34,5,29,0
"Tanisha Wright","SEA",34,1050,-78,96.95218076720967,100.15625,366,0.23333333333333334,0.33962264150943394,0.21212121212121213,0.2857142857142857,7,7,0,4,3,0,0,0,4,0.5714285714285714,38,18,20,0
"Jia Perkins","SAN",34,1037,-78,97.05583756345177,101.1178861788618,422,0.3235294117647059,0.4,0.2631578947368421,0.22115384615384615,10,7,3,3,2,2,1,2,3,0.3,80,30,50,0
"Angel McCoughtry","ATL",33,1036,148,100.096015362458,92.94625719769674,587,0.30120481927710846,0.358974358974359,0.2711864406779661,0.2809917355371901,24,24,0,11,8,5,0,0,11,0.4583333333333333,89,45,44,0
"Diana Taurasi","PHO",32,1032,67,104.47614363010331,101.68067226890756,603,0.22131147540983606,0.4230769230769231,0.2647058823529412,0.2708333333333333,15,15,0,10,5,0,0,0,7,0.4666666666666667,22,8,14,0
"Camille Little","SEA",34,1030,-44,97.44680851063829,99.31180518793012,315,0.4,0.32727272727272727,0.30357142857142855,0.09090909090909091,9,9,0,7,1,1,0,0,4,0.4444444444444444,42,27,15,0
"Cappie Pondexter","NYL",30,1027,-152,92.67676767676767,100.91416962925342,458,0.27586206896551724,0.5510204081632653,0.3617021276595745,0.30935251798561153,4,4,0,1,2,1,0,0,3,0.75,31,15,16,0
"Erlana Larkins","IND",34,1022,2,96.7462039045553,97.69736842105264,217,0,0.31666666666666665,0.30434782608695654,0,11,11,0,6,4,1,0,0,4,0.36363636363636365,48,23,25,0
"Kristi Toliver","LAS",34,1020,197,106.36591478696742,96.34634634634635,440,0.3611111111111111,0.4444444444444444,0.22727272727272727,0.2736842105263158,6,6,0,6,0,0,0,0,2,0.3333333333333333,43,17,26,0
