,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
2561,Matee Ajavon,WAS,G,34,587,4,7.4,22.0,0.336,2.4,7.1,0.341,5.0,14.9,0.333,6.4,9.6,0.673,2.4,5.6,3.2,3.2,0.3,4.4,7.3,23.7,2009,26.2,0.90458
2562,Nicky Anosike,MIN,F-C,30,896,29,7.4,15.1,0.491,0.1,0.2,0.25,7.3,14.9,0.494,7.7,11.0,0.696,4.2,12.6,4.6,4.6,1.6,3.5,5.0,22.5,2009,19.9,1.13065
2568,Ashley Battle,NYL,F,34,548,3,6.1,14.3,0.426,1.8,4.5,0.413,4.3,9.9,0.431,3.1,4.5,0.696,1.6,8.2,3.9,3.0,0.2,5.0,4.6,17.1,2009,16.3,1.04908
2569,Alana Beard,WAS,G-F,31,985,30,9.8,22.7,0.429,1.7,5.6,0.299,8.1,17.2,0.471,4.4,5.9,0.737,1.0,6.4,3.5,3.7,0.9,5.2,5.0,25.5,2009,25.3,1.00791
2570,Tully Bevilaqua,IND,G,34,861,32,4.1,11.0,0.376,2.2,6.5,0.346,1.9,4.5,0.419,2.2,3.3,0.667,0.7,4.8,5.9,3.8,0.5,2.9,4.6,12.7,2009,12.5,1.016
2571,Sue Bird,SEA,G,31,1101,31,7.6,18.7,0.408,2.7,7.4,0.36,5.0,11.3,0.441,1.7,2.0,0.854,0.6,3.9,8.9,2.3,0.1,4.0,2.5,19.7,2009,19.6,1.0051
2572,Chante Black,CON,C,33,428,8,4.2,11.1,0.38,0.0,0.1,0.0,4.2,11.0,0.385,3.3,5.2,0.628,5.0,12.9,0.7,1.6,3.3,3.0,6.5,11.7,2009,13.4,0.87313
2576,DeWanna Bonner,PHO,F-G,34,724,0,8.4,18.3,0.457,0.1,0.9,0.154,8.2,17.5,0.472,8.2,10.2,0.812,4.6,12.9,0.9,1.5,1.6,2.2,4.6,25.1,2009,22.8,1.10088
2577,Kara Braxton,DET,C-F,28,504,2,11.0,20.8,0.527,0.0,0.0,,11.0,20.8,0.527,4.1,6.4,0.645,6.8,17.3,4.2,2.0,1.9,5.3,8.2,26.1,2009,23.6,1.10593
2579,Rebekkah Brunson,SAC,F,27,665,17,9.8,20.1,0.486,0.0,0.1,0.0,9.8,20.0,0.488,6.5,8.3,0.783,5.3,15.0,0.7,3.1,1.3,3.5,4.5,26.0,2009,23.8,1.09244
2580,Janell Burse,SEA,C,34,541,8,7.5,14.7,0.51,0.0,0.0,,7.5,14.7,0.51,6.0,8.1,0.738,3.1,10.8,1.0,2.1,3.1,3.5,7.2,20.9,2009,18.3,1.14208
2581,Dominique Canty,CHI,G,34,776,34,5.0,13.2,0.381,0.3,0.7,0.364,4.8,12.5,0.383,5.6,8.1,0.689,1.2,4.3,7.4,1.9,0.3,3.9,6.5,15.9,2009,16.8,0.94643
2582,Essence Carson,NYL,G,34,859,34,8.1,19.8,0.408,2.1,6.3,0.333,6.0,13.5,0.443,2.7,3.0,0.917,1.5,4.4,2.8,2.3,0.6,3.3,4.7,21.0,2009,21.1,0.99526
2583,Swin Cash*,SEA,F,32,1094,29,6.9,17.7,0.392,0.5,1.5,0.323,6.4,16.2,0.398,5.1,6.4,0.797,3.1,10.7,4.1,1.4,0.8,4.5,4.9,19.5,2009,20.5,0.95122
2584,Iziane Castro Marques,ATL,F-G,34,915,33,9.8,23.7,0.413,2.6,7.6,0.345,7.2,16.1,0.446,3.8,4.8,0.78,1.1,4.0,3.6,1.9,0.1,4.4,4.0,26.0,2009,25.8,1.00775
2585,Tamika Catchings*,IND,F,34,1084,34,7.6,19.6,0.386,1.9,5.9,0.328,5.6,13.8,0.411,7.6,8.7,0.873,4.2,11.8,5.2,4.8,0.9,4.2,4.4,24.7,2009,23.4,1.05556
2586,Shameka Christon,NYL,G,32,1014,31,8.1,20.0,0.402,4.1,10.7,0.382,4.0,9.4,0.425,6.7,7.7,0.865,1.5,8.2,2.9,1.5,1.4,2.9,5.3,26.9,2009,23.4,1.14957
2588,Marissa Coleman,WAS,G-F,28,525,0,5.3,15.5,0.34,2.8,7.8,0.363,2.4,7.7,0.316,3.3,4.4,0.756,2.1,7.4,2.1,1.9,0.9,3.3,4.3,16.7,2009,17.4,0.95977
2589,Monique Currie,WAS,F,34,728,34,5.5,15.2,0.359,1.4,3.7,0.385,4.1,11.6,0.352,7.2,8.9,0.803,2.7,10.3,4.3,2.0,1.0,4.0,5.8,19.5,2009,19.1,1.02094
2590,Helen Darling,SAS,G,34,642,13,2.2,9.1,0.248,1.1,3.7,0.295,1.2,5.4,0.215,3.1,4.6,0.673,1.2,5.1,8.3,2.5,0.4,3.3,6.6,8.7,2009,11.1,0.78378
2594,Erika de Souza,ATL,F-C,34,928,34,8.9,16.9,0.528,0.0,0.0,,8.9,16.9,0.528,3.3,5.0,0.653,6.2,16.2,2.0,1.7,2.3,3.7,6.1,21.1,2009,19.1,1.10471
2595,Tamecka Dixon,IND,G,32,424,1,6.8,16.5,0.41,0.5,1.2,0.4,6.3,15.3,0.411,2.2,2.6,0.857,1.2,6.3,4.6,1.5,0.4,3.3,5.6,16.3,2009,17.6,0.92614
2596,Scholanda Dorrell,SAC,G,34,633,29,6.5,16.0,0.409,0.7,2.1,0.32,5.9,13.9,0.423,4.9,7.2,0.678,1.6,4.4,2.2,2.7,0.6,4.5,5.8,18.6,2009,19.2,0.96875
2597,Katie Douglas,IND,G-F,31,1003,31,9.8,23.9,0.41,3.4,9.9,0.349,6.4,14.1,0.452,5.5,6.4,0.861,1.3,6.3,4.4,2.9,0.4,3.9,2.3,28.5,2009,26.7,1.06742
2598,Candice Dupree,CHI,F,34,1186,34,9.1,21.2,0.429,1.1,2.8,0.387,8.0,18.5,0.435,4.5,5.8,0.785,3.4,12.0,3.3,1.6,1.8,3.6,2.4,23.8,2009,23.8,1.0
2599,Shyra Ely-Gash,CHI,F,34,497,9,8.9,21.4,0.418,2.4,6.4,0.383,6.5,15.0,0.433,4.4,5.4,0.804,2.3,9.4,2.1,1.3,0.9,3.8,5.9,24.7,2009,23.8,1.03782
2603,Cheryl Ford,DET,F,29,755,29,6.7,15.7,0.427,0.0,0.2,0.0,6.7,15.5,0.433,3.8,6.9,0.55,4.9,14.9,1.7,1.9,0.9,3.4,7.3,17.2,2009,18.7,0.91979
2604,Sylvia Fowles,CHI,C,24,692,20,7.9,13.1,0.599,0.0,0.0,,7.9,13.1,0.599,4.9,7.6,0.646,4.0,14.4,1.5,1.6,2.7,5.8,5.5,20.6,2009,16.4,1.2561
