,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
359,Julie Allemand,CHI,G,25,402,4,3.1,7.5,0.417,1.1,3.9,0.29,2.0,3.6,0.552,1.9,2.3,0.833,1.1,4.9,10.7,1.8,0.4,4.1,2.9,9.3,2022,8.5,1.09412
361,Rebecca Allen,NYL,F-G,25,523,19,6.3,16.6,0.379,2.6,8.1,0.313,3.7,8.4,0.442,2.0,2.4,0.833,0.8,8.2,3.0,1.9,2.4,2.4,4.7,17.1,2022,17.7,0.9661
364,Ariel Atkins,WAS,G,36,1081,36,8.9,21.2,0.42,3.4,9.3,0.365,5.5,12.0,0.464,4.2,5.0,0.845,1.6,5.6,4.0,2.3,0.4,2.5,4.8,25.4,2022,23.4,1.08547
366,Shakira Austin,WAS,C-F,36,776,32,8.2,15.0,0.547,0.0,0.1,0.0,8.2,14.9,0.55,4.6,7.3,0.624,4.2,15.6,2.2,1.8,2.0,3.6,5.6,21.0,2022,18.2,1.15385
367,Rachel Banham,MIN,G,36,630,5,8.2,19.0,0.43,4.6,12.1,0.383,3.6,7.0,0.512,1.9,2.4,0.8,0.2,3.9,6.6,0.7,0.3,3.9,5.0,22.9,2022,20.1,1.1393
370,Monique Billings,ATL,F,23,401,8,6.9,14.7,0.47,0.0,0.1,0.0,6.9,14.6,0.474,4.9,6.4,0.765,5.6,18.3,3.3,2.4,1.0,3.9,6.8,18.7,2022,17.5,1.06857
371,Sue Bird,SEA,G,31,818,31,5.3,13.2,0.403,3.5,9.0,0.389,1.8,4.2,0.433,1.0,1.0,1.0,0.4,3.7,11.6,2.3,0.2,3.7,1.4,15.1,2022,13.6,1.11029
372,DeWanna Bonner,CON,F-G,33,991,33,8.0,18.3,0.439,2.4,7.2,0.329,5.7,11.1,0.512,4.4,5.3,0.827,1.3,8.0,4.7,2.1,0.6,2.7,3.0,22.8,2022,20.6,1.1068
373,Lexie Brown,LAS,G,34,850,16,5.5,12.5,0.441,3.1,7.9,0.398,2.4,4.6,0.513,0.2,0.4,0.667,0.5,4.6,4.1,2.0,0.4,1.7,2.6,14.4,2022,12.7,1.13386
376,Veronica Burton,DAL,G,36,548,6,2.4,7.2,0.329,1.1,4.0,0.279,1.2,3.1,0.394,3.0,3.0,1.0,1.6,5.0,6.4,3.2,1.0,3.3,4.8,8.8,2022,8.5,1.03529
378,Liz Cambage,LAS,C,25,584,24,10.1,19.8,0.509,0.3,1.2,0.286,9.7,18.6,0.523,7.5,9.6,0.784,2.8,13.8,4.5,1.4,3.5,4.9,6.8,28.0,2022,24.0,1.16667
379,Jordin Canada,LAS,G,32,865,25,6.1,15.8,0.384,0.4,2.9,0.14,5.6,12.9,0.439,4.6,5.7,0.806,0.4,4.2,10.2,2.6,0.3,4.4,3.4,17.1,2022,18.3,0.93443
380,Bridget Carleton,MIN,F,36,606,2,4.5,11.4,0.4,2.4,7.0,0.349,2.1,4.4,0.481,1.6,2.2,0.731,1.0,6.5,3.4,1.3,0.4,1.9,4.7,13.1,2022,12.4,1.05645
381,DiJonai Carrington,CON,G-F,36,631,2,6.8,16.4,0.414,1.5,5.0,0.306,5.2,11.4,0.461,4.6,6.1,0.75,3.1,9.0,3.1,2.3,0.3,4.8,5.7,19.7,2022,19.1,1.03141
384,Alysha Clark,WAS,F,29,766,29,6.2,13.3,0.464,2.0,6.7,0.303,4.2,6.6,0.629,1.4,1.6,0.913,1.6,8.9,4.0,1.9,0.5,2.6,3.7,15.9,2022,14.0,1.13571
385,Natasha Cloud,WAS,G,34,1065,34,6.0,15.1,0.399,2.1,6.6,0.319,3.9,8.5,0.462,3.7,4.5,0.824,0.8,6.0,11.7,1.7,0.5,4.6,2.7,17.8,2022,17.1,1.04094
392,Kahleah Copper,CHI,G-F,31,891,31,10.0,20.7,0.481,2.0,5.7,0.356,7.9,15.0,0.528,5.7,7.3,0.775,1.8,10.0,4.0,0.8,0.1,3.6,4.2,27.6,2022,23.9,1.15481
395,Sophie Cunningham,PHO,G,28,827,20,7.4,16.5,0.449,4.3,10.8,0.4,3.1,5.7,0.543,2.6,3.0,0.875,1.2,7.6,2.8,1.7,0.6,1.8,5.8,21.8,2022,17.8,1.22472
397,Elena Delle Donne,WAS,F-G,25,694,25,11.6,24.3,0.48,2.6,7.1,0.368,9.0,17.1,0.526,6.3,6.9,0.913,2.3,11.9,4.3,0.9,2.0,2.0,2.7,32.2,2022,27.3,1.17949
398,Diamond DeShields,PHO,G,30,760,19,9.6,24.6,0.388,1.4,6.0,0.236,8.1,18.6,0.437,5.9,7.7,0.765,1.2,7.7,4.5,2.0,1.0,4.7,6.7,26.4,2022,28.0,0.94286
400,Skylar Diggins-Smith,PHO,G,30,1019,30,10.4,24.3,0.429,2.0,6.8,0.296,8.4,17.6,0.48,6.8,8.0,0.844,1.4,6.1,8.3,2.3,1.5,4.0,4.1,29.6,2022,27.8,1.06475
401,Stefanie Dolson,NYL,C,36,826,36,7.0,14.2,0.493,1.6,4.1,0.394,5.4,10.1,0.534,2.4,2.6,0.905,2.7,10.7,4.1,0.8,1.7,3.5,7.0,18.0,2022,15.3,1.17647
402,Queen Egbo,IND,F-C,33,720,31,6.6,14.9,0.442,0.0,0.0,,6.6,14.9,0.442,3.4,5.3,0.645,4.2,14.5,2.1,2.1,2.8,4.4,6.8,16.6,2022,17.2,0.96512
403,Emily Engstler,IND,F,35,638,6,5.6,14.2,0.396,1.3,3.5,0.356,4.4,10.7,0.409,1.6,3.0,0.553,5.6,14.2,4.0,2.1,3.1,3.8,8.6,14.2,2022,15.5,0.91613
405,Sylvia Fowles,MIN,C,30,831,30,11.3,18.2,0.622,0.0,0.0,,11.3,18.2,0.622,3.9,6.0,0.66,4.5,18.1,2.2,1.9,2.2,3.9,4.5,26.5,2022,20.8,1.27404
406,Rebekah Gardner,CHI,G,35,760,2,7.7,14.2,0.542,1.0,2.8,0.357,6.7,11.4,0.587,3.2,4.0,0.8,2.9,7.6,2.9,3.3,1.3,3.7,5.4,19.6,2022,16.0,1.225
407,Allisha Gray,DAL,G,33,1086,33,6.9,16.4,0.423,3.0,7.5,0.408,3.9,8.9,0.436,3.9,4.9,0.798,1.4,7.6,4.0,1.8,1.1,2.0,3.7,20.9,2022,18.6,1.12366
408,Chelsea Gray,LVA,G,35,1039,35,8.7,17.8,0.491,1.6,4.8,0.34,7.1,13.0,0.546,3.9,4.3,0.91,0.5,5.4,10.1,2.7,0.5,3.8,2.6,23.0,2022,19.7,1.16751
410,Dearica Hamby,LVA,F,34,901,32,6.4,13.7,0.466,0.9,4.0,0.219,5.5,9.7,0.568,3.7,5.1,0.72,2.6,13.2,2.1,2.0,0.3,2.8,3.7,17.4,2022,15.9,1.09434
411,Isabelle Harrison,DAL,F,35,644,18,9.3,19.9,0.466,0.2,0.2,1.0,9.1,19.8,0.462,5.8,6.6,0.867,3.8,12.0,3.7,2.1,0.4,3.7,5.8,24.5,2022,22.8,1.07456
412,Tyasha Harris,DAL,G,35,552,5,6.4,15.4,0.418,1.6,5.0,0.315,4.9,10.4,0.468,1.8,2.2,0.792,0.6,3.0,9.3,1.2,0.4,3.6,3.3,16.3,2022,16.4,0.9939
416,Destanni Henderson,IND,G,36,589,5,6.0,15.0,0.401,2.2,6.0,0.366,3.8,9.0,0.425,1.9,2.7,0.719,2.3,4.8,7.5,2.3,0.3,5.1,2.7,16.2,2022,16.2,1.0
417,Natisha Hiedeman,CON,G,36,901,31,6.7,15.5,0.431,3.9,9.5,0.411,2.8,6.0,0.462,1.4,1.7,0.8,0.3,3.6,6.7,2.4,0.2,2.7,3.7,18.6,2022,16.2,1.14815
418,Naz Hillmon,ATL,F,34,674,12,4.4,9.2,0.48,0.0,0.1,0.0,4.4,9.0,0.488,2.4,2.9,0.821,3.9,12.8,3.1,1.6,0.7,3.0,3.8,11.2,2022,10.5,1.06667
419,Myisha Hines-Allen,WAS,F,34,656,15,9.1,21.8,0.415,2.3,6.3,0.367,6.8,15.6,0.434,3.6,5.1,0.703,2.9,14.2,5.2,2.1,0.8,4.6,4.4,24.0,2022,24.0,1.0
421,Natasha Howard,NYL,F,35,1048,35,10.1,20.9,0.482,1.5,4.5,0.326,8.6,16.4,0.525,4.3,6.0,0.715,3.4,12.5,4.0,2.2,1.7,5.5,5.4,26.0,2022,23.5,1.10638
422,Rhyne Howard,ATL,G,34,1066,34,8.7,24.0,0.361,4.0,11.7,0.343,4.7,12.3,0.379,4.7,5.9,0.792,1.3,7.3,4.5,2.5,1.2,2.5,4.1,26.1,2022,26.6,0.9812
424,Sabrina Ionescu,NYL,G,36,1163,36,9.3,22.6,0.411,3.7,11.0,0.333,5.6,11.6,0.485,5.3,5.7,0.931,1.5,11.2,10.1,1.7,0.4,4.8,3.4,27.6,2022,25.1,1.0996
425,Briann January,SEA,G,36,608,5,3.9,10.2,0.377,1.9,6.2,0.311,1.9,4.0,0.479,1.6,1.9,0.826,0.6,3.0,7.1,1.9,0.7,4.4,5.0,11.2,2022,11.0,1.01818
426,Marine Johannes,NYL,G,24,612,10,7.0,15.0,0.464,4.6,10.6,0.437,2.3,4.4,0.528,1.7,1.9,0.87,0.4,3.4,6.9,1.2,0.3,3.7,3.2,20.2,2022,15.8,1.27848
427,Brionna Jones,CON,F,36,905,7,10.5,18.4,0.569,0.0,0.3,0.0,10.5,18.1,0.579,7.0,8.3,0.844,5.3,10.4,2.5,2.5,0.7,3.0,5.3,27.9,2022,22.1,1.26244
