,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1070,Natalie Achonwa,IND,F,34,883,34,8.1,15.3,0.527,0.0,0.0,,8.1,15.3,0.527,4.5,5.6,0.8,5.1,13.8,2.7,1.7,1.4,2.2,6.2,20.6,2018,17.8,1.1573
1074,Ariel Atkins,WAS,G,29,652,24,9.6,22.3,0.432,3.6,10.1,0.357,6.0,12.2,0.493,3.4,4.1,0.824,2.2,5.5,4.8,3.1,0.8,3.1,5.9,26.3,2018,24.1,1.09129
1075,Seimone Augustus*,MIN,G-F,33,864,33,9.4,20.1,0.467,1.3,4.0,0.318,8.1,16.2,0.504,1.4,2.0,0.706,0.3,3.6,5.1,0.8,0.5,2.4,1.9,21.5,2018,21.0,1.02381
1076,Rachel Banham,CON,G,33,424,5,6.6,15.9,0.414,3.6,9.7,0.37,3.0,6.2,0.481,3.9,4.5,0.868,0.7,3.5,5.7,1.8,0.4,2.1,6.6,20.6,2018,17.9,1.15084
1077,Alana Beard,LAS,G-F,30,766,30,3.5,9.0,0.392,0.1,0.3,0.4,3.4,8.7,0.392,1.2,1.5,0.81,2.5,6.8,3.5,3.0,0.4,1.4,5.1,8.4,2018,9.7,0.86598
1080,Sue Bird,SEA,G,31,824,31,7.2,15.4,0.466,3.7,8.3,0.448,3.4,7.0,0.487,1.5,1.8,0.828,0.3,3.4,13.8,2.2,0.1,3.7,2.4,19.6,2018,16.2,1.20988
1082,DeWanna Bonner,PHO,F-G,34,1120,34,9.5,21.1,0.452,2.5,8.1,0.313,7.0,13.0,0.539,5.4,6.2,0.867,2.2,11.3,4.9,2.0,0.6,2.5,2.8,26.9,2018,23.8,1.13025
1083,Brittany Boyd,NYL,G,30,613,14,5.9,14.2,0.414,0.8,2.3,0.37,5.0,11.9,0.423,3.4,4.4,0.774,0.8,9.8,13.3,3.1,0.3,6.8,6.0,16.0,2018,16.1,0.99379
1085,Jessica Breland,ATL,F,34,899,34,6.9,16.2,0.428,0.0,0.0,,6.9,16.2,0.428,1.8,2.5,0.75,3.2,15.0,3.8,2.2,3.6,3.2,4.8,15.7,2018,17.3,0.90751
1087,Rebekkah Brunson,MIN,F,25,691,25,4.8,11.9,0.405,1.4,3.6,0.375,3.5,8.3,0.418,2.5,3.7,0.673,2.8,12.7,4.5,1.5,1.0,2.8,4.5,13.5,2018,13.5,1.0
1088,Liz Cambage,DAL,C,32,945,32,14.8,25.2,0.589,0.6,2.0,0.324,14.2,23.2,0.611,9.0,12.2,0.738,4.0,16.5,3.9,0.8,2.9,4.7,4.7,39.3,2018,30.6,1.28431
1089,Jordin Canada,SEA,G,33,543,2,6.1,17.2,0.357,0.9,5.2,0.182,5.2,12.0,0.433,4.5,6.1,0.738,0.9,4.6,10.2,2.8,0.1,5.3,3.6,17.8,2018,19.9,0.89447
1090,Essence Carson,LAS,G,34,786,15,6.8,15.7,0.435,2.6,7.3,0.361,4.2,8.4,0.5,1.0,1.1,0.938,0.7,6.1,2.1,2.0,0.8,1.4,3.4,17.3,2018,16.2,1.0679
1091,Tina Charles,NYL,C,33,1088,33,12.4,26.3,0.473,1.5,4.5,0.326,11.0,21.8,0.503,4.4,5.8,0.77,3.0,10.9,4.3,1.1,0.9,4.4,4.0,30.8,2018,28.9,1.06574
1094,Alysha Clark,SEA,F,31,813,30,5.2,10.9,0.48,1.8,4.7,0.392,3.4,6.2,0.545,2.1,2.5,0.846,2.0,6.8,3.7,2.0,0.3,2.3,4.4,14.4,2018,12.0,1.2
1095,Natasha Cloud,WAS,G,27,715,22,6.5,14.9,0.436,2.3,6.1,0.386,4.2,8.9,0.471,1.5,2.0,0.778,0.4,6.3,9.2,1.5,0.3,3.3,4.0,16.9,2018,15.8,1.06962
1100,Kahleah Copper,CHI,G-F,33,524,2,7.8,19.6,0.397,2.3,6.2,0.375,5.5,13.5,0.407,4.7,5.4,0.875,1.6,7.0,1.9,1.0,0.6,3.1,4.3,22.6,2018,22.0,1.02727
1101,Monique Currie,WAS,F,32,508,9,7.0,17.7,0.395,1.8,6.0,0.293,5.3,11.8,0.447,6.1,7.3,0.831,1.9,9.9,2.8,1.3,0.6,3.9,7.4,21.9,2018,20.9,1.04785
1103,Kaela Davis,DAL,F,27,453,6,5.6,16.0,0.347,1.1,4.6,0.244,4.4,11.5,0.388,2.8,4.3,0.641,1.4,6.1,4.1,1.0,0.1,3.9,6.3,15.0,2018,17.9,0.83799
