,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1423,Kayla Alexander,SAS,C,25,489,0,8.3,15.3,0.546,0.0,0.0,,8.3,15.3,0.546,5.0,6.6,0.754,5.1,12.2,1.4,1.2,1.4,3.0,6.0,21.7,2016,18.2,1.19231
1426,Jayne Appel-Marinelli,SAS,C,34,786,34,3.4,8.0,0.429,0.0,0.3,0.0,3.4,7.8,0.443,2.4,3.3,0.735,2.8,12.4,4.9,2.0,2.4,3.6,7.6,9.3,2016,9.5,0.97895
1427,Seimone Augustus*,MIN,G-F,29,765,29,9.2,20.1,0.46,0.9,2.6,0.333,8.4,17.5,0.479,2.5,3.1,0.804,0.9,5.6,4.8,1.0,0.7,3.7,2.9,21.8,2016,21.5,1.01395
1429,Mistie Bass,PHO,F,33,434,1,4.3,9.4,0.463,0.0,0.0,,4.3,9.4,0.463,2.6,3.2,0.815,3.3,7.5,2.9,1.9,1.3,2.3,5.8,11.3,2016,10.8,1.0463
1431,Alana Beard,LAS,G-F,34,997,34,5.3,11.2,0.467,0.7,2.0,0.342,4.6,9.2,0.494,1.4,2.0,0.692,1.6,5.8,3.8,3.0,1.1,2.3,5.0,12.6,2016,12.1,1.04132
1433,Alex Bentley,CON,G,34,979,34,8.7,22.7,0.385,2.5,8.7,0.286,6.3,14.0,0.446,2.6,3.4,0.785,0.5,3.3,4.4,1.6,0.2,2.5,4.3,22.6,2016,24.2,0.93388
1435,Sue Bird,SEA,G,34,1076,34,7.7,17.2,0.449,3.5,7.8,0.444,4.3,9.4,0.454,2.1,2.7,0.786,0.3,4.7,9.5,1.6,0.3,4.1,2.2,21.1,2016,18.4,1.14674
1437,DeWanna Bonner,PHO,F-G,34,1064,24,7.4,17.4,0.424,2.4,7.3,0.329,5.0,10.1,0.493,6.4,8.0,0.798,2.0,8.7,4.0,2.1,1.0,2.7,2.6,23.6,2016,20.9,1.12919
1438,Brittany Boyd,NYL,G,33,651,9,5.9,16.3,0.361,0.5,2.8,0.167,5.4,13.5,0.401,4.6,6.4,0.728,1.3,6.5,9.3,4.1,0.2,5.1,6.4,16.9,2016,19.1,0.88482
1439,Imani McGee-Stafford,CHI,C,31,587,16,7.5,13.6,0.554,0.0,0.0,,7.5,13.6,0.554,2.9,4.3,0.66,4.7,15.2,1.6,1.6,3.6,2.4,8.1,17.9,2016,15.5,1.15484
1440,Jessica Breland,CHI,F,34,585,16,7.6,15.3,0.494,0.0,0.0,,7.6,15.3,0.494,2.7,3.4,0.795,3.8,13.1,2.1,1.5,3.2,3.1,6.5,17.8,2016,16.8,1.05952
1441,Rebekkah Brunson,MIN,F,33,812,33,5.8,12.2,0.477,0.0,0.1,0.0,5.8,12.1,0.479,3.8,4.4,0.857,4.6,15.1,3.7,1.9,0.6,1.8,5.3,15.4,2016,14.1,1.0922
1444,Essence Carson,LAS,G,34,791,34,6.8,15.0,0.449,1.5,4.2,0.359,5.2,10.8,0.485,3.2,3.6,0.891,0.8,4.5,3.4,2.4,0.5,2.8,3.0,18.3,2016,16.6,1.10241
1445,Swin Cash*,NYL,F,31,604,23,5.2,13.6,0.379,0.1,0.7,0.125,5.1,12.9,0.392,3.5,5.1,0.683,3.2,8.9,3.6,1.9,1.2,3.5,4.6,13.9,2016,15.8,0.87975
1446,Tamika Catchings*,IND,F,34,844,34,9.0,20.7,0.433,2.2,6.2,0.35,6.8,14.6,0.468,6.5,7.6,0.862,2.5,10.0,4.1,3.8,0.6,2.6,4.3,26.6,2016,24.0,1.10833
1447,Tina Charles,NYL,C,32,1077,32,12.9,29.5,0.439,0.8,2.3,0.347,12.1,27.2,0.447,5.9,7.3,0.812,3.5,15.0,5.7,1.3,1.2,3.0,2.3,32.6,2016,32.7,0.99694
1448,Karima Christmas-Kelly,DAL,F-G,34,1075,34,6.1,15.2,0.4,1.8,5.7,0.317,4.3,9.5,0.45,6.1,7.7,0.796,3.9,9.5,3.4,1.9,1.1,2.4,4.4,20.0,2016,18.6,1.07527
1449,Layshia Clarendon,ATL,G,34,959,32,6.5,14.0,0.466,0.9,2.7,0.346,5.6,11.3,0.495,4.6,6.1,0.765,2.3,7.8,6.2,1.3,0.2,4.0,4.2,18.7,2016,16.7,1.11976
1450,Alysha Clark,SEA,F,33,911,32,6.0,12.4,0.484,2.1,5.3,0.387,3.9,7.1,0.556,2.9,3.4,0.847,2.3,6.9,3.7,1.4,0.1,2.5,5.0,16.9,2016,13.9,1.21583
1451,Natasha Cloud,WAS,G,31,753,28,3.9,11.2,0.348,1.6,4.7,0.338,2.3,6.5,0.355,3.0,4.0,0.754,0.3,6.6,8.2,1.7,0.2,3.0,4.5,12.4,2016,13.0,0.95385
1452,Marissa Coleman,IND,G-F,32,781,21,5.7,16.4,0.346,2.2,8.2,0.268,3.5,8.2,0.423,4.3,5.7,0.753,1.5,7.0,4.2,1.9,0.6,3.7,4.5,17.8,2016,18.9,0.9418
1453,Sydney Colson,SAS,G,34,573,0,5.5,12.7,0.431,0.5,2.4,0.192,5.0,10.3,0.486,4.5,5.5,0.831,1.3,5.1,8.0,3.5,0.1,4.7,5.7,15.9,2016,15.1,1.05298
1454,Kahleah Copper,WAS,G-F,30,487,3,7.0,16.8,0.417,1.5,3.2,0.467,5.5,13.6,0.405,4.6,6.8,0.683,1.4,9.9,2.5,1.6,0.2,3.6,5.8,20.2,2016,19.8,1.0202
1457,Monique Currie,SAS,F,34,868,34,7.6,19.8,0.386,1.5,4.8,0.321,6.1,15.0,0.407,5.5,6.0,0.918,2.2,9.0,4.5,1.6,0.8,3.7,5.4,22.3,2016,22.4,0.99554
