,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
0,Lindsay Allen,CHI,G,40,950,28,5.6,12.0,0.466,0.8,2.6,0.292,4.8,9.4,0.514,2.3,2.8,0.808,0.7,4.3,8.5,1.7,0.4,3.4,3.6,14.2,2024,13.2,1.07576
1,Rebecca Allen,PHO,F-G,18,447,18,6.1,14.5,0.417,2.9,8.1,0.352,3.2,6.4,0.5,0.2,0.3,0.667,1.5,8.1,2.3,1.9,1.4,2.1,4.0,15.2,2024,14.6,1.0411
3,Ariel Atkins,WAS,G,40,1196,40,9.2,21.0,0.437,3.3,9.4,0.357,5.8,11.7,0.5,3.6,4.2,0.848,1.5,5.7,5.2,2.5,0.7,3.9,4.7,25.3,2024,22.8,1.10965
9,DeWanna Bonner,CON,F-G,40,1271,39,8.8,21.2,0.414,2.4,8.2,0.294,6.4,13.1,0.489,4.9,5.9,0.832,0.9,9.9,3.3,2.0,1.1,2.3,2.9,24.9,2024,23.8,1.04622
10,Aliyah Boston,IND,F-C,40,1236,40,9.6,18.1,0.529,0.3,1.1,0.269,9.3,17.0,0.545,3.3,4.5,0.736,4.5,14.4,5.1,1.4,2.0,3.2,5.3,22.7,2024,20.1,1.12935
14,Kalani Brown,DAL,C,38,512,2,9.0,15.4,0.582,0.0,0.3,0.0,9.0,15.1,0.594,3.8,5.8,0.661,4.2,11.6,4.0,0.6,2.1,4.5,6.1,21.8,2024,18.0,1.21111
16,Kennedy Burke,NYL,G-F,38,459,3,6.0,14.7,0.409,1.7,6.5,0.259,4.4,8.3,0.527,0.9,1.3,0.667,1.6,6.5,3.7,2.7,1.2,3.0,4.1,14.6,2024,15.3,0.95425
17,Rae Burrell,LAS,G-F,37,579,7,5.1,14.2,0.362,2.1,6.3,0.333,3.1,7.9,0.385,6.8,8.7,0.78,1.8,5.9,3.7,2.5,1.0,3.2,5.1,19.2,2024,18.0,1.06667
19,Maya Caldwell,ATL,G,25,404,6,6.7,16.1,0.416,1.9,6.4,0.3,4.8,9.6,0.493,1.5,1.9,0.8,2.6,5.8,3.5,1.9,0.6,3.0,3.9,16.8,2024,16.9,0.99408
20,Jordin Canada,ATL,G,20,624,18,5.7,14.7,0.39,1.3,4.7,0.281,4.4,10.0,0.442,4.7,6.1,0.781,1.0,5.7,9.6,2.7,0.4,3.5,4.3,17.5,2024,17.4,1.00575
22,Kamilla Cardoso,CHI,C,32,876,29,7.4,14.1,0.521,0.0,0.0,,7.4,14.1,0.521,3.6,4.9,0.726,5.6,14.8,3.2,1.0,2.7,2.9,5.9,18.3,2024,16.3,1.1227
23,Bridget Carleton,MIN,F,39,1166,36,5.6,12.5,0.444,4.0,9.1,0.444,1.5,3.5,0.443,1.3,1.7,0.789,1.6,6.5,3.8,1.7,0.5,1.8,3.5,16.5,2024,13.2,1.25
24,DiJonai Carrington,CON,G-F,39,1156,39,7.9,19.6,0.403,1.2,4.7,0.25,6.7,14.8,0.452,5.7,7.2,0.79,2.4,8.9,2.8,2.8,0.8,3.4,4.6,22.6,2024,22.8,0.99123
25,Chennedy Carter,CHI,G,33,858,20,14.2,29.2,0.487,0.5,1.8,0.29,13.7,27.3,0.5,5.5,7.5,0.73,1.3,7.0,6.1,2.1,0.4,3.3,6.3,34.4,2024,32.5,1.05846
27,Tina Charles,ATL,C,39,1160,39,10.9,23.8,0.456,0.5,1.9,0.262,10.4,22.0,0.473,3.8,4.8,0.785,4.3,16.7,4.0,1.6,0.9,2.7,4.3,26.0,2024,25.9,1.00386
29,Alysha Clark,LVA,F,40,972,18,4.4,9.9,0.443,2.4,6.5,0.373,2.0,3.4,0.576,1.2,1.4,0.821,1.1,7.5,3.6,1.7,0.6,2.8,5.5,12.4,2024,10.5,1.18095
30,Caitlin Clark,IND,G,40,1416,40,8.6,20.5,0.417,4.3,12.6,0.344,4.2,8.0,0.533,5.8,6.4,0.906,0.5,8.0,11.9,1.9,1.0,7.9,3.9,27.2,2024,23.3,1.16738
31,Natasha Cloud,PHO,G,38,1265,38,6.2,15.5,0.397,1.8,5.8,0.308,4.4,9.7,0.45,3.6,4.4,0.826,0.7,6.2,10.6,2.2,0.9,4.7,4.1,17.7,2024,17.4,1.01724
32,Nia Coffey,ATL,F,40,532,11,4.7,14.4,0.324,1.8,6.4,0.273,2.9,8.0,0.366,1.6,2.0,0.762,1.9,9.3,4.5,1.2,2.5,3.9,4.7,12.7,2024,15.3,0.83007
33,Napheesa Collier,MIN,F,34,1180,34,11.7,23.8,0.492,1.4,4.4,0.31,10.3,19.4,0.533,5.5,6.9,0.804,3.3,14.4,5.0,2.8,2.1,3.1,3.8,30.3,2024,26.8,1.1306
36,Kahleah Copper,PHO,G-F,37,1197,37,11.7,26.9,0.435,3.0,9.4,0.314,8.7,17.5,0.5,7.1,8.9,0.807,1.0,7.2,3.6,1.2,0.1,4.7,5.2,33.5,2024,30.8,1.08766
38,Sophie Cunningham,PHO,G,40,1110,21,4.8,11.1,0.429,3.1,8.3,0.378,1.6,2.8,0.583,2.8,3.2,0.87,0.7,7.2,3.6,1.9,0.5,1.8,4.2,15.4,2024,12.5,1.232
42,Diamond DeShields,CHI,G,32,441,10,6.5,18.7,0.348,1.0,6.0,0.173,5.5,12.7,0.431,2.6,4.2,0.611,0.8,5.3,5.0,2.3,0.9,3.4,6.0,16.6,2024,20.5,0.80976
