"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Skylar Diggins-Smith","TUL",34,1198,-24,105.42299349240781,106.974716652136,635,0.3055555555555556,0.4383561643835616,0.42857142857142855,0.2714285714285714,20,19,1,12,5,2,0,1,12,0.6,51,16,35,0
"Maya Moore","MIN",34,1182,230,108.5040071237756,98.30734966592428,717,0.23684210526315788,0.42857142857142855,0.1864406779661017,0.25882352941176473,28,22,6,9,10,3,2,4,16,0.5714285714285714,64,21,43,0
"Odyssey Sims","TUL",34,1175,-70,104.19830281375614,107.80619111709287,513,0.3333333333333333,0.4594594594594595,0.43157894736842106,0.22580645161290322,10,10,0,7,1,2,0,0,5,0.5,44,15,29,0
"Tina Charles","NYL",34,1119,-86,95.70754716981132,99.67012252591896,460,0,0.3728813559322034,0.19463087248322147,0.30303030303030304,30,30,0,21,8,1,0,0,19,0.6333333333333333,44,18,26,0
"Danielle Robinson","SAN",33,1091,-44,103.31869204489996,105.31189083820664,404,0,0.2222222222222222,0.2857142857142857,0.23655913978494625,5,4,1,1,2,1,0,1,3,0.6,55,25,30,0
"Ivory Latta","WAS",34,1079,15,98.24120603015076,98.17813765182186,382,0.29457364341085274,0.3333333333333333,0.375,0.55,1,1,0,1,0,0,0,0,0,0,24,11,13,0
"Glory Johnson","TUL",33,1079,-12,104.931640625,106.40078778926637,385,0,0.4230769230769231,0.34375,0.2153846153846154,13,12,1,7,4,1,0,1,7,0.5384615384615384,45,14,31,0
"Candice Dupree","PHO",34,1068,350,111.98815984213122,94.34889434889435,455,0,0.32,0.1506849315068493,0.19047619047619047,18,15,3,9,6,0,0,3,8,0.4444444444444444,29,2,27,0
"Sancho Lyttle","ATL",34,1064,100,100.90519294902336,95.91254752851711,319,0.42857142857142855,0.34210526315789475,0.2549019607843137,0.25663716814159293,20,19,1,11,5,3,0,1,12,0.6,75,16,59,0
"Cappie Pondexter","NYL",34,1052,-103,95.92039800995025,101.34730538922156,427,0.2037037037037037,0.49019607843137253,0.2682926829268293,0.39603960396039606,4,4,0,3,0,1,0,0,4,1,34,12,22,0
"Brittney Griner","PHO",34,1051,354,108.82205513784461,91.67507568113017,473,0,0.2830188679245283,0.14432989690721648,0.2222222222222222,129,125,4,85,36,4,1,3,68,0.5271317829457365,22,9,13,1
"Erlana Larkins","IND",33,1044,-7,99.68847352024922,99.84455958549222,259,0,0.23529411764705882,0.20689655172413793,0,27,24,3,15,6,3,1,2,13,0.48148148148148145,64,22,42,0
"Katie Douglas","CON",32,1040,-50,98.52191641182466,100.45592705167174,363,0.37037037037037035,0.5,0.56,0.3380281690140845,13,13,0,8,3,2,0,0,6,0.46153846153846156,30,14,16,0
"Lindsay Whalen","MIN",34,1040,174,108.257804632427,99.99999999999999,447,0,0.48148148148148145,0.3111111111111111,0.1951219512195122,2,2,0,1,1,0,0,0,0,0,29,9,20,0
"Diana Taurasi","PHO",33,1024,387,111.66837256908906,92.2879177377892,504,0.2524271844660194,0.5555555555555556,0.26666666666666666,0.16326530612244897,10,10,0,6,3,1,0,0,7,0.7,22,8,14,0
"Camille Little","SEA",33,1017,-92,97.94372294372295,102.47844827586208,380,0.2692307692307692,0.3235294117647059,0.1891891891891892,0.3125,14,14,0,5,9,0,0,0,9,0.6428571428571429,34,19,15,0
