,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1596,Natalie Achonwa,IND,F,28,484,17,9.5,17.3,0.55,0.0,0.0,,9.5,17.3,0.55,5.1,6.8,0.746,4.3,10.5,1.8,1.5,1.4,4.0,6.3,24.1,2015,20.3,1.18719
1597,Danielle Adams,SAS,F-C,30,482,2,8.7,20.9,0.414,2.4,7.5,0.324,6.2,13.5,0.463,4.7,5.7,0.827,3.6,11.0,1.5,1.5,1.0,4.1,4.9,24.5,2015,23.4,1.04701
1598,Matee Ajavon,ATL,G,33,580,11,5.8,14.3,0.405,0.3,1.6,0.167,5.5,12.8,0.434,5.3,6.4,0.822,1.8,7.2,7.0,4.1,0.4,5.3,7.0,17.2,2015,17.1,1.00585
1601,Jayne Appel-Marinelli,SAS,C,30,673,28,3.1,8.0,0.382,0.0,0.3,0.0,3.1,7.7,0.398,1.7,2.7,0.647,3.0,14.7,3.2,1.8,3.0,3.1,5.9,7.9,2015,9.2,0.8587
1602,Seimone Augustus*,MIN,G-F,16,481,16,10.7,24.2,0.44,0.3,2.6,0.13,10.3,21.7,0.477,2.9,2.9,1.0,1.0,5.1,4.3,1.0,0.6,2.1,1.9,24.6,2015,25.5,0.96471
1604,Mistie Bass,PHO,F,33,458,7,6.6,12.9,0.514,0.0,0.1,0.0,6.6,12.7,0.519,2.8,5.2,0.545,4.7,11.8,2.8,3.1,2.8,2.5,6.3,16.0,2015,15.2,1.05263
1605,Vicki Baugh,TUL,F-C,34,533,6,6.9,14.6,0.473,0.0,0.1,0.0,6.9,14.5,0.476,4.5,6.1,0.738,4.9,14.0,2.0,1.8,1.2,4.3,6.8,18.3,2015,17.3,1.0578
1607,Alex Bentley,CON,G,25,749,25,10.2,25.0,0.409,2.8,8.4,0.336,7.4,16.6,0.446,3.2,3.8,0.83,0.1,3.5,3.5,3.5,0.4,2.1,4.6,26.5,2015,26.7,0.99251
1609,Sue Bird,SEA,G,27,773,27,7.3,19.1,0.384,1.7,5.7,0.301,5.6,13.4,0.418,2.7,3.4,0.796,0.3,4.3,10.1,1.6,0.1,4.5,2.2,19.0,2015,20.6,0.92233
1610,Abby Bishop,SEA,F,26,509,14,5.4,14.0,0.385,2.4,7.3,0.329,3.0,6.8,0.446,0.8,1.4,0.615,0.7,9.4,2.6,2.0,2.1,2.9,7.5,14.0,2015,14.6,0.9589
1611,Kelsey Bone,CON,C,34,961,33,12.6,24.8,0.508,0.0,0.2,0.0,12.6,24.6,0.511,3.4,5.5,0.622,2.8,11.7,3.7,1.5,1.1,4.3,5.4,28.6,2015,27.2,1.05147
1612,DeWanna Bonner,PHO,F-G,33,1099,33,7.8,20.5,0.378,1.5,5.8,0.254,6.3,14.7,0.427,8.6,9.9,0.866,1.8,9.2,5.4,2.2,1.4,2.9,3.0,25.6,2015,24.9,1.02811
1613,Brittany Boyd,NYL,G,30,430,4,7.2,18.5,0.391,1.0,3.7,0.267,6.3,14.8,0.421,8.8,12.4,0.713,2.1,9.9,8.6,4.3,0.2,5.9,7.1,24.3,2015,24.0,1.0125
1615,Jessica Breland,CHI,F,33,706,30,7.2,15.3,0.471,0.0,0.0,,7.2,15.3,0.471,1.7,2.3,0.774,5.1,14.1,3.1,1.7,2.6,2.3,5.5,16.2,2015,16.3,0.99387
1616,Rebekkah Brunson,MIN,F,34,945,34,5.9,13.1,0.455,0.1,0.2,0.25,5.9,12.8,0.458,3.1,3.7,0.831,4.9,15.6,3.5,2.1,1.6,3.0,4.1,15.0,2015,14.7,1.02041
1618,Essence Carson,NYL,G,33,642,12,6.4,16.8,0.38,1.0,4.0,0.245,5.4,12.8,0.423,2.8,3.6,0.773,1.5,6.2,3.5,1.2,0.5,2.6,3.1,16.6,2015,18.4,0.90217
1620,Swin Cash*,NYL,F,34,592,28,4.7,12.6,0.376,0.7,3.0,0.235,4.0,9.5,0.421,3.6,4.9,0.727,2.0,7.3,4.2,0.8,0.3,3.3,4.4,13.7,2015,14.8,0.92568
1621,Tamika Catchings*,IND,F,30,799,30,8.2,21.4,0.382,1.2,4.0,0.295,7.0,17.4,0.402,8.2,9.4,0.868,3.3,14.0,4.4,3.6,1.6,3.3,5.0,25.8,2015,25.5,1.01176
1622,Tina Charles,NYL,C,34,1053,34,12.2,26.6,0.458,0.1,0.3,0.2,12.1,26.3,0.46,4.7,6.5,0.715,3.6,14.4,4.2,1.2,1.2,4.1,2.8,29.1,2015,29.5,0.98644
1623,Karima Christmas-Kelly,TUL,F-G,32,919,32,5.9,14.8,0.396,1.9,4.8,0.386,4.0,10.0,0.401,6.0,7.7,0.782,4.2,9.2,3.1,2.0,0.5,2.3,3.4,19.6,2015,18.2,1.07692
1625,Layshia Clarendon,IND,G,29,602,12,6.7,15.1,0.445,1.1,2.8,0.406,5.6,12.3,0.454,2.3,3.0,0.765,2.4,6.8,5.0,1.7,0.0,4.1,5.0,16.8,2015,16.4,1.02439
1626,Alysha Clark,SEA,F,33,763,31,6.0,11.0,0.544,1.7,4.7,0.353,4.3,6.2,0.689,2.2,2.8,0.775,0.9,8.4,2.7,1.6,0.4,2.5,5.5,15.7,2015,12.2,1.28689
1628,Natasha Cloud,WAS,G,34,657,22,3.4,10.6,0.32,0.7,3.1,0.237,2.6,7.4,0.356,2.6,3.9,0.681,0.8,7.9,9.5,2.4,0.2,4.1,4.8,10.2,2015,12.3,0.82927
1629,Marissa Coleman,IND,G-F,34,842,34,7.9,20.6,0.384,2.6,7.8,0.336,5.3,12.8,0.413,3.7,4.9,0.747,2.1,7.5,3.4,2.6,0.6,3.9,4.0,22.1,2015,22.8,0.9693
1631,Sydney Colson,SAS,G,34,541,5,4.3,10.5,0.411,0.7,2.1,0.318,3.6,8.3,0.435,2.3,3.4,0.686,1.0,3.8,9.3,2.7,1.0,4.1,6.0,11.6,2015,12.0,0.96667
1633,Anna Cruz,MIN,G,22,640,17,6.1,12.9,0.474,0.8,3.0,0.25,5.3,9.9,0.542,1.8,2.3,0.786,0.8,6.7,5.6,1.8,0.3,4.0,3.5,14.8,2015,13.9,1.06475
1634,Monique Currie,PHO,F,34,724,34,7.8,18.9,0.411,2.1,5.7,0.364,5.7,13.1,0.432,3.8,4.4,0.864,1.4,8.1,3.7,2.3,0.9,3.4,6.8,21.4,2015,20.8,1.02885
