,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
743,Julie Allemand,IND,G,22,716,22,4.3,9.5,0.455,3.1,6.5,0.478,1.2,3.0,0.405,1.6,2.1,0.733,0.6,7.1,9.1,1.8,0.6,4.1,4.1,13.4,2020,10.4,1.28846
746,Ariel Atkins,WAS,G,22,682,22,8.4,19.3,0.438,3.4,8.2,0.411,5.1,11.1,0.458,4.8,5.4,0.886,1.4,4.9,4.1,3.1,0.3,3.2,4.5,25.0,2020,21.7,1.15207
749,Monique Billings,ATL,F,22,596,16,5.7,14.3,0.4,0.0,0.0,,5.7,14.3,0.4,4.3,5.6,0.761,4.9,15.7,2.3,2.0,1.5,3.5,5.2,15.7,2020,16.8,0.93452
751,DeWanna Bonner,CON,F-G,22,732,22,10.3,24.4,0.422,1.9,7.4,0.252,8.4,17.0,0.496,7.7,8.6,0.895,2.4,12.0,4.5,2.6,0.8,3.6,3.3,30.2,2020,28.2,1.07092
756,Kennedy Burke,IND,G-F,22,403,11,7.2,16.1,0.449,1.9,6.1,0.313,5.3,10.0,0.532,3.8,5.3,0.714,2.4,4.9,3.2,1.8,1.0,3.4,3.0,20.1,2020,18.4,1.09239
757,Jordin Canada,SEA,G,20,483,11,5.8,13.8,0.424,0.1,1.1,0.091,5.7,12.6,0.455,4.6,6.0,0.772,1.0,4.8,11.4,3.1,0.0,4.2,3.7,16.4,2020,16.4,1.0
759,Bridget Carleton,MIN,F,22,568,15,4.8,9.3,0.52,1.9,4.2,0.457,2.9,5.1,0.571,1.6,2.6,0.643,2.0,7.2,4.9,1.4,0.0,2.5,3.7,13.3,2020,10.4,1.27885
760,Chennedy Carter,ATL,G,16,406,16,13.1,27.6,0.473,1.5,3.9,0.375,11.6,23.7,0.49,6.8,8.3,0.821,1.0,4.4,6.8,1.7,0.6,5.3,7.0,34.4,2020,31.3,1.09904
763,Layshia Clarendon,NYL,G,19,496,19,7.4,15.8,0.465,1.5,4.4,0.341,5.9,11.4,0.513,5.5,6.3,0.873,0.6,4.8,7.4,1.8,0.0,6.4,5.5,21.7,2020,18.6,1.16667
764,Alysha Clark,SEA,F,22,633,22,6.5,11.7,0.558,2.8,5.3,0.522,3.7,6.4,0.588,1.6,2.0,0.8,1.5,7.4,4.7,2.6,0.9,1.5,3.0,17.5,2020,12.6,1.38889
767,Napheesa Collier,MIN,F,22,752,22,9.4,18.0,0.523,1.4,3.4,0.408,8.0,14.6,0.55,4.3,5.2,0.829,4.2,13.7,5.0,2.8,1.9,4.1,4.1,24.5,2020,20.3,1.2069
770,Kahleah Copper,CHI,G-F,22,688,22,9.5,19.2,0.496,1.5,4.4,0.344,8.0,14.8,0.541,3.0,4.1,0.737,1.5,8.7,3.4,1.5,0.4,3.9,3.7,23.6,2020,21.0,1.12381
773,Crystal Dangerfield,MIN,G,21,629,19,10.2,21.7,0.471,2.8,8.4,0.333,7.4,13.3,0.559,4.9,5.3,0.922,0.4,3.4,6.2,1.5,0.1,4.5,2.6,28.1,2020,24.0,1.17083
774,Damiris Dantas,MIN,F,22,586,22,9.0,19.5,0.464,3.5,8.0,0.433,5.6,11.5,0.485,3.5,4.9,0.727,3.3,11.9,5.1,2.2,0.4,3.5,5.0,25.1,2020,21.7,1.15668
777,Blake Dietrick,ATL,G,22,463,4,5.3,11.2,0.471,2.8,6.3,0.448,2.5,5.0,0.5,0.5,0.9,0.625,0.9,3.9,8.1,1.9,0.3,4.3,4.5,13.9,2020,11.6,1.19828
778,Skylar Diggins-Smith,PHO,G,22,675,22,9.4,19.8,0.474,3.4,8.6,0.397,6.0,11.2,0.533,6.7,7.4,0.9,0.8,5.4,6.9,1.5,0.8,5.2,3.7,28.8,2020,23.1,1.24675
781,Candice Dupree,IND,F,22,665,22,8.9,19.2,0.462,0.2,1.4,0.167,8.7,17.8,0.485,3.1,3.7,0.854,2.1,9.6,4.2,1.2,0.7,2.1,2.1,21.1,2020,20.8,1.01442
783,Allisha Gray,DAL,G,20,524,14,8.9,19.2,0.464,2.5,7.0,0.352,6.5,12.3,0.528,5.3,6.4,0.831,2.6,8.2,2.5,2.2,0.6,2.2,3.7,25.6,2020,22.0,1.16364
784,Chelsea Gray,LAS,G,22,679,22,9.1,20.5,0.442,1.3,4.4,0.305,7.7,16.1,0.479,3.4,3.6,0.939,1.1,6.0,8.6,2.5,0.1,4.5,2.8,22.9,2020,22.1,1.0362
789,Dearica Hamby,LVA,F,22,622,0,8.7,16.2,0.539,1.4,3.0,0.474,7.3,13.2,0.554,3.8,5.3,0.716,2.2,12.5,4.8,2.9,0.3,3.6,4.0,22.7,2020,18.5,1.22703
792,Tyasha Harris,DAL,G,21,412,3,6.9,15.8,0.433,2.4,7.0,0.339,4.5,8.9,0.507,1.7,2.7,0.636,0.0,3.2,7.0,2.2,0.4,2.2,4.5,17.8,2020,17.0,1.04706
796,Natisha Hiedeman,CON,G,22,408,4,5.6,15.8,0.354,2.9,8.0,0.359,2.7,7.9,0.349,2.6,3.7,0.7,1.0,5.2,5.1,1.0,0.0,3.0,5.4,16.7,2020,17.4,0.95977
797,Myisha Hines-Allen,WAS,F,22,659,22,11.9,23.4,0.51,2.1,4.8,0.426,9.8,18.5,0.532,3.8,4.6,0.828,2.8,15.5,4.5,2.5,0.4,3.8,5.0,29.7,2020,25.4,1.16929
800,Natasha Howard,SEA,F,22,463,22,9.5,17.9,0.53,0.8,2.2,0.35,8.7,15.7,0.556,3.1,3.9,0.778,5.7,17.0,2.4,4.1,1.5,5.0,7.3,22.8,2020,19.6,1.16327
807,Brionna Jones,CON,F,21,549,21,9.1,15.0,0.605,0.1,0.1,1.0,9.0,14.9,0.602,3.5,5.1,0.691,5.5,10.9,1.9,3.2,1.3,3.2,6.0,21.8,2020,17.2,1.26744
808,Jazmine Jones,NYL,G,20,428,2,8.0,19.7,0.404,1.7,5.2,0.333,6.2,14.5,0.429,7.3,9.2,0.788,2.1,9.3,5.2,3.2,1.0,6.6,6.8,24.9,2020,23.7,1.05063
810,Betnijah Laney,ATL,G-F,22,738,22,9.7,20.1,0.481,2.0,5.0,0.405,7.7,15.1,0.507,4.2,5.1,0.827,1.6,7.3,5.9,2.4,0.1,4.5,3.8,25.6,2020,22.3,1.14798
812,Kiara Leslie,WAS,G,19,414,10,4.8,13.7,0.352,2.1,5.9,0.362,2.7,7.7,0.344,1.5,1.6,0.923,1.9,7.2,2.5,1.1,0.9,2.3,3.4,13.3,2020,14.4,0.92361
813,Jewell Loyd,SEA,G,22,613,22,9.2,20.8,0.443,3.2,8.2,0.39,6.0,12.6,0.477,6.3,7.2,0.875,1.2,4.3,5.8,2.6,0.5,3.4,2.8,28.0,2020,24.0,1.16667
814,Marina Mabrey,DAL,G,19,405,12,8.6,20.0,0.43,4.8,11.5,0.418,3.8,8.5,0.448,2.0,3.0,0.667,1.4,7.5,5.5,3.2,0.3,3.8,4.6,24.1,2020,21.3,1.13146
816,Kayla McBride,LVA,G,22,587,22,7.6,17.8,0.425,2.1,6.1,0.342,5.5,11.7,0.468,5.9,6.6,0.897,0.8,4.3,4.4,2.2,0.2,2.6,2.5,23.1,2020,20.7,1.11594
817,Angel McCoughtry,LVA,F-G,22,440,22,13.1,25.4,0.518,1.8,3.8,0.471,11.3,21.6,0.526,7.5,8.5,0.882,4.2,12.6,6.1,3.3,0.7,4.3,5.5,35.6,2020,29.1,1.22337
818,Teaira McCowan,IND,C,22,461,10,9.9,18.6,0.536,0.0,0.3,0.0,9.9,18.2,0.545,6.6,8.8,0.75,7.6,17.8,1.5,0.8,2.4,4.9,6.4,26.5,2020,22.5,1.17778
819,Emma Meesseman,WAS,F,20,634,20,9.0,19.8,0.454,1.1,3.7,0.289,7.9,16.1,0.492,2.4,2.9,0.829,2.7,8.8,7.4,2.0,1.3,3.3,2.9,21.5,2020,21.1,1.01896
820,Kelsey Mitchell,IND,G,22,706,22,10.0,22.2,0.448,4.0,10.4,0.389,5.9,11.8,0.5,4.5,5.3,0.849,0.4,3.5,4.5,1.0,0.1,3.9,4.5,28.4,2020,24.5,1.15918
821,Leilani Mitchell,WAS,G,22,673,22,5.7,13.9,0.408,2.3,7.4,0.305,3.4,6.5,0.524,2.6,3.0,0.872,0.9,4.8,9.3,1.4,0.1,3.0,3.6,16.3,2020,15.2,1.07237
822,Tiffany Mitchell,IND,G,19,502,11,7.5,21.7,0.346,1.7,7.4,0.233,5.8,14.3,0.404,7.8,8.2,0.951,1.5,6.6,5.0,1.2,0.2,4.6,5.0,24.6,2020,25.3,0.97233
826,Kia Nurse,NYL,G,21,578,18,5.8,21.3,0.273,2.6,11.1,0.238,3.2,10.2,0.311,7.6,8.8,0.864,0.9,5.1,4.1,0.9,0.3,3.9,3.2,21.9,2020,25.2,0.86905
827,Leaonna Odom,NYL,F,22,453,16,5.2,10.7,0.49,0.5,2.2,0.25,4.7,8.5,0.551,2.2,2.5,0.87,3.7,5.4,1.7,1.6,0.9,1.6,4.0,13.2,2020,11.8,1.11864
828,Arike Ogunbowale,DAL,G,22,748,22,11.9,28.8,0.413,3.3,9.8,0.336,8.6,19.0,0.453,7.3,8.6,0.856,0.7,4.2,5.2,2.4,0.0,3.2,3.7,34.4,2020,32.6,1.05521
829,Nneka Ogwumike,LAS,F,18,476,18,10.1,17.7,0.569,1.0,1.9,0.5,9.1,15.8,0.577,4.3,5.2,0.837,2.2,9.2,3.3,2.0,0.3,3.0,4.3,25.4,2020,20.0,1.27
830,Candace Parker,LAS,F-C,22,665,22,9.4,18.4,0.51,1.4,3.6,0.396,8.0,14.8,0.538,4.3,5.9,0.731,2.8,16.2,7.7,2.0,2.0,4.9,3.9,24.6,2020,21.0,1.17143
831,Cheyenne Parker,CHI,F,20,497,13,9.7,17.5,0.554,1.5,3.2,0.469,8.2,14.3,0.573,5.8,6.8,0.853,4.7,12.8,3.0,2.6,1.8,5.5,6.3,26.7,2020,20.5,1.30244
836,Allie Quigley,CHI,G,22,631,22,10.1,22.6,0.448,3.6,10.5,0.346,6.5,12.2,0.535,2.7,2.9,0.919,0.5,5.0,4.1,1.1,0.5,2.2,2.4,26.6,2020,23.9,1.11297
837,Danielle Robinson,LVA,G,22,492,1,6.2,12.1,0.512,0.5,1.3,0.385,5.7,10.8,0.528,3.4,4.2,0.81,0.5,5.3,7.1,1.9,0.2,2.8,3.8,16.4,2020,13.9,1.17986
841,Satou Sabally,DAL,F,16,450,14,7.6,20.8,0.368,1.5,7.5,0.197,6.2,13.2,0.466,8.6,9.8,0.872,4.7,14.2,4.6,1.6,1.6,4.0,5.7,25.3,2020,25.1,1.00797
842,Katie Lou Samuelson,DAL,F,22,439,4,4.7,11.2,0.417,2.2,7.0,0.317,2.5,4.2,0.583,1.3,1.8,0.733,0.9,6.2,3.5,1.8,1.1,1.4,3.7,12.9,2020,12.0,1.075
848,Breanna Stewart,SEA,F,20,607,20,11.1,24.5,0.451,2.9,7.9,0.368,8.1,16.6,0.49,7.7,8.6,0.894,1.7,13.7,6.0,2.7,2.2,4.2,3.7,32.8,2020,28.3,1.15901
849,Kiah Stokes,NYL,C,22,601,22,4.2,11.2,0.372,1.6,7.0,0.235,2.5,4.3,0.596,0.3,0.6,0.571,2.3,12.1,2.1,0.9,2.1,2.4,3.7,10.3,2020,11.5,0.89565
850,Shekinna Stricklen,ATL,F,22,482,15,4.9,14.3,0.341,3.4,10.3,0.333,1.5,4.0,0.359,0.8,0.8,1.0,0.4,4.4,1.5,0.7,0.1,1.6,4.5,14.0,2020,14.7,0.95238
853,Brittney Sykes,LAS,G,21,517,14,7.1,14.6,0.487,1.6,4.8,0.327,5.6,9.9,0.564,4.9,6.1,0.806,1.6,5.3,4.4,3.0,0.6,3.5,6.1,20.7,2020,17.3,1.19653
854,Diana Taurasi,PHO,G,19,533,19,9.0,22.0,0.409,5.7,15.6,0.365,3.3,6.4,0.515,9.6,10.6,0.912,0.2,7.4,8.0,1.8,0.7,4.1,4.9,33.3,2020,26.7,1.24719
855,Alyssa Thomas,CON,F,21,689,21,9.0,18.0,0.5,0.0,0.1,0.0,9.0,17.9,0.502,6.0,8.7,0.686,2.9,14.0,7.5,3.1,0.4,3.8,4.4,24.0,2020,21.8,1.10092
856,Jasmine Thomas,CON,G,19,485,19,8.0,19.7,0.404,2.2,6.6,0.333,5.8,13.1,0.44,2.2,2.4,0.913,0.4,3.5,8.0,2.5,0.5,4.8,3.1,20.4,2020,20.8,0.98077
857,Kayla Thornton,DAL,F,22,557,14,5.0,11.6,0.429,2.3,6.6,0.347,2.7,5.0,0.537,2.6,3.0,0.875,3.0,10.4,1.6,1.8,0.4,2.3,6.0,14.8,2020,12.9,1.14729
859,Brianna Turner,PHO,F,22,613,22,5.4,9.3,0.579,0.0,0.1,0.0,5.4,9.2,0.584,2.2,3.4,0.643,4.6,16.1,3.2,2.0,3.5,2.5,5.4,12.9,2020,10.8,1.19444
860,Courtney Vandersloot,CHI,G,22,693,22,7.7,15.6,0.491,2.1,5.4,0.395,5.5,10.2,0.542,4.0,4.5,0.889,0.8,5.5,15.7,1.9,0.6,3.9,3.3,21.5,2020,17.6,1.22159
861,Kia Vaughn,PHO,C,22,415,10,7.5,15.3,0.488,0.0,0.2,0.0,7.5,15.0,0.496,1.3,2.3,0.579,2.9,9.6,4.1,1.3,0.8,4.1,4.7,16.2,2020,16.3,0.99387
864,Shatori Walker-Kimbrough,PHO,G,21,400,10,6.7,15.7,0.429,2.7,6.4,0.431,4.0,9.4,0.427,2.9,3.1,0.92,0.7,4.2,4.0,2.9,1.0,2.6,3.0,19.1,2020,17.1,1.11696
868,Courtney Williams,ATL,G,20,615,14,10.9,25.0,0.436,0.7,2.8,0.235,10.2,22.2,0.462,1.3,1.9,0.696,3.0,11.6,5.1,1.1,0.2,4.4,3.2,23.7,2020,25.8,0.9186
869,Elizabeth Williams,ATL,C-F,22,647,22,6.7,13.8,0.489,0.0,0.0,,6.7,13.8,0.489,3.8,5.1,0.742,3.8,9.7,2.4,1.3,2.3,1.9,4.4,17.2,2020,16.0,1.075
870,Gabby Williams,CHI,F,22,546,4,6.1,14.4,0.424,1.8,6.4,0.286,4.3,8.0,0.534,1.5,2.3,0.64,1.8,8.0,4.0,2.6,0.5,3.4,2.9,15.4,2020,15.4,1.0
871,Riquna Williams,LAS,G,21,444,4,9.2,21.1,0.435,4.9,11.6,0.422,4.3,9.5,0.452,1.8,2.0,0.889,0.3,4.3,3.5,2.7,0.8,2.2,4.7,25.1,2020,22.0,1.14091
873,A'ja Wilson,LVA,C,22,697,22,11.8,24.5,0.48,0.0,0.0,,11.8,24.5,0.48,8.4,10.7,0.781,2.4,13.3,3.2,1.9,3.1,2.5,3.5,31.9,2020,29.2,1.09247
874,Jackie Young,LVA,G,22,568,0,8.1,16.4,0.492,0.3,1.1,0.231,7.8,15.3,0.511,4.5,5.3,0.852,1.6,8.3,5.8,1.3,0.2,3.0,3.4,21.0,2020,18.7,1.12299
875,Amanda Zahui B.,NYL,C,21,531,20,6.0,17.1,0.353,3.2,9.3,0.34,2.9,7.8,0.369,2.3,3.3,0.694,1.4,16.5,3.7,1.8,2.4,5.0,6.0,17.6,2020,18.6,0.94624
