,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
2088,Danielle Adams,SAS,F-C,34,686,5,10.8,24.5,0.441,2.9,8.6,0.339,7.9,15.9,0.495,6.3,8.3,0.759,4.7,12.2,2.5,1.8,1.8,3.2,7.2,30.7,2012,28.2,1.08865
2089,Matee Ajavon,WAS,G,33,712,22,6.2,20.6,0.299,2.3,7.8,0.301,3.8,12.9,0.298,5.0,6.1,0.827,1.5,4.5,5.0,4.0,0.5,4.9,7.3,19.7,2012,23.3,0.84549
2091,Jayne Appel-Marinelli,SAS,C,33,625,30,3.9,7.1,0.553,0.0,0.1,0.0,3.9,7.1,0.56,1.8,2.4,0.759,5.2,17.9,3.3,1.5,2.4,3.3,5.6,9.7,2012,8.2,1.18293
2092,Seimone Augustus*,MIN,G-F,29,826,29,12.0,24.5,0.491,2.8,6.4,0.437,9.2,18.0,0.51,3.3,3.8,0.852,1.0,6.6,4.5,1.7,0.4,3.1,1.9,30.1,2012,26.2,1.14885
2093,Mistie Bass,CON,F,32,598,10,8.5,16.1,0.529,0.0,0.1,0.0,8.5,16.0,0.532,4.9,6.9,0.713,5.1,12.3,2.8,2.1,1.1,3.4,5.1,21.9,2012,19.1,1.1466
2094,Alana Beard,LAS,G-F,33,1017,33,6.8,15.6,0.436,1.7,4.3,0.402,5.1,11.3,0.449,3.3,4.1,0.795,0.5,3.5,5.4,3.3,0.6,4.1,4.5,18.6,2012,17.4,1.06897
2096,Sue Bird,SEA,G,29,898,29,8.0,17.4,0.459,3.2,8.3,0.384,4.8,9.1,0.526,2.2,2.8,0.783,0.4,5.0,9.3,1.6,0.2,3.9,1.9,21.3,2012,18.6,1.14516
2098,Shannon Bobbitt,WAS,G,28,418,5,3.7,11.3,0.33,1.2,5.1,0.225,2.6,6.2,0.417,1.4,2.3,0.611,1.4,4.2,9.2,1.8,0.3,4.5,4.9,10.0,2012,12.3,0.81301
2099,DeWanna Bonner,PHO,F-G,32,1120,32,9.5,26.1,0.364,2.3,8.3,0.283,7.2,17.9,0.402,8.3,9.7,0.852,2.5,10.3,3.2,2.4,1.3,3.4,2.1,29.6,2012,30.4,0.97368
2100,Kara Braxton,NYL,C-F,34,535,18,10.0,20.9,0.481,0.1,0.5,0.2,9.9,20.4,0.488,1.8,3.9,0.45,6.0,15.0,3.5,1.7,2.1,7.3,5.8,21.9,2012,22.6,0.96903
2101,Rebekkah Brunson,MIN,F,31,837,31,8.5,16.9,0.505,0.0,0.0,,8.5,16.9,0.505,4.7,6.9,0.679,6.7,17.1,2.3,2.3,1.8,2.5,4.4,21.7,2012,19.9,1.09045
2104,Essence Carson,NYL,G,34,927,23,9.0,22.4,0.4,2.0,6.0,0.343,6.9,16.5,0.421,2.4,3.1,0.778,1.6,6.6,3.3,2.1,1.4,3.3,3.0,22.4,2012,23.8,0.94118
2106,Swin Cash*,CHI,F,34,1021,34,6.5,17.8,0.367,1.7,5.9,0.281,4.9,11.9,0.41,3.9,5.1,0.765,2.9,10.2,4.1,1.8,0.9,4.9,4.2,18.6,2012,20.0,0.93
2108,Tamika Catchings*,IND,F,34,1036,34,10.4,24.0,0.432,2.6,6.8,0.379,7.8,17.2,0.453,7.3,8.4,0.864,3.2,13.4,5.5,3.6,1.5,3.1,4.4,30.6,2012,27.7,1.10469
2109,Tina Charles,CON,C,33,1096,33,11.7,23.5,0.499,0.0,0.2,0.2,11.7,23.3,0.502,4.4,5.4,0.802,5.8,16.2,2.7,0.8,2.2,3.5,3.0,27.8,2012,25.9,1.07336
2110,Shameka Christon,SAS,G,34,695,31,6.3,17.5,0.358,4.1,11.9,0.342,2.2,5.6,0.392,3.8,4.8,0.781,1.3,5.1,3.2,1.4,1.2,1.5,3.1,20.4,2012,19.6,1.04082
2112,Marissa Coleman,LAS,G-F,34,548,2,3.4,10.7,0.319,1.3,5.1,0.255,2.1,5.6,0.377,1.7,1.8,0.9,2.2,8.0,3.3,1.9,0.7,2.2,4.1,9.8,2012,11.5,0.85217
2113,Monique Currie,WAS,F,34,820,28,8.4,20.9,0.404,1.4,5.2,0.275,7.0,15.6,0.448,8.3,10.7,0.774,1.8,8.0,3.9,2.3,0.5,3.9,5.6,26.6,2012,25.6,1.03906
2114,Jessica Davenport,IND,C,34,514,2,8.8,18.7,0.469,0.1,0.3,0.333,8.7,18.4,0.472,6.3,8.5,0.741,3.7,12.0,2.3,2.4,2.7,5.3,6.5,23.9,2012,22.4,1.06696
2115,Erika de Souza,ATL,F-C,15,449,15,8.9,17.1,0.523,0.0,0.0,,8.9,17.1,0.523,1.8,2.6,0.696,5.4,13.9,2.7,2.3,2.6,3.5,5.1,19.7,2012,18.2,1.08242
2117,Katie Douglas,IND,G-F,32,990,32,10.0,24.1,0.413,4.3,10.3,0.423,5.6,13.9,0.406,4.4,5.2,0.844,1.8,6.6,3.9,2.6,0.5,2.9,3.0,28.7,2012,26.4,1.08712
2121,Sylvia Fowles,CHI,C,25,778,25,10.7,16.7,0.638,0.0,0.0,,10.7,16.7,0.638,6.3,9.0,0.692,6.4,17.7,1.4,2.2,2.0,3.6,3.7,27.6,2012,20.7,1.33333
2125,Kalana Greene,CON,G,34,605,31,4.5,10.3,0.438,0.4,1.9,0.227,4.1,8.4,0.485,2.7,3.9,0.696,1.5,5.4,4.8,3.3,0.6,2.3,3.8,12.1,2012,12.0,1.00833
2127,Becky Hammon*,SAS,G,33,998,33,8.4,19.1,0.441,4.2,9.7,0.435,4.2,9.4,0.447,4.5,5.1,0.876,0.5,4.4,9.3,1.6,0.3,5.6,1.9,25.5,2012,21.3,1.19718
2128,Lindsey Harding,ATL,G,34,1040,32,7.7,18.0,0.425,0.7,2.8,0.241,7.0,15.2,0.46,4.4,5.4,0.818,0.8,4.6,7.5,2.2,0.3,3.4,2.3,20.4,2012,20.4,1.0
2130,Tiffany Hayes,ATL,G,34,787,17,5.8,14.9,0.39,1.4,5.0,0.273,4.5,9.9,0.448,5.9,7.6,0.786,1.5,6.8,4.7,1.8,0.8,3.3,5.7,18.9,2012,18.2,1.03846
2131,Aneika Henry-Morello,ATL,F-C,34,613,14,5.4,11.5,0.468,0.0,0.0,,5.4,11.5,0.468,2.7,3.5,0.762,4.4,11.6,1.2,1.3,2.5,2.3,5.8,13.4,2012,13.0,1.03077
2132,Allison Hightower,CON,G,34,827,29,5.6,15.9,0.352,1.1,4.7,0.237,4.5,11.2,0.4,2.0,2.2,0.914,1.3,4.9,5.2,2.7,0.3,2.9,4.9,14.3,2012,16.9,0.84615
2134,Amber Holt,TUL,F,24,456,18,6.4,15.1,0.425,1.9,5.5,0.347,4.5,9.6,0.471,1.0,1.8,0.563,1.1,5.1,3.2,1.2,0.0,1.8,2.8,15.8,2012,15.9,0.99371
2135,Alexis Hornbuckle,PHO,G,34,865,25,5.0,14.9,0.335,1.5,4.7,0.325,3.5,10.3,0.339,1.3,2.2,0.605,2.6,8.3,4.0,2.4,1.0,4.2,5.7,12.9,2012,15.9,0.81132
2136,Charde Houston,PHO,F,27,694,20,9.1,22.4,0.408,2.8,8.1,0.348,6.3,14.3,0.442,2.5,3.4,0.723,2.1,6.7,3.2,2.5,0.7,3.8,5.8,23.6,2012,23.9,0.98745
2138,Briann January,IND,G,31,879,26,6.1,15.0,0.404,2.8,6.5,0.43,3.2,8.4,0.384,4.6,5.3,0.874,0.8,3.4,7.5,2.2,0.2,4.6,4.8,19.6,2012,17.3,1.13295
2139,Glory Johnson,TUL,F,34,958,28,7.0,14.6,0.482,0.0,0.0,,7.0,14.6,0.482,7.0,10.3,0.677,5.1,12.4,2.0,3.9,1.1,3.8,5.5,21.0,2012,19.1,1.09948
2140,Shenise Johnson,SAS,G,34,581,1,6.1,16.9,0.364,1.9,4.6,0.412,4.2,12.3,0.346,3.2,3.7,0.854,5.0,11.8,4.2,2.4,0.5,3.3,4.5,17.3,2012,18.5,0.93514
2141,Temeka Johnson,TUL,G,29,833,28,7.9,19.0,0.416,2.1,3.9,0.531,5.8,15.0,0.385,3.9,4.6,0.84,1.1,5.7,8.3,2.1,0.1,4.9,4.3,21.7,2012,21.0,1.03333
2142,Asjha Jones,CON,F,20,558,19,9.4,21.1,0.445,0.4,1.1,0.333,9.0,20.0,0.452,3.2,3.6,0.897,4.5,13.0,3.6,1.7,1.0,4.7,5.6,22.4,2012,22.7,0.98678
2143,Ewelina Kobryn,SEA,C,33,438,6,6.9,16.7,0.412,1.2,3.3,0.37,5.7,13.4,0.422,4.4,6.2,0.72,2.0,9.6,1.8,2.0,1.7,5.0,5.7,19.4,2012,19.4,1.0
2145,Cathrine Kraayeveld,ATL,F,33,507,1,5.6,13.3,0.421,3.5,8.7,0.402,2.1,4.6,0.457,0.5,1.5,0.333,1.7,9.2,2.8,1.4,1.6,2.6,3.2,15.2,2012,14.0,1.08571
2146,Jennifer Lacy,TUL,F,26,573,6,6.9,17.7,0.389,3.9,9.8,0.404,3.0,8.0,0.371,2.1,3.3,0.649,2.2,6.1,2.0,1.4,0.8,3.2,6.8,19.9,2012,19.2,1.03646
2148,Crystal Langhorne,WAS,F-C,31,999,31,10.2,18.2,0.562,0.1,0.4,0.125,10.2,17.7,0.573,4.0,6.3,0.641,4.0,10.4,2.3,2.5,0.2,4.0,3.5,24.5,2012,21.0,1.16667
2149,Erlana Larkins,IND,F,34,526,2,5.6,11.0,0.509,0.0,0.0,,5.6,11.0,0.509,3.2,3.7,0.861,7.1,15.1,3.7,3.5,0.5,3.5,6.3,14.4,2012,12.6,1.14286
2150,Ivory Latta,TUL,G,34,962,18,9.3,21.7,0.43,3.7,9.4,0.39,5.7,12.3,0.461,3.6,4.3,0.84,0.7,4.0,5.9,1.7,0.2,3.9,4.0,26.0,2012,23.6,1.10169
2151,Jantel Lavender,LAS,F,34,490,1,8.3,16.5,0.506,0.0,0.0,,8.3,16.5,0.506,2.8,3.3,0.844,5.1,13.8,1.9,0.9,1.9,3.9,5.8,19.5,2012,18.0,1.08333
2152,Kara Lawson,CON,G,34,1066,34,8.1,16.5,0.493,3.6,8.3,0.43,4.6,8.2,0.556,4.8,5.2,0.935,0.8,6.3,6.6,1.3,0.2,2.9,1.9,24.7,2012,18.8,1.31383
2154,Camille Smith,SEA,F,34,947,34,7.4,15.6,0.474,0.6,1.9,0.333,6.8,13.7,0.494,6.4,8.7,0.739,3.0,10.0,3.6,1.4,1.0,5.3,5.3,21.9,2012,19.4,1.12887
2155,Sancho Lyttle,ATL,F,34,1074,34,9.4,22.8,0.412,1.3,5.2,0.255,8.1,17.6,0.458,2.4,3.1,0.758,2.2,12.2,4.0,3.9,1.1,4.2,4.7,22.5,2012,24.2,0.92975
2156,Angel McCoughtry,ATL,F-G,24,718,17,12.5,28.0,0.447,2.0,5.9,0.337,10.5,22.1,0.476,9.3,11.7,0.8,3.5,8.4,4.9,4.2,1.9,6.7,4.0,36.4,2012,33.1,1.0997
2158,Taj McWilliams-Franklin,MIN,F-C,33,879,33,7.2,13.8,0.519,0.1,0.3,0.4,7.1,13.5,0.522,1.8,2.4,0.75,3.2,10.4,4.9,2.0,2.7,3.9,4.4,16.2,2012,14.9,1.08725
2161,DeLisha Milton-Jones,LAS,F,34,926,34,6.7,16.1,0.417,1.6,4.8,0.326,5.1,11.2,0.456,3.5,4.3,0.823,2.6,8.2,3.3,1.9,1.3,3.4,5.2,18.5,2012,18.0,1.02778
2162,Leilani Mitchell,NYL,G,34,908,25,4.6,11.2,0.409,3.1,7.5,0.411,1.5,3.7,0.406,0.5,0.7,0.75,1.2,4.9,6.0,2.0,0.3,3.1,4.2,12.8,2012,11.5,1.11304
2164,Renee Montgomery,CON,G,34,816,0,7.3,21.0,0.348,3.0,8.1,0.364,4.3,12.8,0.338,7.4,8.7,0.848,0.5,4.0,5.6,2.2,0.2,4.8,3.3,24.9,2012,24.8,1.00403
2165,Maya Moore,MIN,F,34,1011,34,10.2,21.9,0.465,3.7,9.6,0.388,6.4,12.3,0.525,4.4,5.1,0.879,3.6,10.5,6.3,2.6,1.1,3.2,4.4,28.5,2012,24.1,1.18257
2168,Shay Murphy,CHI,G,29,538,3,8.6,20.4,0.42,4.4,10.0,0.441,4.1,10.3,0.4,2.7,3.6,0.73,3.0,8.3,2.7,3.1,0.6,3.0,4.4,24.2,2012,22.0,1.1
2170,Nneka Ogwumike,LAS,F,33,920,33,9.8,18.3,0.535,0.1,0.4,0.143,9.7,17.9,0.543,5.8,7.8,0.734,5.4,13.5,2.2,2.5,1.6,2.3,4.8,25.3,2012,21.7,1.1659
2172,Candace Parker,LAS,F-C,33,1014,33,11.3,23.6,0.481,0.9,2.9,0.322,10.4,20.6,0.504,4.9,6.9,0.71,4.1,15.9,5.5,2.5,3.8,4.9,2.9,28.5,2012,26.6,1.07143
2173,Kayla Pedersen,TUL,F,27,626,25,3.6,12.1,0.297,0.2,1.0,0.25,3.4,11.1,0.301,1.9,3.2,0.59,3.0,9.7,3.4,2.1,1.1,2.8,6.1,9.3,2012,13.5,0.68889
2175,Jia Perkins,SAS,G,33,759,3,8.8,23.3,0.38,3.4,8.8,0.386,5.5,14.5,0.376,3.2,4.2,0.754,1.2,6.4,4.4,3.7,0.8,2.0,3.0,24.3,2012,25.1,0.96813
2176,Devereaux Peters,MIN,F,30,424,2,7.4,13.3,0.56,0.0,0.0,,7.4,13.3,0.56,4.4,6.2,0.706,5.4,13.8,4.0,1.7,2.8,4.8,9.0,19.3,2012,16.0,1.20625
2177,Sonja Petrovic,CHI,F,30,453,2,6.3,17.6,0.358,2.0,7.1,0.279,4.3,10.5,0.411,2.3,3.0,0.769,1.5,7.9,3.6,1.8,1.8,4.6,4.9,16.9,2012,18.9,0.89418
2178,Erin Phillips,IND,G,29,620,8,5.4,13.8,0.39,2.4,5.5,0.438,2.9,8.2,0.358,2.2,2.5,0.862,2.1,6.9,5.5,1.9,0.3,3.0,4.2,15.3,2012,14.9,1.02685
2179,Plenette Pierson,NYL,F,26,641,24,10.0,21.5,0.466,0.4,1.5,0.278,9.6,20.0,0.48,5.2,6.8,0.759,3.9,11.6,5.0,1.6,1.9,5.0,4.4,25.6,2012,24.5,1.0449
2180,Jeanette Pohlen-Mavunga,IND,G,34,574,3,5.1,12.0,0.43,3.0,7.1,0.421,2.2,4.9,0.442,0.7,0.9,0.7,1.2,5.3,3.6,1.9,0.9,2.9,3.6,13.9,2012,12.4,1.12097
2181,Cappie Pondexter,NYL,G,34,1162,34,11.3,26.0,0.435,2.4,7.3,0.327,8.9,18.6,0.477,6.5,7.5,0.867,0.9,7.0,6.6,1.9,0.3,4.8,3.3,31.5,2012,29.3,1.07509
2182,Nicole Powell,NYL,F,34,922,21,5.1,12.2,0.416,2.7,6.9,0.388,2.4,5.3,0.452,0.7,0.9,0.867,2.3,8.4,2.7,2.6,0.8,2.8,3.6,13.6,2012,12.6,1.07937
2183,Samantha Prahalis,PHO,G,28,886,28,6.7,19.0,0.352,1.6,6.1,0.271,5.1,12.9,0.39,3.3,3.9,0.868,0.7,5.1,7.2,2.5,0.2,4.8,4.0,18.4,2012,20.7,0.88889
2184,Armintie Herrington,ATL,G,34,904,33,6.1,11.9,0.509,0.0,0.1,0.0,6.1,11.8,0.514,4.0,6.6,0.602,3.5,7.0,4.8,2.2,0.6,3.3,4.2,16.1,2012,14.8,1.08784
2185,Epiphanny Prince,CHI,G,26,780,25,10.7,24.1,0.442,4.0,9.8,0.407,6.6,14.2,0.467,6.6,7.4,0.899,1.6,6.2,5.4,3.2,0.5,3.5,3.9,32.0,2012,27.4,1.16788
2186,Noelle Quinn,WAS,G,30,666,18,5.8,14.7,0.396,2.5,6.2,0.403,3.3,8.5,0.39,1.5,2.1,0.731,1.5,7.1,4.4,1.8,0.5,2.3,2.6,15.6,2012,15.6,1.0
2188,Ruth Riley,CHI,C,33,476,14,4.0,10.6,0.379,0.6,2.0,0.278,3.4,8.6,0.403,1.2,1.6,0.786,1.9,8.8,3.7,2.6,2.2,3.0,8.2,9.8,2012,11.3,0.86726
2189,Ashley Robinson,WAS,C,33,535,14,4.8,11.7,0.41,0.0,0.1,0.0,4.8,11.6,0.414,0.7,2.0,0.35,3.8,11.0,2.9,1.9,2.4,3.9,7.1,10.3,2012,12.6,0.81746
2190,Danielle Robinson,SAS,G,34,984,34,7.8,14.4,0.541,0.0,0.4,0.0,7.8,14.0,0.555,2.3,2.9,0.782,1.0,4.5,7.8,2.5,0.2,2.9,4.1,17.9,2012,15.7,1.14013
2191,Nakia Sanford,PHO,C-F,30,501,15,4.8,11.3,0.425,0.4,1.6,0.25,4.4,9.7,0.454,2.4,4.0,0.6,4.4,9.9,1.8,1.5,0.9,3.8,8.8,12.5,2012,13.1,0.9542
2194,Katie Smith*,SEA,G,34,919,31,4.5,11.0,0.412,2.6,6.5,0.4,1.9,4.5,0.429,1.8,2.2,0.838,0.5,5.5,4.3,1.2,0.2,3.0,4.8,13.4,2012,12.0,1.11667
2196,Michelle Snow,WAS,C,32,643,21,6.8,12.9,0.523,0.0,0.1,0.0,6.8,12.8,0.526,2.3,3.0,0.778,4.9,14.4,1.6,1.6,2.3,4.4,6.3,15.9,2012,14.2,1.11972
2197,Shekinna Stricklen,SEA,F,34,784,3,6.9,17.4,0.395,2.5,8.0,0.316,4.3,9.3,0.463,2.5,3.6,0.692,1.9,10.1,2.7,1.6,0.5,2.4,4.8,18.8,2012,19.0,0.98947
2198,Tammy Sutton-Brown,IND,C,33,541,32,4.9,11.5,0.422,0.0,0.0,,4.9,11.5,0.422,3.2,4.0,0.8,2.8,9.2,2.4,2.4,2.7,2.2,3.9,12.9,2012,13.3,0.96992
2204,Jasmine Thomas,WAS,G,34,763,23,7.5,19.8,0.379,2.5,6.8,0.365,5.1,13.1,0.387,2.0,3.0,0.674,1.0,5.7,6.6,2.0,0.5,5.2,3.7,19.5,2012,21.1,0.92417
2205,Krystal Thomas,PHO,C,29,771,25,5.0,10.2,0.484,0.0,0.1,0.0,5.0,10.2,0.487,2.2,4.3,0.5,6.1,15.2,1.8,0.3,1.7,4.3,6.0,12.1,2012,12.1,1.0
2206,Tina Thompson*,SEA,F,29,551,5,8.9,20.1,0.442,4.0,9.4,0.427,4.9,10.8,0.455,3.4,4.1,0.833,2.3,9.8,1.4,1.4,2.2,3.6,6.5,25.2,2012,21.9,1.15068
2208,Kristi Toliver,LAS,G,34,1071,33,9.3,18.9,0.491,3.0,7.1,0.424,6.3,11.8,0.532,6.5,7.2,0.901,1.5,5.1,7.8,2.1,0.1,5.8,4.8,28.0,2012,22.1,1.26697
2209,Courtney Vandersloot,CHI,G,34,906,27,6.9,17.0,0.405,1.6,4.9,0.333,5.3,12.1,0.435,2.2,3.3,0.649,0.4,4.1,9.2,2.6,0.4,6.5,5.2,17.6,2012,18.5,0.95135
2210,Kia Vaughn,NYL,C,31,710,17,6.6,15.3,0.43,0.0,0.0,,6.6,15.3,0.43,1.6,2.4,0.656,3.6,11.4,2.0,1.2,1.9,2.3,5.6,14.7,2012,16.4,0.89634
2211,DeMya Walker,NYL,F,33,525,8,4.1,10.4,0.394,0.0,0.0,,4.1,10.4,0.394,1.6,2.7,0.593,3.9,9.1,3.2,1.7,1.6,6.3,7.3,9.8,2012,11.6,0.84483
2212,Avery Warley-Talbert,PHO,C,28,497,3,3.3,7.1,0.471,0.0,0.0,,3.3,7.1,0.471,2.0,3.4,0.588,6.7,16.1,0.5,1.2,1.4,3.2,8.3,8.7,2012,8.6,1.01163
2213,Ann Wauters,SEA,C,25,574,17,8.9,17.2,0.519,0.8,1.9,0.45,8.1,15.3,0.528,3.9,5.4,0.737,3.1,13.7,3.4,1.3,1.7,5.4,4.5,22.6,2012,19.6,1.15306
2214,Lindsay Whalen*,MIN,G,33,891,33,8.6,17.0,0.505,0.8,1.5,0.5,7.8,15.5,0.506,4.2,5.7,0.727,1.7,8.0,10.3,1.3,0.3,3.9,4.0,22.1,2012,19.5,1.13333
