,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1344,Plenette Pierson,MIN,F,34,465,4,7.7,18.1,0.427,2.1,6.2,0.339,5.6,11.9,0.472,2.1,2.6,0.792,1.7,8.4,5.4,1.5,0.6,3.9,5.4,19.6,2017,19.2,1.02083
1345,Theresa Plaisance,DAL,F,34,690,25,7.0,18.4,0.38,3.0,8.8,0.344,4.0,9.6,0.414,1.8,2.1,0.862,3.1,10.6,2.2,1.8,1.7,2.1,6.8,18.8,2017,19.3,0.97409
1346,Kelsey Plum,SAS,G,31,711,23,6.2,18.0,0.346,2.6,7.0,0.365,3.7,11.0,0.333,4.4,5.1,0.87,0.9,4.3,7.8,1.2,0.3,5.8,4.2,19.4,2017,20.2,0.9604
1348,Cappie Pondexter,CHI,G,29,789,15,6.7,18.2,0.367,0.6,2.2,0.257,6.1,16.0,0.382,3.6,4.6,0.795,0.8,5.3,7.8,1.2,0.3,4.1,4.2,17.5,2017,20.2,0.86634
1351,Epiphanny Prince,NYL,G,28,751,25,8.0,20.0,0.401,2.3,6.6,0.344,5.7,13.3,0.43,5.0,5.7,0.878,2.2,7.0,5.6,2.4,0.5,2.4,3.5,23.3,2017,22.5,1.03556
1352,Allie Quigley,CHI,G,31,1000,31,9.5,18.8,0.505,3.8,8.9,0.43,5.7,9.9,0.573,2.5,2.8,0.893,0.4,5.0,5.6,1.2,0.8,3.6,3.1,25.3,2017,20.0,1.265
1353,Noelle Quinn,SEA,G,32,504,4,2.6,6.4,0.403,1.5,4.0,0.385,1.0,2.4,0.435,2.1,2.2,0.952,0.1,5.3,9.0,1.3,0.5,3.1,3.5,8.7,2017,7.4,1.17568
1356,Danielle Robinson,PHO,G,32,752,29,5.6,13.0,0.432,0.0,0.5,0.0,5.6,12.5,0.449,3.7,4.4,0.846,0.9,6.3,7.4,2.4,0.3,4.1,4.3,14.9,2017,14.9,1.0
1357,Sugar Rodgers,NYL,G,33,844,15,7.4,21.7,0.339,3.9,11.3,0.342,3.5,10.4,0.335,2.7,3.3,0.815,1.4,7.7,4.7,1.8,1.0,3.3,4.7,21.3,2017,23.2,0.9181
1358,Tierra Ruffin-Pratt,WAS,G,34,827,34,5.3,15.7,0.337,0.0,0.3,0.0,5.3,15.5,0.343,5.0,6.7,0.738,3.3,11.4,5.0,2.1,1.1,3.2,6.2,15.6,2017,18.6,0.83871
1360,Odyssey Sims,LAS,G,31,752,14,7.8,17.4,0.447,0.8,4.0,0.19,7.0,13.4,0.523,4.3,4.8,0.886,1.0,4.1,7.4,3.1,0.3,3.0,4.1,20.5,2017,19.5,1.05128
1361,Breanna Stewart,SEA,F,33,1086,33,10.6,22.3,0.475,2.3,6.3,0.371,8.3,16.0,0.516,7.8,9.9,0.787,2.3,13.7,4.3,1.8,2.5,3.8,5.1,31.3,2017,26.7,1.17228
1362,Kiah Stokes,NYL,C,34,666,12,4.7,8.8,0.531,0.0,0.1,0.0,4.7,8.7,0.536,3.3,4.2,0.796,6.0,16.7,2.3,0.9,3.0,3.1,7.3,12.7,2017,10.6,1.19811
1363,Shekinna Stricklen,CON,F,34,926,29,5.1,12.3,0.411,3.8,9.2,0.41,1.3,3.1,0.414,1.7,2.0,0.865,0.9,5.7,2.0,2.2,0.2,1.5,3.0,15.6,2017,13.2,1.18182
1365,Brittney Sykes,ATL,G,34,863,23,9.9,24.3,0.408,2.2,6.4,0.336,7.7,17.9,0.433,5.5,7.5,0.729,1.6,8.2,3.8,1.1,1.0,3.4,5.0,27.4,2017,27.6,0.99275
1366,Stephanie Talbot,PHO,F,34,609,24,4.3,10.3,0.415,1.3,3.5,0.381,2.9,6.8,0.432,2.5,3.8,0.652,2.4,7.6,4.6,2.0,0.8,2.5,5.5,12.4,2017,12.0,1.03333
