,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
557,Bella Alarie,DAL,C-F,31,407,11,4.1,8.2,0.5,0.0,0.3,0.0,4.1,7.9,0.516,2.2,2.5,0.85,5.3,13.0,2.0,2.3,2.5,2.3,5.3,10.3,2021,9.3,1.10753
558,Lindsay Allen,IND,G,32,571,8,5.9,13.8,0.428,1.3,4.3,0.298,4.6,9.5,0.486,2.7,3.4,0.811,0.8,4.3,8.7,1.5,0.3,2.8,3.1,15.8,2021,15.3,1.03268
559,Rebecca Allen,NYL,F-G,25,615,13,6.0,17.4,0.343,3.9,10.2,0.381,2.1,7.3,0.289,2.7,3.0,0.892,1.5,7.4,2.3,3.2,2.5,1.7,4.4,18.5,2021,18.7,0.9893
561,Ariel Atkins,WAS,G,30,918,30,9.0,22.0,0.407,3.7,10.2,0.359,5.3,11.8,0.448,5.5,6.6,0.831,1.9,4.6,4.4,2.7,0.9,3.4,5.3,27.0,2021,24.9,1.08434
563,Monique Billings,ATL,F,31,740,9,6.9,13.9,0.495,0.0,0.1,0.0,6.9,13.8,0.5,3.6,5.3,0.675,6.1,13.8,2.2,2.5,2.2,3.0,5.4,17.3,2021,16.2,1.0679
564,Sue Bird,SEA,G,30,832,30,6.5,15.1,0.431,4.1,9.8,0.419,2.4,5.3,0.453,1.2,1.5,0.833,0.5,4.7,9.8,1.7,0.2,2.9,1.9,18.4,2021,15.8,1.16456
565,DeWanna Bonner,CON,F-G,32,1022,32,8.4,21.3,0.395,2.3,7.4,0.317,6.1,14.0,0.436,6.6,7.4,0.892,1.1,10.8,5.9,2.1,1.2,3.6,2.8,25.7,2021,24.6,1.04472
567,Crystal Bradford,ATL,F,24,440,9,9.5,22.1,0.429,3.4,9.4,0.358,6.1,12.7,0.482,2.1,4.5,0.462,3.6,10.5,4.2,3.2,1.0,2.7,6.5,24.4,2021,24.1,1.01245
568,Jessica Breland,IND,F,26,544,18,6.4,17.1,0.372,0.5,1.5,0.313,5.9,15.6,0.378,1.2,1.8,0.684,3.5,15.5,5.0,1.5,3.7,4.6,4.8,14.5,2021,17.9,0.81006
572,Liz Cambage,LVA,C,25,595,24,11.6,21.5,0.543,0.4,1.2,0.357,11.2,20.3,0.553,5.9,8.3,0.71,3.2,17.1,2.7,1.8,3.4,3.7,6.2,29.6,2021,25.2,1.1746
